backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
300M,chip_010_063_merged.tif,0.2,0,537862152,39,30.9599,30.9599,-0.0,36.7153,36.7153,0.0,0.016937,0.008685
300M,chip_010_063_merged.tif,0.2,1,157255521,39,37.3099,37.3099,0.0,37.4767,37.4767,-0.0,0.008716,0.008206
300M,chip_010_063_merged.tif,0.2,2,1824793651,39,34.441,34.441,-0.0,35.9901,35.9901,0.0,0.011158,0.009025
300M,chip_010_063_merged.tif,0.2,3,1444187020,39,37.3101,37.3101,-0.0,35.9873,35.9873,-0.0,0.008717,0.009401
300M,chip_010_063_merged.tif,0.2,4,964241502,39,30.9669,30.9669,0.0,38.1625,38.1625,-0.0,0.016397,0.007346
300M,chip_010_063_merged.tif,0.4,0,377246819,78,34.6385,34.6385,0.0,37.2934,37.2934,0.0,0.011505,0.008221
300M,chip_010_063_merged.tif,0.4,1,2044784949,78,31.9515,31.9515,0.0,36.8032,36.8032,0.0,0.015222,0.00859
300M,chip_010_063_merged.tif,0.4,2,1664178318,78,32.8727,32.8727,-0.0,36.206,36.206,-0.0,0.01341,0.009275
300M,chip_010_063_merged.tif,0.4,3,1283571687,78,36.3788,36.3788,-0.0,37.0242,37.0242,0.0,0.009488,0.008526
300M,chip_010_063_merged.tif,0.4,4,803626169,78,32.1297,32.1297,-0.0,37.0615,37.0615,0.0,0.013574,0.008538
300M,chip_010_063_merged.tif,0.6,0,1781432260,117,32.7005,32.7005,0.0,35.6852,35.6852,0.0,0.01303,0.00913
300M,chip_010_063_merged.tif,0.6,1,1301486742,117,32.4492,32.4492,-0.0,37.186,37.186,0.0,0.013726,0.008101
300M,chip_010_063_merged.tif,0.6,2,920880111,117,32.4247,32.4247,-0.0,35.4478,35.4478,-0.0,0.013725,0.009371
300M,chip_010_063_merged.tif,0.6,3,540273480,117,32.5096,32.5096,0.0,36.5226,36.5226,-0.0,0.013587,0.008835
300M,chip_010_063_merged.tif,0.6,4,60327962,117,33.3254,33.3254,-0.0,36.4847,36.4847,-0.0,0.012578,0.008698
300M,chip_010_063_merged.tif,0.8,0,1298840064,156,33.3161,33.3161,-0.0,35.793,35.793,0.0,0.012213,0.009198
300M,chip_010_063_merged.tif,0.8,1,918233433,156,33.3532,33.3532,0.0,35.8052,35.8052,0.0,0.012091,0.009439
300M,chip_010_063_merged.tif,0.8,2,438287915,156,33.3487,33.3487,0.0,35.3054,35.3054,0.0,0.012106,0.009615
300M,chip_010_063_merged.tif,0.8,3,57681284,156,33.3674,33.3674,-0.0,35.997,35.997,0.0,0.012012,0.009221
300M,chip_010_063_merged.tif,0.8,4,1725219414,156,33.0867,33.0867,-0.0,35.8758,35.8758,-0.0,0.012474,0.00929
300M,chip_030_076_merged.tif,0.2,0,188996778,39,39.9086,39.9086,0.0,39.4659,39.4659,0.0,0.006602,0.007039
300M,chip_030_076_merged.tif,0.2,1,1856534908,39,39.8902,39.8902,0.0,39.2204,39.2204,-0.0,0.006504,0.007303
300M,chip_030_076_merged.tif,0.2,2,1475928277,39,36.714,36.714,0.0,40.1305,40.1305,-0.0,0.010086,0.006755
300M,chip_030_076_merged.tif,0.2,3,995982759,39,36.7571,36.7571,-0.0,39.2987,39.2987,0.0,0.009987,0.007167
300M,chip_030_076_merged.tif,0.2,4,615376128,39,36.7577,36.7577,-0.0,39.4685,39.4685,0.0,0.009987,0.007024
300M,chip_030_076_merged.tif,0.4,0,1271205356,78,39.543,39.543,-0.0,39.4784,39.4784,-0.0,0.007002,0.006871
300M,chip_030_076_merged.tif,0.4,1,890598725,78,39.5434,39.5434,0.0,39.4514,39.4514,-0.0,0.007002,0.006969
300M,chip_030_076_merged.tif,0.4,2,410653207,78,39.3332,39.3332,0.0,40.0058,40.0058,-0.0,0.007138,0.006616
300M,chip_030_076_merged.tif,0.4,3,30046576,78,36.8671,36.8671,0.0,40.0787,40.0787,-0.0,0.009805,0.006572
300M,chip_030_076_merged.tif,0.4,4,1697584706,78,38.2804,38.2804,0.0,39.5361,39.5361,0.0,0.008098,0.007017
300M,chip_030_076_merged.tif,0.6,0,1333227999,117,38.4449,38.4449,0.0,39.7839,39.7839,-0.0,0.007817,0.006744
300M,chip_030_076_merged.tif,0.6,1,952621368,117,38.7207,38.7207,-0.0,39.3366,39.3366,-0.0,0.007622,0.007069
300M,chip_030_076_merged.tif,0.6,2,572014737,117,38.1331,38.1331,0.0,39.4361,39.4361,0.0,0.008189,0.006971
300M,chip_030_076_merged.tif,0.6,3,92069219,117,38.2294,38.2294,-0.0,39.6323,39.6323,-0.0,0.008094,0.006876
300M,chip_030_076_merged.tif,0.6,4,1858946236,117,38.7283,38.7283,0.0,39.748,39.748,-0.0,0.007608,0.006749
300M,chip_030_076_merged.tif,0.8,0,949974690,156,38.7965,38.7965,0.0,38.9493,38.9493,0.0,0.007532,0.007344
300M,chip_030_076_merged.tif,0.8,1,470029172,156,38.7457,38.7457,0.0,38.8689,38.8689,-0.0,0.007603,0.007363
300M,chip_030_076_merged.tif,0.8,2,89422541,156,38.3661,38.3661,0.0,38.9402,38.9402,0.0,0.007973,0.007305
300M,chip_030_076_merged.tif,0.8,3,1756960671,156,38.3662,38.3662,-0.0,39.0501,39.0501,0.0,0.007972,0.007233
300M,chip_030_076_merged.tif,0.8,4,1376354040,156,38.7422,38.7422,0.0,39.3303,39.3303,-0.0,0.007609,0.007063
300M,chip_032_111_merged.tif,0.2,0,607217224,39,34.75,34.75,0.0,37.7487,37.7487,-0.0,0.01231,0.00867
300M,chip_032_111_merged.tif,0.2,1,226610593,39,33.7839,33.7839,0.0,37.2076,37.2076,-0.0,0.01407,0.009206
300M,chip_032_111_merged.tif,0.2,2,1894148723,39,35.5923,35.5923,0.0,37.9186,37.9186,0.0,0.009668,0.008599
300M,chip_032_111_merged.tif,0.2,3,1513542092,39,38.0843,38.0843,-0.0,36.6988,36.6988,-0.0,0.008707,0.008736
300M,chip_032_111_merged.tif,0.2,4,1033596574,39,38.0843,38.0843,-0.0,36.6807,36.6807,-0.0,0.008707,0.009741
300M,chip_032_111_merged.tif,0.4,0,446601891,78,35.9924,35.9924,0.0,36.8275,36.8275,-0.0,0.009804,0.009333
300M,chip_032_111_merged.tif,0.4,1,2114140021,78,36.2587,36.2587,-0.0,38.3419,38.3419,-0.0,0.010193,0.008032
300M,chip_032_111_merged.tif,0.4,2,1733533390,78,35.7337,35.7337,-0.0,37.2857,37.2857,-0.0,0.010736,0.008889
300M,chip_032_111_merged.tif,0.4,3,1352926759,78,36.2586,36.2586,0.0,36.5584,36.5584,0.0,0.010193,0.009044
300M,chip_032_111_merged.tif,0.4,4,872981241,78,36.2592,36.2592,0.0,37.6118,37.6118,-0.0,0.010193,0.008691
300M,chip_032_111_merged.tif,0.6,0,1850787332,117,33.1309,33.1309,0.0,35.4525,35.4525,0.0,0.013809,0.010379
300M,chip_032_111_merged.tif,0.6,1,1370841814,117,34.7128,34.7128,-0.0,35.2334,35.2334,0.0,0.01073,0.01028
300M,chip_032_111_merged.tif,0.6,2,990235183,117,36.8462,36.8462,0.0,36.6792,36.6792,0.0,0.009416,0.009305
300M,chip_032_111_merged.tif,0.6,3,609628552,117,33.18,33.18,-0.0,36.7486,36.7486,0.0,0.01402,0.009376
300M,chip_032_111_merged.tif,0.6,4,129683034,117,33.1228,33.1228,0.0,36.1836,36.1836,0.0,0.013837,0.009913
300M,chip_032_111_merged.tif,0.8,0,1368195136,156,34.8663,34.8663,-0.0,34.3482,34.3482,0.0,0.011394,0.011032
300M,chip_032_111_merged.tif,0.8,1,987588505,156,36.0955,36.0955,0.0,35.6975,35.6975,-0.0,0.010158,0.010464
300M,chip_032_111_merged.tif,0.8,2,507642987,156,36.1083,36.1083,-0.0,35.4773,35.4773,0.0,0.010135,0.010515
300M,chip_032_111_merged.tif,0.8,3,127036356,156,34.797,34.797,-0.0,35.7168,35.7168,-0.0,0.011449,0.010309
300M,chip_032_111_merged.tif,0.8,4,1794574486,156,36.1141,36.1141,-0.0,34.8315,34.8315,-0.0,0.010125,0.010773
300M,chip_032_183_merged.tif,0.2,0,108174139,39,43.7852,43.7852,0.0,46.7361,46.7361,0.0,0.004798,0.003297
300M,chip_032_183_merged.tif,0.2,1,1875051156,39,45.7046,45.7046,-0.0,46.1382,46.1382,-0.0,0.003846,0.003495
300M,chip_032_183_merged.tif,0.2,2,1494444525,39,44.2737,44.2737,-0.0,45.7203,45.7203,-0.0,0.004704,0.003678
300M,chip_032_183_merged.tif,0.2,3,1014499007,39,45.2823,45.2823,-0.0,45.1525,45.1525,0.0,0.004106,0.003962
300M,chip_032_183_merged.tif,0.2,4,633892376,39,43.8613,43.8613,0.0,45.8655,45.8655,-0.0,0.004729,0.003626
300M,chip_032_183_merged.tif,0.4,0,2095042454,78,45.1722,45.1722,0.0,46.012,46.012,-0.0,0.004065,0.003541
300M,chip_032_183_merged.tif,0.4,1,1714435823,78,44.7005,44.7005,-0.0,46.427,46.427,-0.0,0.004432,0.003417
300M,chip_032_183_merged.tif,0.4,2,1234490305,78,46.2351,46.2351,0.0,46.5174,46.5174,-0.0,0.003599,0.003342
300M,chip_032_183_merged.tif,0.4,3,853883674,78,46.2353,46.2353,0.0,46.4097,46.4097,-0.0,0.003599,0.003372
300M,chip_032_183_merged.tif,0.4,4,373938156,78,44.7031,44.7031,-0.0,46.0673,46.0673,0.0,0.004279,0.00346
300M,chip_032_183_merged.tif,0.6,0,1351744247,117,42.4665,42.4665,-0.0,46.4216,46.4216,-0.0,0.00569,0.003377
300M,chip_032_183_merged.tif,0.6,1,971137616,117,45.4612,45.4612,0.0,46.4606,46.4606,-0.0,0.003828,0.003385
300M,chip_032_183_merged.tif,0.6,2,491192098,117,45.4919,45.4919,-0.0,46.536,46.536,-0.0,0.003818,0.003332
300M,chip_032_183_merged.tif,0.6,3,110585467,117,45.0477,45.0477,0.0,46.4825,46.4825,-0.0,0.004215,0.003336
300M,chip_032_183_merged.tif,0.6,4,1877462484,117,45.3887,45.3887,0.0,46.1408,46.1408,-0.0,0.003959,0.003451
300M,chip_032_183_merged.tif,0.8,0,869152051,156,43.5095,43.5095,0.0,46.3689,46.3689,0.0,0.004823,0.003392
300M,chip_032_183_merged.tif,0.8,1,488545420,156,45.6643,45.6643,0.0,46.3065,46.3065,-0.0,0.003794,0.003387
