backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
tiny,chip_032_183_merged.tif,0.2,2,1494444525,39,42.3197,42.7331,0.4134
tiny,chip_032_183_merged.tif,0.2,3,1014499007,39,42.1037,41.9058,-0.198
tiny,chip_032_183_merged.tif,0.2,4,633892376,39,41.1811,42.9546,1.7736
tiny,chip_032_183_merged.tif,0.4,0,2095042454,78,42.4535,42.5928,0.1393
tiny,chip_032_183_merged.tif,0.4,1,1714435823,78,42.4466,43.2809,0.8343
tiny,chip_032_183_merged.tif,0.4,2,1234490305,78,42.6101,43.0659,0.4558
tiny,chip_032_183_merged.tif,0.4,3,853883674,78,42.6098,43.1177,0.5079
tiny,chip_032_183_merged.tif,0.4,4,373938156,78,42.3795,43.311,0.9315
tiny,chip_032_183_merged.tif,0.6,0,1351744247,117,39.3554,43.3215,3.9661
tiny,chip_032_183_merged.tif,0.6,1,971137616,117,42.5898,43.2495,0.6597
tiny,chip_032_183_merged.tif,0.6,2,491192098,117,42.5873,43.3222,0.7349
tiny,chip_032_183_merged.tif,0.6,3,110585467,117,39.9895,43.4089,3.4194
tiny,chip_032_183_merged.tif,0.6,4,1877462484,117,41.1668,43.2987,2.132
tiny,chip_032_183_merged.tif,0.8,0,869152051,156,41.4089,43.346,1.9371
tiny,chip_032_183_merged.tif,0.8,1,488545420,156,42.8293,43.0405,0.2112
tiny,chip_032_183_merged.tif,0.8,2,107938789,156,42.8595,43.2774,0.4179
tiny,chip_032_183_merged.tif,0.8,3,1775476919,156,42.8576,43.3362,0.4786
tiny,chip_032_183_merged.tif,0.8,4,1394870288,156,39.6756,42.9629,3.2873
tiny,chip_036_147_merged.tif,0.2,0,1151733073,39,34.8118,36.4292,1.6174
tiny,chip_036_147_merged.tif,0.2,1,671787555,39,35.4987,37.4995,2.0008
tiny,chip_036_147_merged.tif,0.2,2,291180924,39,33.7379,36.18,2.4421
tiny,chip_036_147_merged.tif,0.2,3,2058057941,39,33.401,36.9095,3.5085
tiny,chip_036_147_merged.tif,0.2,4,1578112423,39,35.0055,37.1611,2.1557
tiny,chip_036_147_merged.tif,0.4,0,991117740,78,35.3754,37.1768,1.8014
tiny,chip_036_147_merged.tif,0.4,1,511172222,78,35.3342,36.9129,1.5787
tiny,chip_036_147_merged.tif,0.4,2,130565591,78,35.7316,36.7423,1.0107
tiny,chip_036_147_merged.tif,0.4,3,1798103721,78,30.1966,36.8868,6.6902
tiny,chip_036_147_merged.tif,0.4,4,1417497090,78,35.0213,35.9762,0.9549
tiny,chip_036_147_merged.tif,0.6,0,1001419509,117,35.2262,36.4304,1.2042
tiny,chip_036_147_merged.tif,0.6,1,620812878,117,35.8125,36.9462,1.1337
tiny,chip_036_147_merged.tif,0.6,2,240206247,117,35.3164,37.065,1.7487
tiny,chip_036_147_merged.tif,0.6,3,1907744377,117,35.6053,37.4173,1.812
