backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
tiny,chip_351_539_merged.tif,0.2,1,482565313,3,13,0.199,0.003125,42.9958,0.9801,0.009201,38.6506,0.9477
tiny,chip_351_539_merged.tif,0.2,2,101958682,3,13,0.199,0.003299,42.0898,0.9773,0.011568,36.5112,0.9228
tiny,chip_351_539_merged.tif,0.2,3,1769496812,3,13,0.199,0.003172,42.2977,0.9784,0.009114,38.7913,0.9463
tiny,chip_351_539_merged.tif,0.2,4,1388890181,3,13,0.199,0.00388,40.8816,0.9764,0.01218,35.6625,0.9313
tiny,chip_351_539_merged.tif,0.4,0,702556611,6,13,0.398,0.007462,37.5151,0.9483,0.014076,34.3461,0.9065
tiny,chip_351_539_merged.tif,0.4,1,321949980,6,13,0.398,0.006286,38.0886,0.9586,0.01214,35.1416,0.9235
tiny,chip_351_539_merged.tif,0.4,2,2088826997,6,13,0.398,0.006685,38.4392,0.9548,0.011515,35.6323,0.9217
tiny,chip_351_539_merged.tif,0.4,3,1608881479,6,13,0.398,0.007043,37.9115,0.9498,0.013931,34.6828,0.9035
tiny,chip_351_539_merged.tif,0.4,4,1228274848,6,13,0.398,0.006178,38.6749,0.9581,0.010855,36.0549,0.9281
tiny,chip_351_539_merged.tif,0.6,0,812197267,9,13,0.5969,0.011053,35.5077,0.9111,0.014604,34.3157,0.8845
tiny,chip_351_539_merged.tif,0.6,1,431590636,9,13,0.5969,0.014902,33.1641,0.9023,0.019981,31.6826,0.8748
tiny,chip_351_539_merged.tif,0.6,2,2099128766,9,13,0.5969,0.013504,33.9002,0.9049,0.017513,32.6413,0.8833
tiny,chip_351_539_merged.tif,0.6,3,1718522135,9,13,0.5969,0.012671,34.5022,0.9029,0.016879,33.2699,0.8768
tiny,chip_351_539_merged.tif,0.6,4,1337915504,9,13,0.5969,0.012333,34.3293,0.9063,0.016223,33.2946,0.8825
tiny,chip_351_539_merged.tif,0.8,0,1723488743,12,13,0.7959,0.024303,30.4157,0.8067,0.026075,30.0827,0.7943
tiny,chip_351_539_merged.tif,0.8,1,1243543225,12,13,0.7959,0.022687,30.7736,0.821,0.024249,30.3955,0.8157
tiny,chip_351_539_merged.tif,0.8,2,862936594,12,13,0.7959,0.022464,30.7378,0.8189,0.025632,30.0712,0.798
tiny,chip_351_539_merged.tif,0.8,3,382991076,12,13,0.7959,0.025554,29.8741,0.8062,0.027601,29.4668,0.7975
tiny,chip_351_539_merged.tif,0.8,4,2384445,12,13,0.7959,0.024275,30.3268,0.8146,0.02599,30.0259,0.8093
tiny,chip_107_106_merged.tif,0.2,0,1944054857,3,13,0.199,0.006674,35.558,0.9417,0.024904,29.6697,0.7802
tiny,chip_107_106_merged.tif,0.2,1,1464109339,3,13,0.199,0.008368,34.3133,0.9334,0.031299,28.2522,0.7362
tiny,chip_107_106_merged.tif,0.2,2,1083502708,3,13,0.199,0.006837,35.9062,0.945,0.022305,30.8173,0.8128
tiny,chip_107_106_merged.tif,0.2,3,603557190,3,13,0.199,0.005733,37.1384,0.956,0.021432,31.2053,0.8317
tiny,chip_107_106_merged.tif,0.2,4,222950559,3,13,0.199,0.006442,36.4481,0.9501,0.022589,30.8766,0.8313
tiny,chip_107_106_merged.tif,0.4,0,878779787,6,13,0.398,0.015365,31.6765,0.8798,0.029828,28.5893,0.7638
tiny,chip_107_106_merged.tif,0.4,1,498173156,6,13,0.398,0.014126,32.0568,0.8845,0.028667,28.818,0.761
tiny,chip_107_106_merged.tif,0.4,2,18227638,6,13,0.398,0.016675,31.2302,0.8667,0.029525,28.5818,0.7683
tiny,chip_107_106_merged.tif,0.4,3,1785104655,6,13,0.398,0.013616,32.5321,0.8888,0.026235,29.6394,0.786
tiny,chip_107_106_merged.tif,0.4,4,1305159137,6,13,0.398,0.014813,31.6372,0.8786,0.030823,28.2233,0.7445
tiny,chip_107_106_merged.tif,0.6,0,940802430,9,13,0.5969,0.024374,28.9326,0.7844,0.033094,27.4237,0.7115
tiny,chip_107_106_merged.tif,0.6,1,560195799,9,13,0.5969,0.024535,28.8135,0.796,0.033011,27.3344,0.7316
tiny,chip_107_106_merged.tif,0.6,2,179589168,9,13,0.5969,0.024058,29.0512,0.8008,0.032619,27.7346,0.7334
tiny,chip_107_106_merged.tif,0.6,3,1847127298,9,13,0.5969,0.024659,29.0372,0.7882,0.031548,27.9255,0.7459
tiny,chip_107_106_merged.tif,0.6,4,1466520667,9,13,0.5969,0.021606,29.7456,0.8139,0.031054,28.0074,0.7309
tiny,chip_107_106_merged.tif,0.8,0,557549121,12,13,0.7959,0.034503,27.0345,0.69,0.036538,26.742,0.6707
tiny,chip_107_106_merged.tif,0.8,1,77603603,12,13,0.7959,0.036181,26.8895,0.6744,0.037529,26.7934,0.6602
tiny,chip_107_106_merged.tif,0.8,2,1844480620,12,13,0.7959,0.035274,26.7286,0.6696,0.036821,26.7258,0.6547
tiny,chip_107_106_merged.tif,0.8,3,1364535102,12,13,0.7959,0.034933,26.5292,0.6717,0.040225,25.8918,0.6284
tiny,chip_107_106_merged.tif,0.8,4,983928471,12,13,0.7959,0.035485,26.8581,0.6718,0.039365,26.3456,0.6392
tiny,chip_308_293_merged.tif,0.2,0,802654550,3,13,0.199,0.004054,40.9197,0.973,0.014783,35.0631,0.9049
tiny,chip_308_293_merged.tif,0.2,1,422047919,3,13,0.199,0.004917,39.1771,0.9633,0.015608,33.7175,0.884
tiny,chip_308_293_merged.tif,0.2,2,2089586049,3,13,0.199,0.004195,39.6432,0.967,0.014675,33.932,0.8841
tiny,chip_308_293_merged.tif,0.2,3,1708979418,3,13,0.199,0.003996,40.6427,0.9715,0.014211,35.2745,0.9054
tiny,chip_308_293_merged.tif,0.2,4,1328372787,3,13,0.199,0.004181,39.6913,0.9678,0.015118,33.7524,0.8771
tiny,chip_308_293_merged.tif,0.4,0,1984202015,6,13,0.398,0.009618,35.4613,0.9287,0.018213,32.5475,0.867
tiny,chip_308_293_merged.tif,0.4,1,1504256497,6,13,0.398,0.008937,36.2565,0.9333,0.015755,33.5307,0.8856
tiny,chip_308_293_merged.tif,0.4,2,1123649866,6,13,0.398,0.008836,36.5616,0.9346,0.015814,33.6434,0.8868
tiny,chip_308_293_merged.tif,0.4,3,743043235,6,13,0.398,0.00922,35.8227,0.9319,0.018505,32.3633,0.8589
tiny,chip_308_293_merged.tif,0.4,4,263097717,6,13,0.398,0.008496,36.5461,0.9382,0.015925,33.803,0.89
tiny,chip_308_293_merged.tif,0.6,0,1240903808,9,13,0.5969,0.01473,33.5114,0.8943,0.020487,31.8998,0.8522
tiny,chip_308_293_merged.tif,0.6,1,760958290,9,13,0.5969,0.016238,33.0979,0.8915,0.021547,31.7527,0.8656
tiny,chip_308_293_merged.tif,0.6,2,380351659,9,13,0.5969,0.014266,33.7335,0.8913,0.019243,32.4318,0.8545
tiny,chip_308_293_merged.tif,0.6,3,2147228676,9,13,0.5969,0.014507,33.7504,0.8915,0.019195,32.4957,0.8568
tiny,chip_308_293_merged.tif,0.6,4,1667283158,9,13,0.5969,0.015885,33.1947,0.8877,0.021792,31.6928,0.8496
tiny,chip_308_293_merged.tif,0.8,0,758311612,12,13,0.7959,0.023903,30.6874,0.8162,0.025732,30.3945,0.8006
tiny,chip_308_293_merged.tif,0.8,1,377704981,12,13,0.7959,0.023138,30.9356,0.8261,0.024291,30.7029,0.8169
