chip,mask_ratio,100M,300M,600M,tiny,rank_tiny,rank_100M,rank_300M,rank_600M,metric
chip_053_176_merged.tif,0.6,38.87596,39.140679999999996,40.2969,37.4502,4.0,3.0,2.0,1.0,block_psnr
chip_053_176_merged.tif,0.8,35.97056,37.32744,37.10618,34.8273,4.0,3.0,1.0,2.0,block_psnr
chip_054_264_merged.tif,0.2,36.49038,35.641,37.31548,33.807280000000006,4.0,2.0,3.0,1.0,block_psnr
chip_054_264_merged.tif,0.4,36.757220000000004,36.854020000000006,37.644040000000004,34.51908,4.0,3.0,2.0,1.0,block_psnr
chip_054_264_merged.tif,0.6,35.076499999999996,35.0341,35.5804,33.23094,4.0,2.0,3.0,1.0,block_psnr
chip_054_264_merged.tif,0.8,34.87988,34.6209,34.20742,33.380919999999996,4.0,1.0,2.0,3.0,block_psnr
chip_055_200_merged.tif,0.2,40.37392,40.45982,40.49666,38.2919,4.0,3.0,2.0,1.0,block_psnr
chip_055_200_merged.tif,0.4,39.5805,39.507780000000004,39.617200000000004,38.01090000000001,4.0,2.0,3.0,1.0,block_psnr
chip_055_200_merged.tif,0.6,38.48028,38.80902,39.92382,37.27442,4.0,3.0,2.0,1.0,block_psnr
chip_055_200_merged.tif,0.8,37.63534,38.03072,38.47506,36.55566,4.0,3.0,2.0,1.0,block_psnr
chip_055_202_merged.tif,0.2,40.37518,39.70006,41.5204,38.079660000000004,4.0,2.0,3.0,1.0,block_psnr
chip_055_202_merged.tif,0.4,38.6605,38.62808,39.2247,36.84562,4.0,2.0,3.0,1.0,block_psnr
chip_055_202_merged.tif,0.6,37.84874,37.6721,37.37914,36.00196,4.0,1.0,2.0,3.0,block_psnr
chip_055_202_merged.tif,0.8,37.81394,37.59236,36.34982,35.91654,4.0,1.0,2.0,3.0,block_psnr
chip_057_118_merged.tif,0.2,35.34254,35.20778,35.997,33.15782,4.0,2.0,3.0,1.0,block_psnr
chip_057_118_merged.tif,0.4,34.06998,34.24094,34.427459999999996,32.27434,4.0,3.0,2.0,1.0,block_psnr
chip_057_118_merged.tif,0.6,33.123239999999996,33.03,33.761540000000004,31.21712,4.0,2.0,3.0,1.0,block_psnr
chip_057_118_merged.tif,0.8,32.68164,33.04966,30.90702,30.474239999999998,4.0,2.0,1.0,3.0,block_psnr
chip_058_191_merged.tif,0.2,39.23388,39.10834,39.43194,36.38208,4.0,2.0,3.0,1.0,block_psnr
chip_058_191_merged.tif,0.4,36.02912,35.7204,38.02942,34.27758,4.0,2.0,3.0,1.0,block_psnr
chip_058_191_merged.tif,0.6,35.42724,34.88344,35.64892,33.27982,4.0,2.0,3.0,1.0,block_psnr
chip_058_191_merged.tif,0.8,35.366139999999994,35.34388,32.842699999999994,34.49732,3.0,1.0,2.0,4.0,block_psnr
chip_059_190_merged.tif,0.2,40.871719999999996,40.80034,39.852459999999994,39.22156,4.0,1.0,2.0,3.0,block_psnr
chip_059_190_merged.tif,0.4,38.8243,38.83554,38.920159999999996,37.09058,4.0,3.0,2.0,1.0,block_psnr
chip_059_190_merged.tif,0.6,38.437580000000004,38.814319999999995,39.56872,37.35054,4.0,3.0,2.0,1.0,block_psnr
chip_059_190_merged.tif,0.8,36.36244000000001,37.10978,37.220119999999994,35.7073,4.0,3.0,2.0,1.0,block_psnr
chip_060_083_merged.tif,0.2,33.815999999999995,34.36128,32.9737,32.14936,4.0,2.0,1.0,3.0,block_psnr
chip_060_083_merged.tif,0.4,32.29836,32.49768,33.194140000000004,30.63886,4.0,3.0,2.0,1.0,block_psnr
chip_060_083_merged.tif,0.6,31.72146,32.394580000000005,34.053340000000006,29.7315,4.0,3.0,2.0,1.0,block_psnr
chip_060_083_merged.tif,0.8,30.30644,31.60634,31.17346,28.27892,4.0,3.0,1.0,2.0,block_psnr
chip_060_117_merged.tif,0.2,36.05774,36.5675,39.09086,35.32638,4.0,3.0,2.0,1.0,block_psnr
chip_060_117_merged.tif,0.4,38.00756,38.28882,38.05856,35.7516,4.0,3.0,1.0,2.0,block_psnr
chip_060_117_merged.tif,0.6,34.688120000000005,35.00848,35.4204,31.507260000000002,4.0,3.0,2.0,1.0,block_psnr
chip_060_117_merged.tif,0.8,33.77872,34.456579999999995,33.29434,31.887759999999997,4.0,2.0,1.0,3.0,block_psnr
chip_060_118_merged.tif,0.2,38.19228,38.27772,40.25694,36.71594,4.0,3.0,2.0,1.0,block_psnr
chip_060_118_merged.tif,0.4,37.52448,37.983999999999995,37.743700000000004,36.564280000000004,4.0,3.0,1.0,2.0,block_psnr
chip_060_118_merged.tif,0.6,37.17606,37.75076,38.326080000000005,36.1811,4.0,3.0,2.0,1.0,block_psnr
chip_060_118_merged.tif,0.8,35.66762,36.78936,35.708119999999994,35.99126,2.0,4.0,1.0,3.0,block_psnr
chip_063_116_merged.tif,0.2,34.1507,34.50824,35.9686,31.84118,4.0,3.0,2.0,1.0,block_psnr
chip_063_116_merged.tif,0.4,33.4266,34.097120000000004,35.3723,30.60376,4.0,3.0,2.0,1.0,block_psnr
chip_063_116_merged.tif,0.6,33.06186,33.56616,33.63982,30.65354,4.0,3.0,2.0,1.0,block_psnr
chip_063_116_merged.tif,0.8,32.16832,33.21436,33.7143,29.91508,4.0,3.0,2.0,1.0,block_psnr
chip_064_067_merged.tif,0.2,39.05718,38.55872,40.2171,35.085879999999996,4.0,2.0,3.0,1.0,block_psnr
chip_064_067_merged.tif,0.4,38.2312,39.4011,38.41908,34.554680000000005,4.0,3.0,1.0,2.0,block_psnr
chip_064_067_merged.tif,0.6,34.04982,33.73734,35.76596,31.52824,4.0,2.0,3.0,1.0,block_psnr
chip_064_067_merged.tif,0.8,27.548340000000003,27.923840000000002,32.4283,27.92404,2.0,4.0,3.0,1.0,block_psnr
chip_064_120_merged.tif,0.2,36.370799999999996,36.1565,36.94692,33.286440000000006,4.0,2.0,3.0,1.0,block_psnr
chip_064_120_merged.tif,0.4,34.11278,34.15262,35.201,31.0055,4.0,3.0,2.0,1.0,block_psnr
chip_064_120_merged.tif,0.6,33.23984,34.081759999999996,34.6335,31.84228,4.0,3.0,2.0,1.0,block_psnr
chip_064_120_merged.tif,0.8,32.92038,33.07776,32.73758,28.142500000000002,4.0,2.0,1.0,3.0,block_psnr
chip_064_352_merged.tif,0.2,30.879820000000002,31.640660000000004,32.096019999999996,28.907420000000002,4.0,3.0,2.0,1.0,block_psnr
chip_064_352_merged.tif,0.4,29.49714,30.26096,31.213620000000002,27.66836,4.0,3.0,2.0,1.0,block_psnr
chip_064_352_merged.tif,0.6,29.30236,30.14262,30.67586,27.36228,4.0,3.0,2.0,1.0,block_psnr
chip_064_352_merged.tif,0.8,29.05916,29.809260000000002,30.453300000000002,27.095799999999997,4.0,3.0,2.0,1.0,block_psnr
chip_064_354_merged.tif,0.2,30.509159999999998,30.69338,30.96586,27.936020000000003,4.0,3.0,2.0,1.0,block_psnr
chip_064_354_merged.tif,0.4,29.46388,29.62536,30.21944,27.591160000000002,4.0,3.0,2.0,1.0,block_psnr
chip_064_354_merged.tif,0.6,29.1642,29.393,30.44486,27.2803,4.0,3.0,2.0,1.0,block_psnr
chip_064_354_merged.tif,0.8,29.38506,29.65896,29.679040000000004,27.471680000000003,4.0,3.0,2.0,1.0,block_psnr
chip_065_348_merged.tif,0.2,30.342539999999996,30.891840000000002,32.45714,28.10062,4.0,3.0,2.0,1.0,block_psnr
chip_065_348_merged.tif,0.4,30.05946,30.60804,30.978699999999996,27.67294,4.0,3.0,2.0,1.0,block_psnr
chip_065_348_merged.tif,0.6,29.44864,29.926119999999997,30.908680000000004,27.6207,4.0,3.0,2.0,1.0,block_psnr
chip_065_348_merged.tif,0.8,28.53286,29.330740000000002,30.05456,27.1767,4.0,3.0,2.0,1.0,block_psnr
chip_066_347_merged.tif,0.2,31.49164,31.492259999999998,33.173559999999995,28.727300000000003,4.0,3.0,2.0,1.0,block_psnr
chip_066_347_merged.tif,0.4,30.3548,30.943540000000002,32.29696,29.260180000000002,4.0,3.0,2.0,1.0,block_psnr
chip_066_347_merged.tif,0.6,30.73292,30.382839999999998,31.8675,28.65536,4.0,2.0,3.0,1.0,block_psnr
chip_066_347_merged.tif,0.8,29.8822,29.939299999999996,30.74546,28.0006,4.0,3.0,2.0,1.0,block_psnr
chip_067_282_merged.tif,0.2,31.96144,32.55608,33.905680000000004,31.070819999999998,4.0,3.0,2.0,1.0,block_psnr
chip_067_282_merged.tif,0.4,32.720420000000004,32.81466,32.318380000000005,31.343880000000002,4.0,2.0,1.0,3.0,block_psnr
chip_067_282_merged.tif,0.6,32.20904,32.39586,32.531,30.629520000000003,4.0,3.0,2.0,1.0,block_psnr
chip_067_282_merged.tif,0.8,31.06146,31.432640000000003,31.46734,29.91442,4.0,3.0,2.0,1.0,block_psnr
chip_069_353_merged.tif,0.2,32.6693,33.120819999999995,33.549040000000005,30.17744,4.0,3.0,2.0,1.0,block_psnr
chip_069_353_merged.tif,0.4,32.33658,32.3407,32.721759999999996,29.944760000000002,4.0,3.0,2.0,1.0,block_psnr
chip_069_353_merged.tif,0.6,31.40072,31.99152,31.90598,28.9971,4.0,3.0,1.0,2.0,block_psnr
chip_069_353_merged.tif,0.8,31.19108,31.486200000000004,31.99218,28.48054,4.0,3.0,2.0,1.0,block_psnr
chip_071_257_merged.tif,0.2,36.07926,35.9867,36.51559999999999,33.60016,4.0,2.0,3.0,1.0,block_psnr
chip_071_257_merged.tif,0.4,33.70044,35.10776,35.72298,31.62616,4.0,3.0,2.0,1.0,block_psnr
chip_071_257_merged.tif,0.6,34.849540000000005,35.57988,35.686080000000004,32.986219999999996,4.0,3.0,2.0,1.0,block_psnr
chip_071_257_merged.tif,0.8,33.072919999999996,33.959199999999996,33.36478,31.96332,4.0,3.0,1.0,2.0,block_psnr
chip_074_351_merged.tif,0.2,32.08936,32.287220000000005,32.617360000000005,29.92826,4.0,3.0,2.0,1.0,block_psnr
chip_074_351_merged.tif,0.4,31.33602,31.603999999999996,32.731759999999994,29.75802,4.0,3.0,2.0,1.0,block_psnr
chip_074_351_merged.tif,0.6,30.8841,31.54334,32.18074,29.580579999999998,4.0,3.0,2.0,1.0,block_psnr
chip_074_351_merged.tif,0.8,30.60204,31.280880000000003,31.95946,29.22344,4.0,3.0,2.0,1.0,block_psnr
chip_075_347_merged.tif,0.2,30.65834,31.08038,32.31364,27.92688,4.0,3.0,2.0,1.0,block_psnr
chip_075_347_merged.tif,0.4,30.53324,30.6806,31.70364,28.310579999999998,4.0,3.0,2.0,1.0,block_psnr
chip_075_347_merged.tif,0.6,30.001780000000004,30.62798,30.95154,28.123759999999997,4.0,3.0,2.0,1.0,block_psnr
chip_075_347_merged.tif,0.8,29.99484,30.59522,30.61058,28.26848,4.0,3.0,2.0,1.0,block_psnr
chip_075_350_merged.tif,0.2,31.68254,32.45606,33.23008,28.12428,4.0,3.0,2.0,1.0,block_psnr
chip_075_350_merged.tif,0.4,32.59232,33.2564,33.24572,31.19384,4.0,3.0,1.0,2.0,block_psnr
chip_075_350_merged.tif,0.6,31.19216,31.797360000000005,32.94182,29.25292,4.0,3.0,2.0,1.0,block_psnr
chip_075_350_merged.tif,0.8,29.782640000000004,30.92652,31.442200000000003,28.47398,4.0,3.0,2.0,1.0,block_psnr
chip_079_220_merged.tif,0.2,33.08204,32.791880000000006,33.16016,32.14622,4.0,2.0,3.0,1.0,block_psnr
chip_079_220_merged.tif,0.4,30.393340000000002,30.66144,31.38052,29.378179999999997,4.0,3.0,2.0,1.0,block_psnr
chip_079_220_merged.tif,0.6,30.227159999999998,30.647879999999997,31.560360000000003,29.447680000000002,4.0,3.0,2.0,1.0,block_psnr
chip_079_220_merged.tif,0.8,30.32448,30.597,27.755900000000004,29.350540000000002,3.0,2.0,1.0,4.0,block_psnr
chip_080_231_merged.tif,0.2,30.90174,30.6407,30.96246,29.52826,4.0,2.0,3.0,1.0,block_psnr
chip_080_231_merged.tif,0.4,34.15794,34.62382,34.241820000000004,32.37398,4.0,3.0,1.0,2.0,block_psnr
chip_080_231_merged.tif,0.6,33.18246,33.64788,33.18582,32.951319999999996,4.0,3.0,1.0,2.0,block_psnr
chip_080_231_merged.tif,0.8,32.18976,32.243700000000004,31.55734,31.752,3.0,2.0,1.0,4.0,block_psnr
chip_081_176_merged.tif,0.2,32.0726,32.29238,31.456,31.183820000000004,4.0,2.0,1.0,3.0,block_psnr
chip_081_176_merged.tif,0.4,32.233,32.658100000000005,31.72874,32.232420000000005,3.0,2.0,1.0,4.0,block_psnr
chip_081_176_merged.tif,0.6,31.51632,32.11252,32.662079999999996,32.09486,3.0,4.0,2.0,1.0,block_psnr
chip_081_176_merged.tif,0.8,31.01538,31.436500000000002,32.35304,30.79402,4.0,3.0,2.0,1.0,block_psnr
chip_081_345_merged.tif,0.2,33.03662,34.07362,34.87776,30.54878,4.0,3.0,2.0,1.0,block_psnr
chip_081_345_merged.tif,0.4,31.311259999999997,33.161120000000004,34.0646,29.789139999999996,4.0,3.0,2.0,1.0,block_psnr
