backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
600M,chip_032_111_merged.tif,0.2,0,607217224,50,36.9825,36.9825,0.0,40.0062,40.0062,0.0,0.009408,0.006964
600M,chip_032_111_merged.tif,0.2,1,226610593,50,34.0906,34.0906,-0.0,39.6616,39.6616,0.0,0.013531,0.007193
600M,chip_032_111_merged.tif,0.2,2,1894148723,50,39.4615,39.4615,0.0,38.5387,38.5387,0.0,0.007515,0.007505
600M,chip_032_111_merged.tif,0.2,3,1513542092,50,39.304,39.304,0.0,39.4952,39.4952,0.0,0.007736,0.007441
600M,chip_032_111_merged.tif,0.2,4,1033596574,50,38.8493,38.8493,0.0,38.6438,38.6438,0.0,0.008138,0.007463
600M,chip_032_111_merged.tif,0.4,0,446601891,100,37.642,37.642,0.0,38.6081,38.6081,0.0,0.00845,0.007387
600M,chip_032_111_merged.tif,0.4,1,2114140021,100,37.7078,37.7078,0.0,37.6879,37.6879,-0.0,0.008765,0.008175
600M,chip_032_111_merged.tif,0.4,2,1733533390,100,36.9811,36.9811,0.0,38.4003,38.4003,-0.0,0.009607,0.007796
600M,chip_032_111_merged.tif,0.4,3,1352926759,100,37.0831,37.0831,0.0,37.4504,37.4504,-0.0,0.009246,0.008235
600M,chip_032_111_merged.tif,0.4,4,872981241,100,37.2208,37.2208,0.0,38.7993,38.7993,-0.0,0.009349,0.007486
600M,chip_032_111_merged.tif,0.6,0,1850787332,154,33.3407,33.3407,0.0,37.1893,37.1893,-0.0,0.013334,0.00856
600M,chip_032_111_merged.tif,0.6,1,1370841814,154,35.1805,35.1805,0.0,36.682,36.682,0.0,0.010058,0.008705
600M,chip_032_111_merged.tif,0.6,2,990235183,154,37.13,37.13,-0.0,36.8936,36.8936,-0.0,0.00905,0.008934
600M,chip_032_111_merged.tif,0.6,3,609628552,154,33.3401,33.3401,-0.0,38.0893,38.0893,-0.0,0.013336,0.007914
600M,chip_032_111_merged.tif,0.6,4,129683034,154,33.0874,33.0874,-0.0,37.7507,37.7507,-0.0,0.013835,0.008182
600M,chip_032_111_merged.tif,0.8,0,1368195136,208,34.9798,34.9798,-0.0,36.0497,36.0497,0.0,0.010841,0.009779
600M,chip_032_111_merged.tif,0.8,1,987588505,208,33.3869,33.3869,0.0,35.4155,35.4155,0.0,0.012951,0.010511
600M,chip_032_111_merged.tif,0.8,2,507642987,208,34.9798,34.9798,-0.0,35.9083,35.9083,-0.0,0.010841,0.009882
600M,chip_032_111_merged.tif,0.8,3,127036356,208,35.8035,35.8035,0.0,35.4114,35.4114,0.0,0.010564,0.009809
600M,chip_032_111_merged.tif,0.8,4,1794574486,208,33.3863,33.3863,-0.0,35.5621,35.5621,-0.0,0.012952,0.01013
600M,chip_032_183_merged.tif,0.2,0,108174139,50,44.2922,44.2922,0.0,46.2743,46.2743,0.0,0.004476,0.003393
600M,chip_032_183_merged.tif,0.2,1,1875051156,50,46.0616,46.0616,0.0,47.3392,47.3392,-0.0,0.003714,0.003014
600M,chip_032_183_merged.tif,0.2,2,1494444525,50,47.9209,47.9209,-0.0,47.4426,47.4426,0.0,0.002893,0.003065
600M,chip_032_183_merged.tif,0.2,3,1014499007,50,46.6517,46.6517,-0.0,46.5585,46.5585,-0.0,0.003232,0.003286
600M,chip_032_183_merged.tif,0.2,4,633892376,50,45.1503,45.1503,-0.0,46.4237,46.4237,-0.0,0.003969,0.00324
600M,chip_032_183_merged.tif,0.4,0,2095042454,100,46.6802,46.6802,0.0,47.5095,47.5095,0.0,0.003311,0.002927
600M,chip_032_183_merged.tif,0.4,1,1714435823,100,47.4256,47.4256,-0.0,47.2236,47.2236,-0.0,0.003086,0.003057
600M,chip_032_183_merged.tif,0.4,2,1234490305,100,47.9699,47.9699,-0.0,47.0855,47.0855,-0.0,0.002835,0.003127
600M,chip_032_183_merged.tif,0.4,3,853883674,100,46.5318,46.5318,0.0,47.962,47.962,0.0,0.003393,0.002811
600M,chip_032_183_merged.tif,0.4,4,373938156,100,46.5116,46.5116,0.0,47.5999,47.5999,0.0,0.003411,0.00292
600M,chip_032_183_merged.tif,0.6,0,1351744247,154,45.9897,45.9897,-0.0,47.8874,47.8874,-0.0,0.0036,0.002818
600M,chip_032_183_merged.tif,0.6,1,971137616,154,46.7578,46.7578,-0.0,47.9233,47.9233,-0.0,0.00332,0.002793
600M,chip_032_183_merged.tif,0.6,2,491192098,154,46.8613,46.8613,-0.0,48.0721,48.0721,-0.0,0.003266,0.00281
600M,chip_032_183_merged.tif,0.6,3,110585467,154,47.4147,47.4147,-0.0,47.9664,47.9664,-0.0,0.003029,0.002797
600M,chip_032_183_merged.tif,0.6,4,1877462484,154,47.4158,47.4158,0.0,47.8713,47.8713,-0.0,0.003029,0.002856
600M,chip_032_183_merged.tif,0.8,0,869152051,208,46.5128,46.5128,0.0,47.8845,47.8845,0.0,0.003464,0.002849
