backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
100M,chip_010_063_merged.tif,0.2,0,537862152,39,30.7342,30.7342,0.0,36.4491,36.4491,0.0,0.017527,0.008958
100M,chip_010_063_merged.tif,0.2,1,157255521,39,38.7669,38.7669,0.0,36.9989,36.9989,0.0,0.006972,0.00845
100M,chip_010_063_merged.tif,0.2,2,1824793651,39,34.3118,34.3118,0.0,35.6767,35.6767,-0.0,0.010729,0.009184
100M,chip_010_063_merged.tif,0.2,3,1444187020,39,38.7663,38.7663,-0.0,35.6276,35.6276,0.0,0.006973,0.009692
100M,chip_010_063_merged.tif,0.2,4,964241502,39,31.0163,31.0163,0.0,38.0797,38.0797,-0.0,0.016756,0.007331
100M,chip_010_063_merged.tif,0.4,0,377246819,78,34.8247,34.8247,0.0,36.7437,36.7437,-0.0,0.010655,0.008612
100M,chip_010_063_merged.tif,0.4,1,2044784949,78,31.8903,31.8903,-0.0,36.6924,36.6924,-0.0,0.015314,0.008684
100M,chip_010_063_merged.tif,0.4,2,1664178318,78,32.3031,32.3031,0.0,36.0362,36.0362,-0.0,0.013868,0.009379
100M,chip_010_063_merged.tif,0.4,3,1283571687,78,36.7678,36.7678,0.0,36.7142,36.7142,0.0,0.00861,0.008755
100M,chip_010_063_merged.tif,0.4,4,803626169,78,32.0625,32.0625,-0.0,36.9364,36.9364,-0.0,0.01388,0.008642
100M,chip_010_063_merged.tif,0.6,0,1781432260,117,32.6869,32.6869,-0.0,35.185,35.185,0.0,0.01297,0.009669
100M,chip_010_063_merged.tif,0.6,1,1301486742,117,32.4061,32.4061,0.0,36.7105,36.7105,0.0,0.013741,0.008466
100M,chip_010_063_merged.tif,0.6,2,920880111,117,32.2253,32.2253,-0.0,35.1676,35.1676,-0.0,0.013957,0.009716
100M,chip_010_063_merged.tif,0.6,3,540273480,117,32.4995,32.4995,-0.0,36.055,36.055,-0.0,0.013305,0.009227
100M,chip_010_063_merged.tif,0.6,4,60327962,117,33.1926,33.1926,-0.0,36.0102,36.0102,-0.0,0.01258,0.009049
100M,chip_010_063_merged.tif,0.8,0,1298840064,156,33.2244,33.2244,-0.0,35.4642,35.4642,-0.0,0.012134,0.009481
100M,chip_010_063_merged.tif,0.8,1,918233433,156,33.2573,33.2573,-0.0,35.2523,35.2523,0.0,0.012087,0.009812
100M,chip_010_063_merged.tif,0.8,2,438287915,156,33.2278,33.2278,0.0,34.8841,34.8841,-0.0,0.012107,0.009995
100M,chip_010_063_merged.tif,0.8,3,57681284,156,33.0406,33.0406,-0.0,35.6317,35.6317,0.0,0.012329,0.009553
100M,chip_010_063_merged.tif,0.8,4,1725219414,156,32.9436,32.9436,0.0,35.5997,35.5997,-0.0,0.012479,0.009598
100M,chip_030_076_merged.tif,0.2,0,188996778,39,39.6965,39.6965,0.0,39.4853,39.4853,0.0,0.006611,0.007031
100M,chip_030_076_merged.tif,0.2,1,1856534908,39,39.7592,39.7592,0.0,39.292,39.292,-0.0,0.006465,0.007207
100M,chip_030_076_merged.tif,0.2,2,1475928277,39,38.2624,38.2624,-0.0,39.974,39.974,0.0,0.008212,0.006857
100M,chip_030_076_merged.tif,0.2,3,995982759,39,38.2016,38.2016,-0.0,39.202,39.202,0.0,0.008087,0.007206
100M,chip_030_076_merged.tif,0.2,4,615376128,39,38.2012,38.2012,0.0,39.2061,39.2061,-0.0,0.008087,0.007167
100M,chip_030_076_merged.tif,0.4,0,1271205356,78,39.2714,39.2714,-0.0,39.284,39.284,-0.0,0.007146,0.007039
100M,chip_030_076_merged.tif,0.4,1,890598725,78,39.2719,39.2719,0.0,39.2684,39.2684,0.0,0.007145,0.007131
100M,chip_030_076_merged.tif,0.4,2,410653207,78,39.2056,39.2056,0.0,39.8935,39.8935,0.0,0.007238,0.006696
100M,chip_030_076_merged.tif,0.4,3,30046576,78,38.0019,38.0019,-0.0,39.883,39.883,0.0,0.008404,0.006746
100M,chip_030_076_merged.tif,0.4,4,1697584706,78,38.4947,38.4947,-0.0,39.3775,39.3775,0.0,0.007838,0.00714
100M,chip_030_076_merged.tif,0.6,0,1333227999,117,38.3191,38.3191,-0.0,39.5361,39.5361,0.0,0.007946,0.006964
100M,chip_030_076_merged.tif,0.6,1,952621368,117,38.4854,38.4854,0.0,39.0779,39.0779,-0.0,0.007815,0.007284
100M,chip_030_076_merged.tif,0.6,2,572014737,117,38.1423,38.1423,0.0,39.2615,39.2615,0.0,0.008174,0.00713
100M,chip_030_076_merged.tif,0.6,3,92069219,117,38.0739,38.0739,-0.0,39.3743,39.3743,0.0,0.008257,0.007045
100M,chip_030_076_merged.tif,0.6,4,1858946236,117,38.4984,38.4984,-0.0,39.4436,39.4436,-0.0,0.007795,0.006927
100M,chip_030_076_merged.tif,0.8,0,949974690,156,38.4668,38.4668,-0.0,38.5829,38.5829,0.0,0.007829,0.007671
100M,chip_030_076_merged.tif,0.8,1,470029172,156,38.4914,38.4914,-0.0,38.5201,38.5201,0.0,0.007818,0.007587
100M,chip_030_076_merged.tif,0.8,2,89422541,156,38.0244,38.0244,-0.0,38.6558,38.6558,0.0,0.008249,0.007544
100M,chip_030_076_merged.tif,0.8,3,1756960671,156,38.0257,38.0257,0.0,38.5609,38.5609,0.0,0.00825,0.007576
100M,chip_030_076_merged.tif,0.8,4,1376354040,156,38.4806,38.4806,-0.0,39.038,39.038,0.0,0.007828,0.007285
100M,chip_032_111_merged.tif,0.2,0,607217224,39,34.8845,34.8845,-0.0,37.7999,37.7999,-0.0,0.011393,0.008639
100M,chip_032_111_merged.tif,0.2,1,226610593,39,33.9275,33.9275,0.0,37.4202,37.4202,-0.0,0.013699,0.009227
100M,chip_032_111_merged.tif,0.2,2,1894148723,39,34.6271,34.6271,0.0,37.9073,37.9073,0.0,0.01021,0.008651
100M,chip_032_111_merged.tif,0.2,3,1513542092,39,37.1376,37.1376,-0.0,36.7487,36.7487,0.0,0.009571,0.00897
100M,chip_032_111_merged.tif,0.2,4,1033596574,39,37.1382,37.1382,0.0,36.4146,36.4146,-0.0,0.009571,0.009909
100M,chip_032_111_merged.tif,0.4,0,446601891,78,35.1607,35.1607,0.0,36.413,36.413,0.0,0.010328,0.009698
100M,chip_032_111_merged.tif,0.4,1,2114140021,78,35.9908,35.9908,-0.0,37.9116,37.9116,-0.0,0.010531,0.00847
100M,chip_032_111_merged.tif,0.4,2,1733533390,78,35.3199,35.3199,-0.0,36.9047,36.9047,-0.0,0.011211,0.009129
100M,chip_032_111_merged.tif,0.4,3,1352926759,78,35.9907,35.9907,-0.0,35.9791,35.9791,-0.0,0.01053,0.009424
100M,chip_032_111_merged.tif,0.4,4,872981241,78,35.99,35.99,0.0,37.2012,37.2012,-0.0,0.010531,0.009099
100M,chip_032_111_merged.tif,0.6,0,1850787332,117,32.6755,32.6755,-0.0,35.3487,35.3487,-0.0,0.014663,0.010699
100M,chip_032_111_merged.tif,0.6,1,1370841814,117,34.5356,34.5356,0.0,34.7941,34.7941,0.0,0.011084,0.010753
100M,chip_032_111_merged.tif,0.6,2,990235183,117,36.6136,36.6136,0.0,36.1786,36.1786,0.0,0.009679,0.009807
100M,chip_032_111_merged.tif,0.6,3,609628552,117,32.3051,32.3051,0.0,36.3205,36.3205,-0.0,0.0153,0.009878
100M,chip_032_111_merged.tif,0.6,4,129683034,117,32.6807,32.6807,0.0,35.6939,35.6939,0.0,0.014657,0.010453
100M,chip_032_111_merged.tif,0.8,0,1368195136,156,34.4598,34.4598,0.0,34.3249,34.3249,0.0,0.011943,0.011395
100M,chip_032_111_merged.tif,0.8,1,987588505,156,35.5819,35.5819,0.0,35.2904,35.2904,0.0,0.010884,0.010932
100M,chip_032_111_merged.tif,0.8,2,507642987,156,35.5867,35.5867,0.0,34.9887,34.9887,0.0,0.010872,0.011079
100M,chip_032_111_merged.tif,0.8,3,127036356,156,34.462,34.462,-0.0,35.272,35.272,-0.0,0.011937,0.010858
100M,chip_032_111_merged.tif,0.8,4,1794574486,156,35.5853,35.5853,0.0,34.4323,34.4323,0.0,0.010872,0.011385
100M,chip_032_183_merged.tif,0.2,0,108174139,39,42.6183,42.6183,0.0,46.3994,46.3994,0.0,0.005535,0.003302
100M,chip_032_183_merged.tif,0.2,1,1875051156,39,45.0687,45.0687,0.0,45.7853,45.7853,0.0,0.004164,0.003557
100M,chip_032_183_merged.tif,0.2,2,1494444525,39,46.7872,46.7872,-0.0,45.4339,45.4339,-0.0,0.003273,0.003688
100M,chip_032_183_merged.tif,0.2,3,1014499007,39,45.5035,45.5035,-0.0,44.7736,44.7736,0.0,0.003947,0.004051
100M,chip_032_183_merged.tif,0.2,4,633892376,39,43.3423,43.3423,-0.0,46.009,46.009,-0.0,0.004974,0.003515
100M,chip_032_183_merged.tif,0.4,0,2095042454,78,44.5026,44.5026,0.0,45.4465,45.4465,0.0,0.004401,0.00371
100M,chip_032_183_merged.tif,0.4,1,1714435823,78,46.668,46.668,0.0,46.0646,46.0646,-0.0,0.003361,0.003478
100M,chip_032_183_merged.tif,0.4,2,1234490305,78,45.3158,45.3158,-0.0,46.2338,46.2338,-0.0,0.003999,0.003432
100M,chip_032_183_merged.tif,0.4,3,853883674,78,45.3199,45.3199,0.0,45.9614,45.9614,-0.0,0.003997,0.003481
100M,chip_032_183_merged.tif,0.4,4,373938156,78,44.2664,44.2664,0.0,45.6461,45.6461,-0.0,0.004501,0.00356
100M,chip_032_183_merged.tif,0.6,0,1351744247,117,43.5366,43.5366,0.0,45.7955,45.7955,0.0,0.004736,0.003576
100M,chip_032_183_merged.tif,0.6,1,971137616,117,44.2566,44.2566,-0.0,46.0454,46.0454,0.0,0.004491,0.003509
100M,chip_032_183_merged.tif,0.6,2,491192098,117,44.2928,44.2928,0.0,46.0958,46.0958,0.0,0.004481,0.003461
100M,chip_032_183_merged.tif,0.6,3,110585467,117,45.0912,45.0912,-0.0,45.8715,45.8715,0.0,0.004182,0.003517
100M,chip_032_183_merged.tif,0.6,4,1877462484,117,45.4094,45.4094,0.0,45.813,45.813,0.0,0.003945,0.003511
100M,chip_032_183_merged.tif,0.8,0,869152051,156,43.9658,43.9658,0.0,45.9029,45.9029,0.0,0.004454,0.003542
100M,chip_032_183_merged.tif,0.8,1,488545420,156,44.4037,44.4037,-0.0,45.59,45.59,0.0,0.00444,0.003644
100M,chip_032_183_merged.tif,0.8,2,107938789,156,44.4354,44.4354,0.0,45.5773,45.5773,-0.0,0.004394,0.00363
100M,chip_032_183_merged.tif,0.8,3,1775476919,156,44.4584,44.4584,-0.0,45.8681,45.8681,-0.0,0.004381,0.003544
100M,chip_032_183_merged.tif,0.8,4,1394870288,156,43.5367,43.5367,-0.0,45.4959,45.4959,0.0,0.004717,0.003694
100M,chip_036_147_merged.tif,0.2,0,1151733073,39,36.7086,36.7086,-0.0,38.9881,38.9881,0.0,0.007861,0.007177
100M,chip_036_147_merged.tif,0.2,1,671787555,39,37.7048,37.7048,0.0,40.1139,40.1139,-0.0,0.007873,0.006493
100M,chip_036_147_merged.tif,0.2,2,291180924,39,35.3332,35.3332,0.0,39.4139,39.4139,-0.0,0.009628,0.007029
100M,chip_036_147_merged.tif,0.2,3,2058057941,39,38.4141,38.4141,0.0,39.5286,39.5286,0.0,0.007785,0.006836
100M,chip_036_147_merged.tif,0.2,4,1578112423,39,35.7618,35.7618,-0.0,40.0245,40.0245,-0.0,0.008839,0.006369
100M,chip_036_147_merged.tif,0.4,0,991117740,78,37.4133,37.4133,0.0,39.7092,39.7092,0.0,0.008025,0.006645
100M,chip_036_147_merged.tif,0.4,1,511172222,78,37.1692,37.1692,-0.0,39.0882,39.0882,0.0,0.008166,0.00702
100M,chip_036_147_merged.tif,0.4,2,130565591,78,37.1304,37.1304,-0.0,39.2074,39.2074,0.0,0.007741,0.007013
100M,chip_036_147_merged.tif,0.4,3,1798103721,78,32.6611,32.6611,0.0,39.4728,39.4728,0.0,0.012197,0.006932
100M,chip_036_147_merged.tif,0.4,4,1417497090,78,37.9476,37.9476,-0.0,37.5198,37.5198,0.0,0.007591,0.007649
100M,chip_036_147_merged.tif,0.6,0,1001419509,117,36.632,36.632,0.0,38.5608,38.5608,-0.0,0.008726,0.007159
100M,chip_036_147_merged.tif,0.6,1,620812878,117,37.3237,37.3237,0.0,38.7015,38.7015,0.0,0.007865,0.007173
100M,chip_036_147_merged.tif,0.6,2,240206247,117,37.1791,37.1791,0.0,39.194,39.194,0.0,0.008157,0.006771
100M,chip_036_147_merged.tif,0.6,3,1907744377,117,37.4405,37.4405,0.0,39.5612,39.5612,0.0,0.008009,0.006792
100M,chip_036_147_merged.tif,0.6,4,1527137746,117,37.4723,37.4723,0.0,37.1876,37.1876,-0.0,0.007716,0.007606
100M,chip_036_147_merged.tif,0.8,0,1912710985,156,36.4765,36.4765,-0.0,36.8296,36.8296,-0.0,0.008627,0.008111
100M,chip_036_147_merged.tif,0.8,1,1432765467,156,37.0998,37.0998,0.0,35.4414,35.4414,-0.0,0.008005,0.009146
100M,chip_036_147_merged.tif,0.8,2,1052158836,156,33.8509,33.8509,-0.0,38.703,38.703,0.0,0.01054,0.007053
100M,chip_036_147_merged.tif,0.8,3,671552205,156,37.0535,37.0535,0.0,37.3819,37.3819,-0.0,0.007986,0.007885
100M,chip_036_147_merged.tif,0.8,4,191606687,156,37.0641,37.0641,-0.0,36.7988,36.7988,-0.0,0.007979,0.008182
100M,chip_037_102_merged.tif,0.2,0,398483738,39,37.0087,37.0087,0.0,39.7263,39.7263,-0.0,0.008913,0.006984
100M,chip_037_102_merged.tif,0.2,1,17877107,39,33.22,33.22,-0.0,39.8731,39.8731,0.0,0.012282,0.006659
100M,chip_037_102_merged.tif,0.2,2,1685415237,39,38.8502,38.8502,-0.0,40.5568,40.5568,0.0,0.006959,0.00637
100M,chip_037_102_merged.tif,0.2,3,1304808606,39,37.0103,37.0103,0.0,39.8105,39.8105,-0.0,0.008912,0.00682
100M,chip_037_102_merged.tif,0.2,4,824863088,39,38.1152,38.1152,-0.0,40.5844,40.5844,-0.0,0.008847,0.006031
100M,chip_037_102_merged.tif,0.4,0,237868405,78,32.3891,32.3891,0.0,37.0087,37.0087,0.0,0.012813,0.008047
100M,chip_037_102_merged.tif,0.4,1,1905406535,78,34.2817,34.2817,0.0,39.4273,39.4273,0.0,0.012251,0.006697
100M,chip_037_102_merged.tif,0.4,2,1524799904,78,32.0495,32.0495,0.0,37.4519,37.4519,-0.0,0.014257,0.007752
100M,chip_037_102_merged.tif,0.4,3,1044854386,78,36.9166,36.9166,0.0,40.0777,40.0777,0.0,0.009059,0.006572
100M,chip_037_102_merged.tif,0.4,4,664247755,78,31.2424,31.2424,-0.0,39.1762,39.1762,-0.0,0.015101,0.006868
100M,chip_037_102_merged.tif,0.6,0,1642053846,117,33.4378,33.4378,0.0,38.8882,38.8882,0.0,0.012554,0.007357
100M,chip_037_102_merged.tif,0.6,1,1162108328,117,34.1625,34.1625,-0.0,35.8162,35.8162,0.0,0.01146,0.008493
100M,chip_037_102_merged.tif,0.6,2,781501697,117,33.5556,33.5556,-0.0,38.2644,38.2644,-0.0,0.011925,0.00777
100M,chip_037_102_merged.tif,0.6,3,301556179,117,35.8886,35.8886,0.0,38.0438,38.0438,0.0,0.010476,0.007494
100M,chip_037_102_merged.tif,0.6,4,2068433196,117,34.8656,34.8656,-0.0,39.632,39.632,0.0,0.01122,0.006993
100M,chip_037_102_merged.tif,0.8,0,1159461650,156,32.7823,32.7823,-0.0,36.2454,36.2454,0.0,0.012854,0.008865
100M,chip_037_102_merged.tif,0.8,1,778855019,156,33.4209,33.4209,0.0,37.8076,37.8076,-0.0,0.012709,0.008108
100M,chip_037_102_merged.tif,0.8,2,298909501,156,32.302,32.302,-0.0,37.6423,37.6423,-0.0,0.014155,0.008078
100M,chip_037_102_merged.tif,0.8,3,2065786518,156,32.7794,32.7794,-0.0,37.8673,37.8673,-0.0,0.012863,0.007996
