backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
300M,chip_010_063_merged.tif,0.2,0,537862152,39,30.9599,36.7153,5.7555
300M,chip_010_063_merged.tif,0.2,1,157255521,39,37.3099,37.4767,0.1667
300M,chip_010_063_merged.tif,0.2,2,1824793651,39,34.441,35.9901,1.5491
300M,chip_010_063_merged.tif,0.2,3,1444187020,39,37.3101,35.9873,-1.3228
300M,chip_010_063_merged.tif,0.2,4,964241502,39,30.9669,38.1625,7.1956
300M,chip_010_063_merged.tif,0.4,0,377246819,78,34.6385,37.2934,2.6549
300M,chip_010_063_merged.tif,0.4,1,2044784949,78,31.9515,36.8032,4.8517
300M,chip_010_063_merged.tif,0.4,2,1664178318,78,32.8727,36.206,3.3333
300M,chip_010_063_merged.tif,0.4,3,1283571687,78,36.3788,37.0242,0.6454
300M,chip_010_063_merged.tif,0.4,4,803626169,78,32.1297,37.0615,4.9318
300M,chip_010_063_merged.tif,0.6,0,1781432260,117,32.7005,35.6852,2.9847
300M,chip_010_063_merged.tif,0.6,1,1301486742,117,32.4492,37.186,4.7368
300M,chip_010_063_merged.tif,0.6,2,920880111,117,32.4247,35.4478,3.0231
300M,chip_010_063_merged.tif,0.6,3,540273480,117,32.5096,36.5226,4.013
300M,chip_010_063_merged.tif,0.6,4,60327962,117,33.3254,36.4847,3.1593
300M,chip_010_063_merged.tif,0.8,0,1298840064,156,33.3161,35.793,2.477
300M,chip_010_063_merged.tif,0.8,1,918233433,156,33.3532,35.8052,2.452
300M,chip_010_063_merged.tif,0.8,2,438287915,156,33.3487,35.3054,1.9567
300M,chip_010_063_merged.tif,0.8,3,57681284,156,33.3674,35.997,2.6296
300M,chip_010_063_merged.tif,0.8,4,1725219414,156,33.0867,35.8758,2.7891
300M,chip_030_076_merged.tif,0.2,0,188996778,39,39.9086,39.4659,-0.4427
300M,chip_030_076_merged.tif,0.2,1,1856534908,39,39.8902,39.2204,-0.6698
300M,chip_030_076_merged.tif,0.2,2,1475928277,39,36.714,40.1305,3.4164
300M,chip_030_076_merged.tif,0.2,3,995982759,39,36.7571,39.2987,2.5417
300M,chip_030_076_merged.tif,0.2,4,615376128,39,36.7577,39.4685,2.7108
300M,chip_030_076_merged.tif,0.4,0,1271205356,78,39.543,39.4784,-0.0646
300M,chip_030_076_merged.tif,0.4,1,890598725,78,39.5434,39.4514,-0.0921
300M,chip_030_076_merged.tif,0.4,2,410653207,78,39.3332,40.0058,0.6725
300M,chip_030_076_merged.tif,0.4,3,30046576,78,36.8671,40.0787,3.2115
300M,chip_030_076_merged.tif,0.4,4,1697584706,78,38.2804,39.5361,1.2557
300M,chip_030_076_merged.tif,0.6,0,1333227999,117,38.4449,39.7839,1.339
300M,chip_030_076_merged.tif,0.6,1,952621368,117,38.7207,39.3366,0.6159
300M,chip_030_076_merged.tif,0.6,2,572014737,117,38.1331,39.4361,1.303
300M,chip_030_076_merged.tif,0.6,3,92069219,117,38.2294,39.6323,1.4029
300M,chip_030_076_merged.tif,0.6,4,1858946236,117,38.7283,39.748,1.0196
300M,chip_030_076_merged.tif,0.8,0,949974690,156,38.7965,38.9493,0.1528
300M,chip_030_076_merged.tif,0.8,1,470029172,156,38.7457,38.8689,0.1232
300M,chip_030_076_merged.tif,0.8,2,89422541,156,38.3661,38.9402,0.5741
300M,chip_030_076_merged.tif,0.8,3,1756960671,156,38.3662,39.0501,0.6839
300M,chip_030_076_merged.tif,0.8,4,1376354040,156,38.7422,39.3303,0.5881
300M,chip_032_111_merged.tif,0.2,0,607217224,39,34.75,37.7487,2.9987
300M,chip_032_111_merged.tif,0.2,1,226610593,39,33.7839,37.2076,3.4236
300M,chip_032_111_merged.tif,0.2,2,1894148723,39,35.5923,37.9186,2.3263
300M,chip_032_111_merged.tif,0.2,3,1513542092,39,38.0843,36.6988,-1.3855
300M,chip_032_111_merged.tif,0.2,4,1033596574,39,38.0843,36.6807,-1.4036
300M,chip_032_111_merged.tif,0.4,0,446601891,78,35.9924,36.8275,0.835
