backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr_logged,block_psnr_replay,block_psnr_diff,random_psnr_logged,random_psnr_replay,random_psnr_diff,block_mae,random_mae
tiny,chip_030_076_merged.tif,0.8,4,1376354040,156,36.8798,36.8798,-0.0,37.2941,37.2941,0.0,0.009738,0.009176
tiny,chip_032_111_merged.tif,0.2,0,607217224,39,33.1973,33.1973,0.0,35.9394,35.9394,0.0,0.014763,0.011064
tiny,chip_032_111_merged.tif,0.2,1,226610593,39,32.168,32.168,-0.0,35.588,35.588,0.0,0.016441,0.01147
tiny,chip_032_111_merged.tif,0.2,2,1894148723,39,33.7635,33.7635,-0.0,36.6031,36.6031,-0.0,0.012484,0.010289
tiny,chip_032_111_merged.tif,0.2,3,1513542092,39,36.3546,36.3546,-0.0,35.6185,35.6185,-0.0,0.010869,0.010887
tiny,chip_032_111_merged.tif,0.2,4,1033596574,39,36.354,36.354,0.0,35.0282,35.0282,-0.0,0.01087,0.011891
tiny,chip_032_111_merged.tif,0.4,0,446601891,78,33.2566,33.2566,-0.0,35.1689,35.1689,-0.0,0.013126,0.01145
tiny,chip_032_111_merged.tif,0.4,1,2114140021,78,34.2268,34.2268,-0.0,36.3505,36.3505,0.0,0.013081,0.010129
tiny,chip_032_111_merged.tif,0.4,2,1733533390,78,33.9469,33.9469,0.0,35.5419,35.5419,-0.0,0.013391,0.011084
tiny,chip_032_111_merged.tif,0.4,3,1352926759,78,34.2237,34.2237,0.0,35.2788,35.2788,0.0,0.013084,0.011008
tiny,chip_032_111_merged.tif,0.4,4,872981241,78,34.2247,34.2247,-0.0,35.6097,35.6097,-0.0,0.013083,0.011053
tiny,chip_032_111_merged.tif,0.6,0,1850787332,117,32.3956,32.3956,-0.0,33.9211,33.9211,0.0,0.015925,0.012896
tiny,chip_032_111_merged.tif,0.6,1,1370841814,117,32.9352,32.9352,0.0,33.1691,33.1691,-0.0,0.013879,0.012825
tiny,chip_032_111_merged.tif,0.6,2,990235183,117,34.6595,34.6595,0.0,35.3048,35.3048,-0.0,0.01234,0.011308
tiny,chip_032_111_merged.tif,0.6,3,609628552,117,32.4181,32.4181,0.0,35.36,35.36,-0.0,0.016063,0.011335
tiny,chip_032_111_merged.tif,0.6,4,129683034,117,32.4387,32.4387,0.0,34.6869,34.6869,0.0,0.01587,0.012135
tiny,chip_032_111_merged.tif,0.8,0,1368195136,156,32.4365,32.4365,-0.0,32.7467,32.7467,0.0,0.01477,0.013522
tiny,chip_032_111_merged.tif,0.8,1,987588505,156,33.6756,33.6756,0.0,34.1514,34.1514,-0.0,0.013423,0.012697
tiny,chip_032_111_merged.tif,0.8,2,507642987,156,33.67,33.67,-0.0,34.182,34.182,0.0,0.013426,0.012862
tiny,chip_032_111_merged.tif,0.8,3,127036356,156,32.6184,32.6184,-0.0,34.5826,34.5826,0.0,0.014545,0.012123
tiny,chip_032_111_merged.tif,0.8,4,1794574486,156,33.6759,33.6759,0.0,33.5792,33.5792,-0.0,0.013418,0.012966
tiny,chip_032_183_merged.tif,0.2,0,108174139,39,39.1038,39.1038,-0.0,43.5416,43.5416,-0.0,0.008248,0.004814
tiny,chip_032_183_merged.tif,0.2,1,1875051156,39,41.9252,41.9252,-0.0,42.9742,42.9742,-0.0,0.005931,0.00511
tiny,chip_032_183_merged.tif,0.2,2,1494444525,39,42.3197,42.3197,0.0,42.7331,42.7331,0.0,0.005849,0.00524
tiny,chip_032_183_merged.tif,0.2,3,1014499007,39,42.1037,42.1037,0.0,41.9058,41.9058,-0.0,0.005918,0.005638
tiny,chip_032_183_merged.tif,0.2,4,633892376,39,41.1811,41.1811,-0.0,42.9546,42.9546,0.0,0.00636,0.005099
tiny,chip_032_183_merged.tif,0.4,0,2095042454,78,42.4535,42.4535,-0.0,42.5928,42.5928,0.0,0.005476,0.005219
tiny,chip_032_183_merged.tif,0.4,1,1714435823,78,42.4466,42.4466,-0.0,43.2809,43.2809,0.0,0.005561,0.00493
tiny,chip_032_183_merged.tif,0.4,2,1234490305,78,42.6101,42.6101,0.0,43.0659,43.0659,-0.0,0.00532,0.00511
tiny,chip_032_183_merged.tif,0.4,3,853883674,78,42.6098,42.6098,0.0,43.1177,43.1177,-0.0,0.00532,0.004983
tiny,chip_032_183_merged.tif,0.4,4,373938156,78,42.3795,42.3795,-0.0,43.311,43.311,-0.0,0.005543,0.004865
tiny,chip_032_183_merged.tif,0.6,0,1351744247,117,39.3554,39.3554,-0.0,43.3215,43.3215,-0.0,0.008128,0.004792
tiny,chip_032_183_merged.tif,0.6,1,971137616,117,42.5898,42.5898,-0.0,43.2495,43.2495,-0.0,0.005231,0.004926
tiny,chip_032_183_merged.tif,0.6,2,491192098,117,42.5873,42.5873,-0.0,43.3222,43.3222,-0.0,0.005232,0.004867
tiny,chip_032_183_merged.tif,0.6,3,110585467,117,39.9895,39.9895,-0.0,43.4089,43.4089,0.0,0.00787,0.004772
tiny,chip_032_183_merged.tif,0.6,4,1877462484,117,41.1668,41.1668,-0.0,43.2987,43.2987,0.0,0.00682,0.004812
tiny,chip_032_183_merged.tif,0.8,0,869152051,156,41.4089,41.4089,0.0,43.346,43.346,-0.0,0.00614,0.004768
tiny,chip_032_183_merged.tif,0.8,1,488545420,156,42.8293,42.8293,-0.0,43.0405,43.0405,-0.0,0.005237,0.004917
tiny,chip_032_183_merged.tif,0.8,2,107938789,156,42.8595,42.8595,-0.0,43.2774,43.2774,0.0,0.005115,0.00475
tiny,chip_032_183_merged.tif,0.8,3,1775476919,156,42.8576,42.8576,-0.0,43.3362,43.3362,-0.0,0.005109,0.004761
tiny,chip_032_183_merged.tif,0.8,4,1394870288,156,39.6756,39.6756,0.0,42.9629,42.9629,-0.0,0.007502,0.004968
tiny,chip_036_147_merged.tif,0.2,0,1151733073,39,34.8118,34.8118,0.0,36.4292,36.4292,0.0,0.010933,0.009956
tiny,chip_036_147_merged.tif,0.2,1,671787555,39,35.4987,35.4987,-0.0,37.4995,37.4995,-0.0,0.010985,0.008932
tiny,chip_036_147_merged.tif,0.2,2,291180924,39,33.7379,33.7379,0.0,36.18,36.18,0.0,0.012377,0.010055
tiny,chip_036_147_merged.tif,0.2,3,2058057941,39,33.401,33.401,0.0,36.9095,36.9095,0.0,0.012442,0.009298
tiny,chip_036_147_merged.tif,0.2,4,1578112423,39,35.0055,35.0055,-0.0,37.1611,37.1611,0.0,0.0109,0.009054
tiny,chip_036_147_merged.tif,0.4,0,991117740,78,35.3754,35.3754,-0.0,37.1768,37.1768,-0.0,0.010601,0.008937
tiny,chip_036_147_merged.tif,0.4,1,511172222,78,35.3342,35.3342,0.0,36.9129,36.9129,-0.0,0.010787,0.009095
tiny,chip_036_147_merged.tif,0.4,2,130565591,78,35.7316,35.7316,-0.0,36.7423,36.7423,-0.0,0.010172,0.009355
tiny,chip_036_147_merged.tif,0.4,3,1798103721,78,30.1966,30.1966,0.0,36.8868,36.8868,-0.0,0.017494,0.009283
tiny,chip_036_147_merged.tif,0.4,4,1417497090,78,35.0213,35.0213,0.0,35.9762,35.9762,-0.0,0.011319,0.009692
tiny,chip_036_147_merged.tif,0.6,0,1001419509,117,35.2262,35.2262,-0.0,36.4304,36.4304,-0.0,0.010749,0.009322
tiny,chip_036_147_merged.tif,0.6,1,620812878,117,35.8125,35.8125,-0.0,36.9462,36.9462,-0.0,0.010187,0.008991
tiny,chip_036_147_merged.tif,0.6,2,240206247,117,35.3164,35.3164,-0.0,37.065,37.065,0.0,0.010528,0.008753
tiny,chip_036_147_merged.tif,0.6,3,1907744377,117,35.6053,35.6053,-0.0,37.4173,37.4173,-0.0,0.010182,0.008654
tiny,chip_036_147_merged.tif,0.6,4,1527137746,117,35.7803,35.7803,0.0,35.9237,35.9237,0.0,0.010384,0.009517
tiny,chip_036_147_merged.tif,0.8,0,1912710985,156,35.4516,35.4516,0.0,36.3935,36.3935,0.0,0.0104,0.009408
tiny,chip_036_147_merged.tif,0.8,1,1432765467,156,35.8869,35.8869,-0.0,34.5609,34.5609,0.0,0.009908,0.010989
tiny,chip_036_147_merged.tif,0.8,2,1052158836,156,33.1509,33.1509,-0.0,36.3457,36.3457,0.0,0.012736,0.009209
tiny,chip_036_147_merged.tif,0.8,3,671552205,156,35.6601,35.6601,0.0,36.4838,36.4838,-0.0,0.010262,0.009313
tiny,chip_036_147_merged.tif,0.8,4,191606687,156,35.6417,35.6417,-0.0,35.525,35.525,-0.0,0.010304,0.010102
tiny,chip_037_102_merged.tif,0.2,0,398483738,39,35.791,35.791,-0.0,37.6486,37.6486,0.0,0.011663,0.009123
tiny,chip_037_102_merged.tif,0.2,1,17877107,39,32.4298,32.4298,-0.0,37.8237,37.8237,0.0,0.014596,0.00865
tiny,chip_037_102_merged.tif,0.2,2,1685415237,39,36.5584,36.5584,-0.0,38.3977,38.3977,-0.0,0.009877,0.008182
tiny,chip_037_102_merged.tif,0.2,3,1304808606,39,35.7929,35.7929,-0.0,37.8293,37.8293,0.0,0.011661,0.008786
tiny,chip_037_102_merged.tif,0.2,4,824863088,39,35.1827,35.1827,0.0,38.4452,38.4452,0.0,0.012688,0.00794
tiny,chip_037_102_merged.tif,0.4,0,237868405,78,32.1302,32.1302,0.0,36.2174,36.2174,0.0,0.014208,0.009486
tiny,chip_037_102_merged.tif,0.4,1,1905406535,78,34.1651,34.1651,-0.0,37.6047,37.6047,-0.0,0.013595,0.008554
tiny,chip_037_102_merged.tif,0.4,2,1524799904,78,31.4804,31.4804,0.0,36.2402,36.2402,-0.0,0.017259,0.009505
tiny,chip_037_102_merged.tif,0.4,3,1044854386,78,35.2831,35.2831,-0.0,38.1687,38.1687,0.0,0.0117,0.008241
tiny,chip_037_102_merged.tif,0.4,4,664247755,78,31.2629,31.2629,-0.0,37.8807,37.8807,0.0,0.015719,0.008487
tiny,chip_037_102_merged.tif,0.6,0,1642053846,117,32.3888,32.3888,-0.0,37.4873,37.4873,-0.0,0.014992,0.008923
tiny,chip_037_102_merged.tif,0.6,1,1162108328,117,34.6326,34.6326,0.0,34.8948,34.8948,0.0,0.012289,0.010145
tiny,chip_037_102_merged.tif,0.6,2,781501697,117,33.3278,33.3278,0.0,37.2434,37.2434,-0.0,0.013456,0.009044
tiny,chip_037_102_merged.tif,0.6,3,301556179,117,34.6851,34.6851,-0.0,36.9949,36.9949,0.0,0.012332,0.009013
tiny,chip_037_102_merged.tif,0.6,4,2068433196,117,34.0175,34.0175,-0.0,38.0628,38.0628,-0.0,0.013114,0.008424
tiny,chip_037_102_merged.tif,0.8,0,1159461650,156,32.5466,32.5466,0.0,35.743,35.743,-0.0,0.013922,0.009983
tiny,chip_037_102_merged.tif,0.8,1,778855019,156,32.2409,32.2409,0.0,36.5903,36.5903,-0.0,0.015477,0.009287
tiny,chip_037_102_merged.tif,0.8,2,298909501,156,31.9326,31.9326,-0.0,36.8987,36.8987,0.0,0.015924,0.009272
tiny,chip_037_102_merged.tif,0.8,3,2065786518,156,32.5567,32.5567,-0.0,36.9559,36.9559,0.0,0.0139,0.009238
tiny,chip_037_102_merged.tif,0.8,4,1585841000,156,31.9224,31.9224,0.0,34.0636,34.0636,0.0,0.015962,0.011671
tiny,chip_038_107_merged.tif,0.2,0,1677005883,39,35.4195,35.4195,0.0,36.7456,36.7456,0.0,0.012173,0.009989
tiny,chip_038_107_merged.tif,0.2,1,1296399252,39,33.7625,33.7625,0.0,36.5741,36.5741,0.0,0.014713,0.010278
