backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
100M,chip_010_063_merged.tif,0.2,0,537862152,39,30.7342,36.4491,5.7149
100M,chip_010_063_merged.tif,0.2,1,157255521,39,38.7669,36.9989,-1.768
100M,chip_010_063_merged.tif,0.2,2,1824793651,39,34.3118,35.6767,1.3648
100M,chip_010_063_merged.tif,0.2,3,1444187020,39,38.7663,35.6276,-3.1387
100M,chip_010_063_merged.tif,0.2,4,964241502,39,31.0163,38.0797,7.0634
100M,chip_010_063_merged.tif,0.4,0,377246819,78,34.8247,36.7437,1.919
100M,chip_010_063_merged.tif,0.4,1,2044784949,78,31.8903,36.6924,4.8021
100M,chip_010_063_merged.tif,0.4,2,1664178318,78,32.3031,36.0362,3.733
100M,chip_010_063_merged.tif,0.4,3,1283571687,78,36.7678,36.7142,-0.0536
100M,chip_010_063_merged.tif,0.4,4,803626169,78,32.0625,36.9364,4.8739
100M,chip_010_063_merged.tif,0.6,0,1781432260,117,32.6869,35.185,2.4981
100M,chip_010_063_merged.tif,0.6,1,1301486742,117,32.4061,36.7105,4.3044
100M,chip_010_063_merged.tif,0.6,2,920880111,117,32.2253,35.1676,2.9423
100M,chip_010_063_merged.tif,0.6,3,540273480,117,32.4995,36.055,3.5555
100M,chip_010_063_merged.tif,0.6,4,60327962,117,33.1926,36.0102,2.8176
100M,chip_010_063_merged.tif,0.8,0,1298840064,156,33.2244,35.4642,2.2398
100M,chip_010_063_merged.tif,0.8,1,918233433,156,33.2573,35.2523,1.995
100M,chip_010_063_merged.tif,0.8,2,438287915,156,33.2278,34.8841,1.6563
100M,chip_010_063_merged.tif,0.8,3,57681284,156,33.0406,35.6317,2.5911
100M,chip_010_063_merged.tif,0.8,4,1725219414,156,32.9436,35.5997,2.6561
100M,chip_030_076_merged.tif,0.2,0,188996778,39,39.6965,39.4853,-0.2112
100M,chip_030_076_merged.tif,0.2,1,1856534908,39,39.7592,39.292,-0.4673
100M,chip_030_076_merged.tif,0.2,2,1475928277,39,38.2624,39.974,1.7117
100M,chip_030_076_merged.tif,0.2,3,995982759,39,38.2016,39.202,1.0005
100M,chip_030_076_merged.tif,0.2,4,615376128,39,38.2012,39.2061,1.0049
100M,chip_030_076_merged.tif,0.4,0,1271205356,78,39.2714,39.284,0.0126
100M,chip_030_076_merged.tif,0.4,1,890598725,78,39.2719,39.2684,-0.0035
100M,chip_030_076_merged.tif,0.4,2,410653207,78,39.2056,39.8935,0.6879
100M,chip_030_076_merged.tif,0.4,3,30046576,78,38.0019,39.883,1.8812
100M,chip_030_076_merged.tif,0.4,4,1697584706,78,38.4947,39.3775,0.8829
100M,chip_030_076_merged.tif,0.6,0,1333227999,117,38.3191,39.5361,1.2171
100M,chip_030_076_merged.tif,0.6,1,952621368,117,38.4854,39.0779,0.5925
100M,chip_030_076_merged.tif,0.6,2,572014737,117,38.1423,39.2615,1.1192
100M,chip_030_076_merged.tif,0.6,3,92069219,117,38.0739,39.3743,1.3004
100M,chip_030_076_merged.tif,0.6,4,1858946236,117,38.4984,39.4436,0.9452
100M,chip_030_076_merged.tif,0.8,0,949974690,156,38.4668,38.5829,0.1161
100M,chip_030_076_merged.tif,0.8,1,470029172,156,38.4914,38.5201,0.0288
100M,chip_030_076_merged.tif,0.8,2,89422541,156,38.0244,38.6558,0.6314
100M,chip_030_076_merged.tif,0.8,3,1756960671,156,38.0257,38.5609,0.5352
100M,chip_030_076_merged.tif,0.8,4,1376354040,156,38.4806,39.038,0.5574
100M,chip_032_111_merged.tif,0.2,0,607217224,39,34.8845,37.7999,2.9154
100M,chip_032_111_merged.tif,0.2,1,226610593,39,33.9275,37.4202,3.4926
100M,chip_032_111_merged.tif,0.2,2,1894148723,39,34.6271,37.9073,3.2802
100M,chip_032_111_merged.tif,0.2,3,1513542092,39,37.1376,36.7487,-0.3889
100M,chip_032_111_merged.tif,0.2,4,1033596574,39,37.1382,36.4146,-0.7237
100M,chip_032_111_merged.tif,0.4,0,446601891,78,35.1607,36.413,1.2523
100M,chip_032_111_merged.tif,0.4,1,2114140021,78,35.9908,37.9116,1.9208
100M,chip_032_111_merged.tif,0.4,2,1733533390,78,35.3199,36.9047,1.5848
100M,chip_032_111_merged.tif,0.4,3,1352926759,78,35.9907,35.9791,-0.0116
100M,chip_032_111_merged.tif,0.4,4,872981241,78,35.99,37.2012,1.2111
100M,chip_032_111_merged.tif,0.6,0,1850787332,117,32.6755,35.3487,2.6732
100M,chip_032_111_merged.tif,0.6,1,1370841814,117,34.5356,34.7941,0.2585
100M,chip_032_111_merged.tif,0.6,2,990235183,117,36.6136,36.1786,-0.435
100M,chip_032_111_merged.tif,0.6,3,609628552,117,32.3051,36.3205,4.0154
100M,chip_032_111_merged.tif,0.6,4,129683034,117,32.6807,35.6939,3.0132
100M,chip_032_111_merged.tif,0.8,0,1368195136,156,34.4598,34.3249,-0.1349
100M,chip_032_111_merged.tif,0.8,1,987588505,156,35.5819,35.2904,-0.2915
100M,chip_032_111_merged.tif,0.8,2,507642987,156,35.5867,34.9887,-0.598
100M,chip_032_111_merged.tif,0.8,3,127036356,156,34.462,35.272,0.81
100M,chip_032_111_merged.tif,0.8,4,1794574486,156,35.5853,34.4323,-1.153
100M,chip_032_183_merged.tif,0.2,0,108174139,39,42.6183,46.3994,3.7811
100M,chip_032_183_merged.tif,0.2,1,1875051156,39,45.0687,45.7853,0.7166
100M,chip_032_183_merged.tif,0.2,2,1494444525,39,46.7872,45.4339,-1.3533
100M,chip_032_183_merged.tif,0.2,3,1014499007,39,45.5035,44.7736,-0.7299
100M,chip_032_183_merged.tif,0.2,4,633892376,39,43.3423,46.009,2.6667
100M,chip_032_183_merged.tif,0.4,0,2095042454,78,44.5026,45.4465,0.9439
100M,chip_032_183_merged.tif,0.4,1,1714435823,78,46.668,46.0646,-0.6035
100M,chip_032_183_merged.tif,0.4,2,1234490305,78,45.3158,46.2338,0.918
100M,chip_032_183_merged.tif,0.4,3,853883674,78,45.3199,45.9614,0.6414
100M,chip_032_183_merged.tif,0.4,4,373938156,78,44.2664,45.6461,1.3797
100M,chip_032_183_merged.tif,0.6,0,1351744247,117,43.5366,45.7955,2.2589
100M,chip_032_183_merged.tif,0.6,1,971137616,117,44.2566,46.0454,1.7889
100M,chip_032_183_merged.tif,0.6,2,491192098,117,44.2928,46.0958,1.803
100M,chip_032_183_merged.tif,0.6,3,110585467,117,45.0912,45.8715,0.7804
100M,chip_032_183_merged.tif,0.6,4,1877462484,117,45.4094,45.813,0.4036
100M,chip_032_183_merged.tif,0.8,0,869152051,156,43.9658,45.9029,1.9371
100M,chip_032_183_merged.tif,0.8,1,488545420,156,44.4037,45.59,1.1863
100M,chip_032_183_merged.tif,0.8,2,107938789,156,44.4354,45.5773,1.1419
100M,chip_032_183_merged.tif,0.8,3,1775476919,156,44.4584,45.8681,1.4097
100M,chip_032_183_merged.tif,0.8,4,1394870288,156,43.5367,45.4959,1.9593
100M,chip_036_147_merged.tif,0.2,0,1151733073,39,36.7086,38.9881,2.2795
100M,chip_036_147_merged.tif,0.2,1,671787555,39,37.7048,40.1139,2.4091
100M,chip_036_147_merged.tif,0.2,2,291180924,39,35.3332,39.4139,4.0807
100M,chip_036_147_merged.tif,0.2,3,2058057941,39,38.4141,39.5286,1.1145
100M,chip_036_147_merged.tif,0.2,4,1578112423,39,35.7618,40.0245,4.2627
100M,chip_036_147_merged.tif,0.4,0,991117740,78,37.4133,39.7092,2.2959
100M,chip_036_147_merged.tif,0.4,1,511172222,78,37.1692,39.0882,1.919
100M,chip_036_147_merged.tif,0.4,2,130565591,78,37.1304,39.2074,2.0771
100M,chip_036_147_merged.tif,0.4,3,1798103721,78,32.6611,39.4728,6.8117
100M,chip_036_147_merged.tif,0.4,4,1417497090,78,37.9476,37.5198,-0.4278
100M,chip_036_147_merged.tif,0.6,0,1001419509,117,36.632,38.5608,1.9287
100M,chip_036_147_merged.tif,0.6,1,620812878,117,37.3237,38.7015,1.3778
100M,chip_036_147_merged.tif,0.6,2,240206247,117,37.1791,39.194,2.0149
100M,chip_036_147_merged.tif,0.6,3,1907744377,117,37.4405,39.5612,2.1207
100M,chip_036_147_merged.tif,0.6,4,1527137746,117,37.4723,37.1876,-0.2848
100M,chip_036_147_merged.tif,0.8,0,1912710985,156,36.4765,36.8296,0.3531
100M,chip_036_147_merged.tif,0.8,1,1432765467,156,37.0998,35.4414,-1.6584
100M,chip_036_147_merged.tif,0.8,2,1052158836,156,33.8509,38.703,4.8522
