chip,mask_ratio,trial,block_psnr,random_psnr
chip_217_425,0.2,0,31.57259406237511,33.55615085579369
chip_217_425,0.2,1,29.709030364888633,33.9364135868665
chip_217_425,0.2,2,30.83861990990765,33.13007544439167
chip_217_425,0.2,3,33.04102236341831,33.6700397971329
chip_217_425,0.2,4,30.437116421851783,33.45144280006582
chip_217_425,0.2,5,32.1048878746668,33.39431438827445
chip_217_425,0.2,6,30.750123624368303,32.849570157548705
chip_217_425,0.2,7,29.140457884736715,32.984475044020755
chip_217_425,0.2,8,30.87265053311592,34.086803729596376
chip_217_425,0.2,9,30.981889189046456,33.515362023059346
chip_217_425,0.2,10,31.953735371730993,33.32529633065411
chip_217_425,0.2,11,31.150671104129863,33.55089089079249
chip_217_425,0.2,12,30.58559947150751,34.33053022711567
chip_217_425,0.2,13,32.97629409081084,33.27193181346632
chip_217_425,0.2,14,31.09596236380424,33.28274284056266
chip_217_425,0.2,15,31.148913015097975,33.576408461410416
chip_217_425,0.2,16,30.981543757017228,33.41833120841548
chip_217_425,0.2,17,30.37292325303303,33.294382320378894
chip_217_425,0.2,18,30.476042775719026,33.77330717637643
chip_217_425,0.2,19,31.095786999703687,34.196838889610525
chip_217_425,0.2,20,30.65078958649152,33.48542974285349
chip_217_425,0.2,21,30.871868087627917,33.71839559630721
chip_217_425,0.2,22,30.43691402462983,33.18370857485345
chip_217_425,0.2,23,31.107958250091578,33.332110220977206
chip_217_425,0.2,24,30.955741123713864,33.64731325751095
chip_217_425,0.2,25,30.782973209194132,33.61719977624405
chip_217_425,0.2,26,30.63502290693384,33.04458091439694
chip_217_425,0.2,27,30.7714558274655,33.70123476461913
chip_217_425,0.2,28,30.55721933616441,33.457635712412866
chip_217_425,0.2,29,30.26332931196287,33.79203031622296
chip_217_425,0.2,30,31.45138115988334,34.159622041906054
chip_217_425,0.2,31,32.96987280658166,34.13508027289542
chip_217_425,0.2,32,31.28886128145062,33.33301304924328
chip_217_425,0.2,33,31.069649892370286,32.70175379773879
chip_217_425,0.2,34,31.33235329216365,33.167454510900406
chip_217_425,0.2,35,31.49130667589266,33.5000267006493
chip_217_425,0.2,36,30.263340861549032,33.71316853737858
chip_217_425,0.2,37,30.77107208805424,33.17858396385991
chip_217_425,0.2,38,31.330574370803596,33.56419822178918
chip_217_425,0.2,39,31.537441768578425,32.9811034861914
chip_217_425,0.2,40,29.72879002606541,33.742520772312126
chip_217_425,0.2,41,30.633973788355867,33.13543501617879
