chip,rank,role,ratio,mask_type,trial,global_ratio,psnr
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,33,0.0651,40.2783
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,33,0.0651,43.3583
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,34,0.0651,40.0918
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,34,0.0651,43.2997
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,35,0.0651,40.5822
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,35,0.0651,43.4198
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,36,0.0651,41.1998
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,36,0.0651,42.6095
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,37,0.0651,39.9926
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,37,0.0651,43.1569
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,38,0.0651,41.2003
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,38,0.0651,42.43
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,39,0.0651,42.2269
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,39,0.0651,43.0534
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,40,0.0651,40.6833
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,40,0.0651,42.812
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,41,0.0651,40.7616
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,41,0.0651,42.7481
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,42,0.0651,40.3916
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,42,0.0651,43.2997
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,43,0.0651,40.9452
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,43,0.0651,43.8629
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,44,0.0651,39.9886
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,44,0.0651,43.0889
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,45,0.0651,41.3695
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,45,0.0651,43.0789
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,46,0.0651,39.5383
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,46,0.0651,43.1273
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,47,0.0651,39.9936
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,47,0.0651,43.6003
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,48,0.0651,39.3597
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,48,0.0651,42.9958
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,49,0.0651,41.0363
chip_140_470_merged.tif,1,complex_rank1_new,0.2,random,49,0.0651,42.9611
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,0,0.1302,37.2458
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,0,0.1302,39.829
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,1,0.1302,37.1873
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,1,0.1302,39.0956
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,2,0.1302,37.3962
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,2,0.1302,38.9735
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,3,0.1302,37.3081
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,3,0.1302,39.7175
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,4,0.1302,36.6229
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,4,0.1302,39.1834
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,5,0.1302,37.9283
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,5,0.1302,40.0087
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,6,0.1302,36.8148
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,6,0.1302,39.6335
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,7,0.1302,35.9542
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,7,0.1302,39.7894
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,8,0.1302,37.9281
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,8,0.1302,40.1877
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,9,0.1302,37.0986
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,9,0.1302,39.8003
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,10,0.1302,36.8146
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,10,0.1302,39.5498
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,11,0.1302,37.1381
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,11,0.1302,39.7072
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,12,0.1302,37.0141
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,12,0.1302,39.5994
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,13,0.1302,37.1754
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,13,0.1302,39.924
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,14,0.1302,36.3002
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,14,0.1302,39.1946
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,15,0.1302,37.4791
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,15,0.1302,40.0285
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,16,0.1302,37.7196
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,16,0.1302,39.3756
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,17,0.1302,36.9635
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,17,0.1302,39.9466
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,18,0.1302,37.5038
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,18,0.1302,39.4418
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,19,0.1302,37.3372
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,19,0.1302,39.0863
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,20,0.1302,37.0019
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,20,0.1302,39.995
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,21,0.1302,37.0149
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,21,0.1302,39.8308
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,22,0.1302,37.1656
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,22,0.1302,39.4954
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,23,0.1302,37.0017
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,23,0.1302,40.056
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,24,0.1302,37.8536
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,24,0.1302,39.4982
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,25,0.1302,37.2832
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,25,0.1302,39.2073
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,26,0.1302,37.1804
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,26,0.1302,40.2893
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,27,0.1302,37.0461
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,27,0.1302,39.9819
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,28,0.1302,37.283
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,28,0.1302,40.1998
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,29,0.1302,37.4148
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,29,0.1302,39.3527
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,30,0.1302,37.0244
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,30,0.1302,39.7201
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,31,0.1302,37.0741
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,31,0.1302,39.5153
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,32,0.1302,37.4773
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,32,0.1302,39.1105
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,33,0.1302,37.2452
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,33,0.1302,40.1354
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,34,0.1302,37.3078
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,34,0.1302,39.7259
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,35,0.1302,37.9283
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,35,0.1302,40.337
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,36,0.1302,37.0739
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,36,0.1302,39.6397
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,37,0.1302,37.3078
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,37,0.1302,39.7205
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,38,0.1302,37.0737
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,38,0.1302,39.6671
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,39,0.1302,37.4776
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,39,0.1302,39.9877
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,40,0.1302,36.9118
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,40,0.1302,39.7176
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,41,0.1302,37.4791
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,41,0.1302,39.3965
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,42,0.1302,37.4148
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,42,0.1302,39.5959
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,43,0.1302,37.0371
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,43,0.1302,39.4285
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,44,0.1302,36.9634
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,44,0.1302,39.9624
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,45,0.1302,37.0003
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,45,0.1302,39.8254
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,46,0.1302,37.8824
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,46,0.1302,40.0197
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,47,0.1302,37.3077
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,47,0.1302,40.5483
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,48,0.1302,37.5185
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,48,0.1302,39.7611
chip_140_470_merged.tif,1,complex_rank1_new,0.4,block,49,0.1302,37.4121
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,49,0.1302,39.743
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,0,0.2005,34.7657
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,0,0.2005,37.1496
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,1,0.2005,35.1593
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,1,0.2005,37.0646
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,2,0.2005,34.2308
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,2,0.2005,36.5639
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,3,0.2005,34.3106
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,3,0.2005,37.21
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,4,0.2005,34.9706
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,4,0.2005,36.3942
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,5,0.2005,35.2469
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,5,0.2005,37.4203
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,6,0.2005,34.7653
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,6,0.2005,37.3678
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,7,0.2005,34.9488
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,7,0.2005,37.2582
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,8,0.2005,34.9492
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,8,0.2005,37.1894
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,9,0.2005,34.8858
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,9,0.2005,36.9144
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,10,0.2005,35.2462
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,10,0.2005,36.4078
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,11,0.2005,34.8888
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,11,0.2005,36.6011
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,12,0.2005,34.9489
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,12,0.2005,36.9162
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,13,0.2005,34.8863
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,13,0.2005,37.1835
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,14,0.2005,34.8891
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,14,0.2005,37.1232
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,15,0.2005,34.2308
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,15,0.2005,37.4247
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,16,0.2005,35.1593
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,16,0.2005,36.9453
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,17,0.2005,34.8889
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,17,0.2005,37.2301
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,18,0.2005,34.8866
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,18,0.2005,36.7299
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,19,0.2005,35.084
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,19,0.2005,36.9236
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,20,0.2005,35.1351
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,20,0.2005,37.4906
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,21,0.2005,34.8892
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,21,0.2005,37.6556
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,22,0.2005,35.1348
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,22,0.2005,36.7802
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,23,0.2005,34.4007
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,23,0.2005,37.5409
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,24,0.2005,34.9355
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,24,0.2005,37.235
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,25,0.2005,34.9354
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,25,0.2005,36.959
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,26,0.2005,34.0239
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,26,0.2005,36.8143
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,27,0.2005,34.8884
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,27,0.2005,37.8289
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,28,0.2005,34.0236
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,28,0.2005,37.2462
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,29,0.2005,34.0237
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,29,0.2005,36.9967
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,30,0.2005,34.9488
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,30,0.2005,36.8669
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,31,0.2005,34.9357
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,31,0.2005,37.0685
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,32,0.2005,35.16
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,32,0.2005,36.7646
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,33,0.2005,34.889
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,33,0.2005,37.4134
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,34,0.2005,34.9486
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,34,0.2005,36.5825
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,35,0.2005,35.1347
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,35,0.2005,37.3732
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,36,0.2005,35.1352
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,36,0.2005,36.7496
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,37,0.2005,34.686
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,37,0.2005,36.883
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,38,0.2005,35.1352
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,38,0.2005,37.3026
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,39,0.2005,35.1593
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,39,0.2005,37.2124
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,40,0.2005,34.3101
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,40,0.2005,36.9936
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,41,0.2005,34.3106
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,41,0.2005,37.1012
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,42,0.2005,34.9586
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,42,0.2005,36.1925
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,43,0.2005,34.9704
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,43,0.2005,37.223
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,44,0.2005,34.3099
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,44,0.2005,37.4814
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,45,0.2005,34.0235
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,45,0.2005,37.201
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,46,0.2005,34.9491
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,46,0.2005,37.4622
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,47,0.2005,35.1603
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,47,0.2005,37.1073
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,48,0.2005,34.7653
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,48,0.2005,36.7858
chip_140_470_merged.tif,1,complex_rank1_new,0.6,block,49,0.2005,34.935
chip_140_470_merged.tif,1,complex_rank1_new,0.6,random,49,0.2005,37.1168
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,0,0.2708,32.4578
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,0,0.2708,34.919
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,1,0.2708,33.1658
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,1,0.2708,34.6818
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,2,0.2708,32.4579
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,2,0.2708,34.7383
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,3,0.2708,33.0842
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,3,0.2708,34.5563
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,4,0.2708,33.0848
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,4,0.2708,34.7917
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,5,0.2708,31.3905
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,5,0.2708,34.5076
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,6,0.2708,33.0836
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,6,0.2708,34.5005
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,7,0.2708,31.3913
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,7,0.2708,34.8336
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,8,0.2708,31.3916
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,8,0.2708,34.6746
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,9,0.2708,33.0846
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,9,0.2708,34.4007
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,10,0.2708,33.1648
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,10,0.2708,34.8892
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,11,0.2708,33.1656
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,11,0.2708,34.2398
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,12,0.2708,31.3922
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,12,0.2708,35.2172
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,13,0.2708,33.0839
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,13,0.2708,34.8525
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,14,0.2708,31.3907
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,14,0.2708,34.6681
chip_140_470_merged.tif,1,complex_rank1_new,0.8,block,15,0.2708,32.4576
chip_140_470_merged.tif,1,complex_rank1_new,0.8,random,15,0.2708,35.2696
