tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,0,0.036753815,0.03771451,28.46983
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,1,0.019443331,0.023678908,32.512768
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,2,0.019413972,0.021574588,33.321148
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,3,0.02620481,0.028108887,31.023125
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,4,0.02666469,0.028565612,30.88313
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,5,0.03450617,0.037884098,28.43086
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,6,0.035188165,0.036134608,28.841534
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,7,0.021771798,0.024898533,32.076527
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,8,0.02382104,0.026183689,31.639383
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,9,0.036336116,0.037351213,28.553905
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,10,0.027707929,0.029901646,30.486097
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,11,0.057920568,0.062674515,24.05818
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,12,0.03314829,0.035618987,28.96637
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,13,0.023484813,0.027439544,31.232462
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,14,0.028437639,0.031780645,29.956745
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,15,0.016732719,0.020777699,33.648052
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,16,0.028175421,0.030413939,30.338547
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,17,0.019238511,0.021214835,33.46721
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,18,0.03829311,0.041094236,27.72438
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,19,0.025400551,0.02739172,31.247614
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,20,0.026077561,0.028363729,30.944733
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,21,0.026244868,0.028578227,30.879295
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,22,0.023093725,0.025151147,31.988846
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,23,0.03949167,0.044213377,27.088926
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,24,0.017021773,0.02109963,33.514503
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,25,0.021193705,0.0233464,32.635605
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,26,0.027247002,0.02919317,30.694374
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,27,0.036517326,0.039320905,28.10753
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,28,0.029325163,0.031377602,30.067606
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,29,0.024901567,0.02687937,31.41162
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,30,0.025426332,0.027415212,31.240168
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,31,0.014823433,0.017904434,34.94079
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,32,0.036012538,0.03704136,28.62626
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,33,0.031949278,0.03392488,29.389633
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,34,0.031440727,0.035108916,29.091652
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.05,35,0.037808385,0.03850304,28.2901
