tile,variance_score,mean_radiance
cvpr_dataset/hsi/PACE_OCI.20241110T000719.L1B.V3_image_173.npy,0.07253,0.06959
cvpr_dataset/hsi/PACE_OCI.20240710T001144.L1B.V3_image_020.npy,0.09230,0.34331
cvpr_dataset/hsi/PACE_OCI.20240710T000144.L1B.V3_image_153.npy,0.09716,0.10099
cvpr_dataset/hsi/PACE_OCI.20250428T162410.L1B.V3_image_005.npy,0.10215,0.34947
cvpr_dataset/hsi/PACE_OCI.20240610T002714.L1B.V3_image_096.npy,0.10840,0.24927
cvpr_dataset/hsi/PACE_OCI.20250320T001144.L1B.V3_image_065.npy,0.11354,0.14479
cvpr_dataset/hsi/PACE_OCI.20250320T001644.L1B.V3_image_097.npy,0.12072,0.15349
cvpr_dataset/hsi/PACE_OCI.20250220T012900.L1B.V3_image_219.npy,0.12473,0.39420
cvpr_dataset/hsi/PACE_OCI.20250320T002144.L1B.V3_image_131.npy,0.13062,0.22863
cvpr_dataset/hsi/PACE_OCI.20240911T144219.L1B.V3_image_115.npy,0.13644,0.57644
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_080.npy,0.13996,0.62123
cvpr_dataset/hsi/PACE_OCI.20250320T002144.L1B.V3_image_086.npy,0.14368,0.19559
cvpr_dataset/hsi/PACE_OCI.20250228T032142.L1B.V3_image_155.npy,0.14804,0.21898
cvpr_dataset/hsi/PACE_OCI.20250320T003644.L1B.V3_image_056.npy,0.15519,0.58230
cvpr_dataset/hsi/PACE_OCI.20250320T003144.L1B.V3_image_156.npy,0.16054,0.63729
cvpr_dataset/hsi/PACE_OCI.20240610T021033.L1B.V3_image_157.npy,0.16721,0.27408
cvpr_dataset/hsi/PACE_OCI.20240610T003214.L1B.V3_image_146.npy,0.17363,0.21615
cvpr_dataset/hsi/PACE_OCI.20250220T002038.L1B.V3_image_211.npy,0.18303,0.68930
cvpr_dataset/hsi/PACE_OCI.20241010T003839.L1B.V3_image_214.npy,0.19301,0.20751
cvpr_dataset/hsi/PACE_OCI.20250220T011900.L1B.V3_image_142.npy,0.26901,0.61389
