tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,1,0.03391746,0.04117882,27.706524
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,2,0.032055862,0.039251816,28.122805
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,3,0.02698693,0.033629537,29.465582
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,4,0.045309108,0.057405215,24.820974
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,5,0.041572005,0.05120619,25.81355
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,6,0.040413037,0.047853746,26.401682
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,7,0.03268026,0.040231355,27.908707
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,8,0.035813164,0.042842258,27.362553
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,9,0.039908197,0.049413256,26.12313
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,10,0.027196316,0.033950184,29.383156
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,11,0.039121326,0.050062332,26.009779
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,12,0.027961679,0.03688915,28.662025
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,13,0.047303658,0.057880953,24.749287
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,14,0.033234358,0.042262264,27.480946
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,15,0.037747424,0.046768475,26.600935
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,16,0.043386355,0.054310955,25.30225
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,17,0.04655439,0.056280203,24.992886
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,18,0.027217515,0.03476095,29.17817
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,19,0.03880601,0.04634894,26.679203
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,20,0.034034185,0.04193464,27.548542
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,21,0.038108844,0.04604125,26.737059
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,22,0.03749594,0.04641519,26.666796
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,23,0.039208032,0.048565898,26.273373
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,24,0.043510657,0.055597685,25.098866
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,25,0.048683416,0.058054756,24.723244
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,26,0.062200718,0.07451412,22.555227
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,27,0.034375735,0.044060845,27.118942
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,28,0.033447716,0.041189607,27.704247
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,29,0.037899993,0.046350088,26.67899
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.05,30,0.031222124,0.038690403,28.247936
