tile,mask_type,trial,method,mae,rmse,o2a_zone_mae
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,3,index,0.004400145972862729,0.006676264625654885,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,3,wavelength,0.004310358392749221,0.0066585938675045595,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,4,index,0.0059965112238834295,0.008790863540259977,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,4,wavelength,0.0057795375475946905,0.008262468789938488,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,5,index,0.013266380114516241,0.014878266659240589,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,5,wavelength,0.01355035000705442,0.01518939023975849,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,6,index,0.06006322781272477,0.07294825345668239,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,6,wavelength,0.05967633564160965,0.07256351020046777,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,7,index,0.01359009182237421,0.015316176808319128,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,7,wavelength,0.011064180926204587,0.012889470775617105,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,8,index,0.03727394096209202,0.05584357973412755,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,8,wavelength,0.11014918299934258,0.2786745018184926,
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,9,index,0.011899987059247564,0.026121300801890984,0.055445203907486786
PACE_OCI.20250320T002144.L1B.V3_image_116,contiguous,9,wavelength,0.012356822736822147,0.026305206912498914,0.05604261307548377
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,0,index,0.002576300219060561,0.01223668249118135,0.0033263619564725864
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,0,wavelength,0.0025403800505572824,0.01229884945375042,0.0033214504365619846
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,1,index,0.0017973150506859939,0.005755638870846601,0.006212108935212907
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,1,wavelength,0.0017860945211574475,0.006469184546096006,0.006203135582552796
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,2,index,0.0031051821149947244,0.013087088789353708,
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,2,wavelength,0.00304198902280493,0.013559120532424324,
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,3,index,0.0024164707659474916,0.008487677510941044,0.0016777104741170963
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,3,wavelength,0.0021830476736859426,0.007796370223310757,0.0016566258462531091
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,4,index,0.0019060969647833172,0.011470314495900441,
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,4,wavelength,0.001988568950470785,0.011624892557752469,
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,5,index,0.0009673316599776406,0.003235783875823771,0.004754490432888916
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,5,wavelength,0.0009472591157315722,0.0033587475730749686,0.004788917351053766
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,6,index,0.0019078343284011934,0.00573429236480261,0.011382006218001253
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,6,wavelength,0.0015077741117330095,0.004168429815692279,0.011383690347742344
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,7,index,0.0014804467117054247,0.005114590712130604,0.0012439977584411583
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,7,wavelength,0.0011388721962016938,0.0032872637840001065,0.001229647029117801
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,8,index,0.00336559980354754,0.016801044355646885,0.0034329568113409753
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,8,wavelength,0.0034265662544629397,0.01720058678888685,0.0034362610072210917
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,9,index,0.003820005883453292,0.014420157516428585,0.0032320794454487136
PACE_OCI.20250320T002144.L1B.V3_image_116,scattered,9,wavelength,0.003359375808257882,0.013947206834173647,0.0032219184058699998
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,0,index,0.01122976477525698,0.012576297903798267,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,0,wavelength,0.011480990142644096,0.012848126236656711,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,1,index,0.0094616780310456,0.013181371628794753,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,1,wavelength,0.00939146736560589,0.013055544822137088,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,2,index,0.009450073046786004,0.01057344109928294,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,2,wavelength,0.008262849430523574,0.009237925574146055,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,3,index,0.003883421578377366,0.007428986072486292,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,3,wavelength,0.004108745900821288,0.007540036293993611,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,4,index,0.004941366470127879,0.011247328832567452,0.02048827020318441
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,4,wavelength,0.004925972761924757,0.011281073703215449,0.02050353821859524
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,5,index,0.007652855909013359,0.012535288452432906,0.01227137079203912
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,5,wavelength,0.007320497790550965,0.012134480716243207,0.013352144727571083
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,6,index,0.009098067361562157,0.010262205028529847,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,6,wavelength,0.007764726954134897,0.008798492164167742,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,7,index,0.012391304356400935,0.013465364723834727,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,7,wavelength,0.012634409037008236,0.013726291164934448,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,8,index,0.01938121614054846,0.025925038105879913,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,8,wavelength,0.01892580067708692,0.025442009747086346,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,9,index,0.012556022327768335,0.013728699590206344,
PACE_OCI.20250320T000644.L1B.V3_image_131,contiguous,9,wavelength,0.012795606081467065,0.013988224201523049,
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,0,index,0.001147842105789484,0.0048591439488601135,0.0001273020171639574
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,0,wavelength,0.041519769134760416,0.43591280102586616,0.00012399316089621094
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,1,index,0.0005878336658732788,0.0012730145456724164,
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,1,wavelength,0.0006299276593024802,0.0013918880839731348,
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,2,index,0.0005073486585724106,0.002967984466624665,0.0008224528816956283
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,2,wavelength,0.00035066356931712033,0.0010805694636200193,0.0008123640855069408
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,3,index,0.0006230579989647786,0.001865537271395893,0.0011731508401579857
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,3,wavelength,0.0006141102686576561,0.0016278391351482963,0.0011696602451610474
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,4,index,0.0008004878610070421,0.0036055737703264744,0.0001273020171639574
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,4,wavelength,0.0005776025291287995,0.0016806211328513592,0.00012399316089621094
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,5,index,0.0013084740325601232,0.007243504684009587,0.0042371930458102725
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,5,wavelength,0.001353772151392699,0.007184895986113399,0.004237494946128636
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,6,index,0.0006743684756412623,0.0035291323166012504,0.0020181933826582585
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,6,wavelength,0.0004895500205210927,0.0015735982742242683,0.002017915117536866
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,7,index,0.0012442348410123627,0.006410558607662895,0.0008224528816956283
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,7,wavelength,0.0012534404928594251,0.006399981530780356,0.0008123640855069408
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,8,index,0.0004066461563409289,0.0012393400605204042,0.0010840921822061016
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,8,wavelength,0.0004152466035015372,0.0011819095293435723,0.0010880381260661423
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,9,index,0.0008076185535035058,0.002721519516985942,
PACE_OCI.20250320T000644.L1B.V3_image_131,scattered,9,wavelength,0.0008295217508121899,0.0022703143441622315,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,0,index,0.015121551969094387,0.032412128768699325,0.06979027310167683
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,0,wavelength,0.01511548183667587,0.032336827524257955,0.06977283221264476
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,1,index,0.008056313923731644,0.009496695458155157,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,1,wavelength,0.008273528133287926,0.009739829658114287,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,2,index,0.015121551969094387,0.032412128768699325,0.06979027310167683
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,2,wavelength,0.01511548183667587,0.032336827524257955,0.06977283221264476
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,3,index,0.007826363552692794,0.009259221835547103,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,3,wavelength,0.008035091019861357,0.00949405057905113,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,4,index,0.011656168812927378,0.013515862501167698,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,4,wavelength,0.010121152449580385,0.012225867672111822,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,5,index,0.036310848342928935,0.044541830792440805,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,5,wavelength,0.03601947894754024,0.044303976837040765,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,6,index,0.014095008000904425,0.016504796388187772,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,6,wavelength,0.012979872701055689,0.015357276286546505,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,7,index,0.08395505535275746,0.10747992643048886,0.030387911424770257
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,7,wavelength,0.0877834035253983,0.11253709628322471,0.03098613950191896
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,8,index,0.008030869139809566,0.009308827528334515,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,8,wavelength,0.007339416053342119,0.008873557680204387,
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,9,index,0.03799688070644292,0.056860453662849864,0.016415287027267363
PACE_OCI.20250219T235538.L1B.V3_image_156,contiguous,9,wavelength,0.03703303796203048,0.05711009897740945,0.01675262897455024
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,0,index,0.0022262672945567454,0.012301375850817399,0.00613767257011154
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,0,wavelength,0.0012544945733672039,0.0032629902688374214,0.006156051292949515
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,1,index,0.0014708158125846798,0.00484767908551936,
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,1,wavelength,0.0013220752962329202,0.003370963563919023,
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,2,index,0.0018711117964977035,0.010894300264861304,0.0015533054125727278
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,2,wavelength,0.0019296400207352907,0.010440297907559463,0.0015314583303391997
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,3,index,0.0008635160861193075,0.0022507264220237963,0.003954760059598441
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,3,wavelength,0.0009175542850989085,0.0024042228701104417,0.003910881993938563
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,4,index,0.0014002401535714256,0.004529495137850279,0.003403127099621391
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,4,wavelength,0.0012816267940236627,0.003095770500952547,0.00336358555249505
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,5,index,0.0044954843741137635,0.02333927674672489,0.003403127099621391
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,5,wavelength,0.004646957194545466,0.02446620734581822,0.00336358555249505
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,6,index,0.00164653735071966,0.006624140608751992,0.0015533054125727278
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,6,wavelength,0.0012536971084240016,0.0032383791358240204,0.0015314583303391997
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,7,index,0.0018552017525709052,0.005349418561011596,0.003403127099621391
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,7,wavelength,0.0017441218264386894,0.004072779899964927,0.00336358555249505
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,8,index,0.0017912970428205436,0.007771838862265769,
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,8,wavelength,0.0020813428946086752,0.009257148075040487,
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,9,index,0.0032957712814933684,0.013415628433195676,0.00796310156258389
PACE_OCI.20250219T235538.L1B.V3_image_156,scattered,9,wavelength,0.0019428967726430003,0.004315927296901606,0.007962038857212743
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,0,index,0.001822706021610936,0.002826545828130268,0.004580408799745172
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,0,wavelength,0.0017136233357073186,0.002811751157753586,0.004986882348595738
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,1,index,0.010969291773334274,0.014344058418924272,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,1,wavelength,0.010990656592517248,0.014217083211565878,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,2,index,0.0020580929747814358,0.0031730529015120633,0.0023073765247755983
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,2,wavelength,0.0020064346599662102,0.0032445010727370554,0.0023250320108176683
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,3,index,0.019311879782293383,0.021074855064395888,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,3,wavelength,0.019621308132644216,0.021405967219232238,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,4,index,0.013735409671661827,0.01948512397874839,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,4,wavelength,0.013529109452099751,0.019099580082415003,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,5,index,0.006173569639148249,0.006776891892115945,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,5,wavelength,0.004197924632070933,0.004738567147786189,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,6,index,0.0016188850484009838,0.003215596674426464,0.006672687910841631
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,6,wavelength,0.001590462677779114,0.003189174184632662,0.006587892123689132
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,7,index,0.018184928625703183,0.019880414096703422,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,7,wavelength,0.01846603794806907,0.020180887031588105,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,8,index,0.009530392712523946,0.010554418608047348,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,8,wavelength,0.008022581706172732,0.008944399965234167,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,9,index,0.009215244642318028,0.010162960681228928,
PACE_OCI.20250320T002144.L1B.V3_image_093,contiguous,9,wavelength,0.007286064036283035,0.008314537572868106,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,0,index,0.0003374881799955635,0.0013013942794330609,0.000713978475283107
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,0,wavelength,0.0003001460516130689,0.0008682652632256143,0.0007128292322664547
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,1,index,0.00039818013756271083,0.0015428108210343212,0.0006386247311335561
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,1,wavelength,0.000412337945588078,0.0016450775044363744,0.0006385344600185336
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,2,index,0.0003295462561251622,0.0013035273839198083,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,2,wavelength,0.00036429910512815694,0.0014094092904405582,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,3,index,0.00031333495119714375,0.0010540423894659454,0.00023724274847659722
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,3,wavelength,0.0003606626595803395,0.0011012131767932517,0.00023405913070822953
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,4,index,0.0006206835162769753,0.002240956177475434,0.0006113477699172007
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,4,wavelength,0.0006714348211455955,0.002301697319254609,0.0006134241535878422
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,5,index,0.0001873352711512663,0.0005446649822651496,0.00044352772952320436
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,5,wavelength,0.0002045605204884308,0.00043988574297401266,0.00044189623679221496
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,6,index,0.0002591656484771679,0.0005670195230938019,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,6,wavelength,0.00022074261246455068,0.00035963394761930436,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,7,index,0.0003723049755639639,0.0017211617726913308,5.7376806075303146e-05
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,7,wavelength,0.00029468699021287947,0.0009973914509099674,5.707720950988453e-05
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,8,index,0.0002687979276990146,0.0006297430397374812,0.00047561061187985213
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,8,wavelength,0.0002887044727424612,0.0006843583486731566,0.0004734441814873421
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,9,index,0.0002732142331098302,0.000811226296072807,
PACE_OCI.20250320T002144.L1B.V3_image_093,scattered,9,wavelength,0.00025827164930089606,0.0006182266689498163,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,0,index,0.004223813641262515,0.005604852916497599,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,0,wavelength,0.00431803867545193,0.005730949814256996,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,1,index,0.01704048975571016,0.020003043328318725,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,1,wavelength,0.015696412419999535,0.018727747536512438,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,2,index,0.010885752161026161,0.012731672488150986,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,2,wavelength,0.011348579819162286,0.013278569140145514,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,3,index,0.021033512400254816,0.04780168347257628,0.12333108690696419
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,3,wavelength,0.021038563029554744,0.047789961105870755,0.12333614409548507
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,4,index,0.013654021368229359,0.016054180403389042,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,4,wavelength,0.012187637134934143,0.014332273351845424,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,5,index,0.004025656303763649,0.005265875745112379,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,5,wavelength,0.004118717290387162,0.005385475097927658,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,6,index,0.013721480624804995,0.015842432704364997,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,6,wavelength,0.013670921738780654,0.01589605937747623,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,7,index,0.06576841891045698,0.09907306026058126,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,7,wavelength,0.21371669018361666,0.45694956812104287,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,8,index,0.0042209679059857,0.0056678545680398165,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,8,wavelength,0.004808472808902079,0.006327108653156679,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,9,index,0.01799846677210742,0.020914579754338296,
PACE_OCI.20240610T002714.L1B.V3_image_056,contiguous,9,wavelength,0.01653178964905341,0.019504685361159967,
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,0,index,0.0021017366285217354,0.005538648407155279,0.011821176805218178
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,0,wavelength,0.0015598821435965397,0.00400306226692101,0.01190249912938167
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,1,index,0.004368968723979245,0.017189923859825717,0.006550284822979948
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,1,wavelength,0.002288647807388775,0.008287851708311093,0.006546553637899853
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,2,index,0.0012612562163870735,0.0036464130430157587,
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,2,wavelength,0.0009935115256528837,0.002616382976918679,
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,3,index,0.000745600877498095,0.0019064501495686965,0.007686113156422734
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,3,wavelength,0.0007866722719932005,0.0019761480779389063,0.0076689790395105956
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,4,index,0.004116984048097813,0.011984363846173584,0.012225587745585168
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,4,wavelength,0.004180994311025155,0.012269481517006395,0.01222360181117799
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,5,index,0.001174357714204364,0.004276579938167401,
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,5,wavelength,0.001156329235173475,0.004073938166393315,
PACE_OCI.20240610T002714.L1B.V3_image_056,scattered,6,index,0.003046760269763427,0.009002654548562942,0.008080107824719528
