tile,mask_type,ratio,trial,mae,rmse,psnr
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,1,0.026706016,0.033434674,29.516058
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,2,0.027926097,0.03535935,29.029915
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,3,0.033672165,0.04219725,27.494316
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,4,0.025177106,0.031665944,29.988152
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,5,0.02870881,0.03592361,28.8924
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,6,0.030260263,0.037523232,28.513994
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,7,0.04959303,0.06200759,24.151104
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,8,0.033188358,0.04156402,27.625648
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,9,0.040880598,0.050059352,26.010296
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,10,0.03663745,0.045022875,26.931335
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,11,0.03247375,0.040029958,27.952297
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,12,0.03147085,0.03959476,28.047247
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,13,0.04102801,0.050672907,25.904484
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,14,0.037960466,0.046141542,26.718157
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,15,0.027136503,0.034142096,29.334198
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,16,0.05165462,0.063666336,23.921803
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,17,0.025925394,0.032719735,29.703806
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,18,0.04190736,0.05136061,25.787395
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,19,0.024855532,0.03159064,30.008831
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,20,0.030467067,0.038173474,28.364765
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,21,0.042592622,0.05516229,25.167156
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,22,0.027814817,0.03520876,29.066984
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,23,0.02719278,0.034036823,29.36102
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,24,0.024639644,0.031013278,30.169046
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,25,0.030986443,0.03823542,28.350681
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,26,0.039539095,0.050482124,25.937248
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,27,0.027935607,0.035195425,29.070274
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,28,0.03126517,0.03975352,28.012487
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,29,0.031227704,0.03911115,28.15399
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,30,0.05345302,0.06466668,23.78639
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,31,0.022125112,0.02809598,31.027117
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,32,0.028435815,0.035694998,28.947851
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,33,0.029710986,0.0367133,28.703533
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,34,0.028402409,0.03515129,29.081175
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,35,0.027198333,0.034135725,29.33582
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,36,0.037541848,0.046965525,26.564417
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,37,0.030184405,0.038033787,28.396608
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,38,0.026526757,0.03328094,29.556087
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,39,0.03304847,0.04120125,27.701794
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,40,0.035008032,0.04341304,27.247597
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,41,0.029802,0.037392683,28.544266
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,42,0.046741016,0.05735887,24.827988
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,43,0.02843373,0.035394166,29.021366
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,44,0.048207503,0.058189154,24.70316
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,45,0.03054827,0.038140487,28.372276
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,46,0.025449859,0.032316875,29.811413
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,47,0.040334214,0.05005971,26.010235
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,48,0.048804924,0.058608197,24.640831
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,49,0.024770878,0.031455137,30.04617
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,0,0.01437438,0.018223604,34.787315
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,1,0.02170729,0.02736235,31.256933
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,2,0.021263076,0.026754258,31.45214
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,3,0.083558865,0.09149343,20.772202
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,4,0.020299776,0.025615126,31.83007
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,5,0.014933839,0.018898621,34.471397
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,6,0.021343254,0.026856758,31.41893
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,7,0.14545543,0.15409406,16.244282
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,8,0.022491554,0.028131006,31.016294
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,9,0.021353755,0.026931752,31.394709
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,10,0.04824866,0.055770993,25.071833
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,11,0.0501269,0.05786916,24.751057
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,12,0.020773733,0.026153142,31.649523
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,13,0.06577387,0.07709488,22.259487
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,14,0.034918636,0.042645894,27.402456
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,15,0.015558277,0.019717967,34.102757
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,16,0.020419903,0.025785092,31.772625
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,17,0.08282413,0.09070167,20.847694
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,18,0.020888465,0.026368935,31.578148
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,19,0.03257549,0.04023899,27.907059
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,20,0.034802523,0.04229085,27.47507
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,21,0.048393082,0.05582381,25.06361
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,22,0.05738812,0.065097645,23.728695
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,23,0.014937417,0.01890319,34.469296
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,24,0.026910007,0.03346088,29.50925
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,25,0.03014619,0.0373568,28.552607
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,26,0.014938084,0.018904356,34.46876
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,27,0.046461307,0.053867787,25.373419
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.4,28,0.014550942,0.018465994,34.672546
