backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
300M,chip_010_063_merged.tif,0.2,0,1233354241,39,32.3951,37.4962,5.101
300M,chip_010_063_merged.tif,0.2,1,753408723,39,40.1574,37.3834,-2.774
300M,chip_010_063_merged.tif,0.2,2,372802092,39,37.3105,36.7157,-0.5948
300M,chip_010_063_merged.tif,0.2,3,2040340222,39,32.6203,37.2194,4.5991
300M,chip_010_063_merged.tif,0.2,4,1659733591,39,30.9395,37.0508,6.1113
300M,chip_010_063_merged.tif,0.4,0,973400021,78,31.2478,35.5779,4.3302
300M,chip_010_063_merged.tif,0.4,1,592793390,78,31.7689,36.9546,5.1857
300M,chip_010_063_merged.tif,0.4,2,112847872,78,32.8734,37.4345,4.5612
300M,chip_010_063_merged.tif,0.4,3,1879724889,78,34.826,37.0124,2.1864
300M,chip_010_063_merged.tif,0.4,4,1499118258,78,31.2699,36.3283,5.0584
300M,chip_010_063_merged.tif,0.6,0,230101814,117,34.3051,36.5424,2.2374
300M,chip_010_063_merged.tif,0.6,1,1996978831,117,32.347,36.6005,4.2535
300M,chip_010_063_merged.tif,0.6,2,1616372200,117,32.4322,36.511,4.0788
300M,chip_010_063_merged.tif,0.6,3,1136426682,117,32.4226,36.0918,3.6692
300M,chip_010_063_merged.tif,0.6,4,755820051,117,34.2986,35.7567,1.458
300M,chip_010_063_merged.tif,0.8,0,1994332153,156,33.3229,35.2802,1.9573
300M,chip_010_063_merged.tif,0.8,1,1514386635,156,33.3236,35.1772,1.8537
300M,chip_010_063_merged.tif,0.8,2,1133780004,156,33.2647,35.3378,2.0731
300M,chip_010_063_merged.tif,0.8,3,653834486,156,33.3663,36.2326,2.8663
300M,chip_010_063_merged.tif,0.8,4,273227855,156,33.3636,36.3775,3.0139
300M,chip_030_076_merged.tif,0.2,0,344705013,39,36.5692,39.1709,2.6017
300M,chip_030_076_merged.tif,0.2,1,2111582030,39,39.319,39.8413,0.5224
300M,chip_030_076_merged.tif,0.2,2,1631636512,39,36.6086,39.7938,3.1851
300M,chip_030_076_merged.tif,0.2,3,1251029881,39,36.7639,39.5114,2.7475
300M,chip_030_076_merged.tif,0.2,4,771084363,39,36.7567,40.1922,3.4355
300M,chip_030_076_merged.tif,0.4,0,1426913591,78,36.8657,39.3391,2.4734
300M,chip_030_076_merged.tif,0.4,1,1046306960,78,39.3323,39.6548,0.3225
300M,chip_030_076_merged.tif,0.4,2,665700329,78,38.9923,39.8601,0.8678
300M,chip_030_076_merged.tif,0.4,3,185754811,78,39.6959,40.1192,0.4233
300M,chip_030_076_merged.tif,0.4,4,1952631828,78,37.0931,39.6502,2.5571
