backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
100M,chip_010_063_merged.tif,0.2,0,1233354241,39,31.7658,37.31,5.5442
100M,chip_010_063_merged.tif,0.2,1,753408723,39,39.9225,37.1158,-2.8067
100M,chip_010_063_merged.tif,0.2,2,372802092,39,38.7676,36.2198,-2.5478
100M,chip_010_063_merged.tif,0.2,3,2040340222,39,32.4557,36.8665,4.4108
100M,chip_010_063_merged.tif,0.2,4,1659733591,39,30.4492,36.5646,6.1153
100M,chip_010_063_merged.tif,0.4,0,973400021,78,31.1015,35.5346,4.4331
100M,chip_010_063_merged.tif,0.4,1,592793390,78,31.4058,36.6189,5.2131
100M,chip_010_063_merged.tif,0.4,2,112847872,78,32.3038,37.0768,4.773
100M,chip_010_063_merged.tif,0.4,3,1879724889,78,35.1072,36.5508,1.4436
100M,chip_010_063_merged.tif,0.4,4,1499118258,78,31.2452,36.0974,4.8523
100M,chip_010_063_merged.tif,0.6,0,230101814,117,33.5334,36.0301,2.4967
100M,chip_010_063_merged.tif,0.6,1,1996978831,117,32.0908,36.2517,4.1609
100M,chip_010_063_merged.tif,0.6,2,1616372200,117,32.4018,36.067,3.6652
100M,chip_010_063_merged.tif,0.6,3,1136426682,117,32.2236,35.7643,3.5407
100M,chip_010_063_merged.tif,0.6,4,755820051,117,33.5118,35.4175,1.9057
100M,chip_010_063_merged.tif,0.8,0,1994332153,156,33.0651,34.9174,1.8524
100M,chip_010_063_merged.tif,0.8,1,1514386635,156,33.069,34.9936,1.9246
100M,chip_010_063_merged.tif,0.8,2,1133780004,156,33.1925,34.8567,1.6642
100M,chip_010_063_merged.tif,0.8,3,653834486,156,33.0387,35.7289,2.6902
100M,chip_010_063_merged.tif,0.8,4,273227855,156,33.2402,36.0546,2.8145
100M,chip_030_076_merged.tif,0.2,0,344705013,39,38.0634,39.2222,1.1588
100M,chip_030_076_merged.tif,0.2,1,2111582030,39,38.9843,39.7292,0.7449
100M,chip_030_076_merged.tif,0.2,2,1631636512,39,38.0249,39.7149,1.69
100M,chip_030_076_merged.tif,0.2,3,1251029881,39,38.3632,39.2918,0.9286
100M,chip_030_076_merged.tif,0.2,4,771084363,39,38.2026,40.2018,1.9993
100M,chip_030_076_merged.tif,0.4,0,1426913591,78,38.0018,39.1317,1.1299
100M,chip_030_076_merged.tif,0.4,1,1046306960,78,39.2051,39.3665,0.1614
100M,chip_030_076_merged.tif,0.4,2,665700329,78,38.8424,39.6631,0.8207
100M,chip_030_076_merged.tif,0.4,3,185754811,78,39.3035,39.88,0.5765
100M,chip_030_076_merged.tif,0.4,4,1952631828,78,38.1969,39.5327,1.3358
100M,chip_030_076_merged.tif,0.6,0,782954271,117,38.5612,39.5935,1.0324
100M,chip_030_076_merged.tif,0.6,1,303008753,117,38.3217,39.7766,1.4549
100M,chip_030_076_merged.tif,0.6,2,2069885770,117,38.698,39.2039,0.5059
100M,chip_030_076_merged.tif,0.6,3,1589940252,117,38.3621,39.3942,1.0321
100M,chip_030_076_merged.tif,0.6,4,1209333621,117,38.4825,39.4495,0.967
100M,chip_030_076_merged.tif,0.8,0,300362075,156,37.8821,39.1415,1.2594
100M,chip_030_076_merged.tif,0.8,1,1967900205,156,38.027,38.8811,0.8542
100M,chip_030_076_merged.tif,0.8,2,1587293574,156,38.0288,38.7267,0.6979
100M,chip_030_076_merged.tif,0.8,3,1107348056,156,38.5568,39.3405,0.7838
100M,chip_030_076_merged.tif,0.8,4,726741425,156,38.5636,38.9001,0.3365
100M,chip_032_111_merged.tif,0.2,0,1839455341,39,39.1235,37.9093,-1.2141
100M,chip_032_111_merged.tif,0.2,1,1458848710,39,37.4284,38.9658,1.5374
100M,chip_032_111_merged.tif,0.2,2,978903192,39,34.9202,37.6473,2.727
100M,chip_032_111_merged.tif,0.2,3,598296561,39,39.1217,36.2264,-2.8953
100M,chip_032_111_merged.tif,0.2,4,217689930,39,37.1391,38.5186,1.3795
100M,chip_032_111_merged.tif,0.4,0,873519158,78,35.3205,36.5474,1.2269
100M,chip_032_111_merged.tif,0.4,1,393573640,78,34.7853,36.8594,2.0741
100M,chip_032_111_merged.tif,0.4,2,12967009,78,34.0717,37.134,3.0623
100M,chip_032_111_merged.tif,0.4,3,1779844026,78,36.156,36.6577,0.5017
100M,chip_032_111_merged.tif,0.4,4,1299898508,78,35.1048,36.231,1.1262
100M,chip_032_111_merged.tif,0.6,0,935541801,117,35.5605,36.174,0.6136
100M,chip_032_111_merged.tif,0.6,1,554935170,117,35.0129,36.5983,1.5854
100M,chip_032_111_merged.tif,0.6,2,74989652,117,32.6758,36.8665,4.1907
100M,chip_032_111_merged.tif,0.6,3,1841866669,117,36.6284,36.0285,-0.5999
100M,chip_032_111_merged.tif,0.6,4,1361921151,117,34.5312,35.9355,1.4044
100M,chip_032_111_merged.tif,0.8,0,1846833277,156,34.4325,35.1401,0.7076
100M,chip_032_111_merged.tif,0.8,1,1366887759,156,35.7245,34.9832,-0.7413
100M,chip_032_111_merged.tif,0.8,2,986281128,156,34.439,35.3499,0.9108
100M,chip_032_111_merged.tif,0.8,3,506335610,156,33.4571,35.4361,1.979
100M,chip_032_111_merged.tif,0.8,4,125728979,156,33.1137,34.3232,1.2095
100M,chip_032_183_merged.tif,0.2,0,524253025,39,47.5818,46.2177,-1.3641
100M,chip_032_183_merged.tif,0.2,1,44307507,39,46.8073,46.1082,-0.6991
100M,chip_032_183_merged.tif,0.2,2,1811184524,39,45.5014,45.6523,0.1509
100M,chip_032_183_merged.tif,0.2,3,1430577893,39,45.0711,45.8641,0.793
100M,chip_032_183_merged.tif,0.2,4,950632375,39,43.9648,46.5356,2.5709
100M,chip_032_183_merged.tif,0.4,0,363637692,78,44.1416,46.0034,1.8618
100M,chip_032_183_merged.tif,0.4,1,2031175822,78,44.5005,46.0013,1.5008
100M,chip_032_183_merged.tif,0.4,2,1650569191,78,44.6675,45.8094,1.1419
100M,chip_032_183_merged.tif,0.4,3,1170623673,78,46.0912,45.8844,-0.2068
100M,chip_032_183_merged.tif,0.4,4,790017042,78,44.5025,46.2466,1.744
100M,chip_032_183_merged.tif,0.6,0,1767823133,117,44.3385,45.694,1.3555
100M,chip_032_183_merged.tif,0.6,1,1287877615,117,44.6978,46.3293,1.6315
100M,chip_032_183_merged.tif,0.6,2,907270984,117,45.4216,45.6908,0.2693
100M,chip_032_183_merged.tif,0.6,3,427325466,117,44.3229,46.0878,1.765
100M,chip_032_183_merged.tif,0.6,4,46718835,117,44.2002,45.6159,1.4157
100M,chip_032_183_merged.tif,0.8,0,1285230937,156,44.4594,45.5505,1.0911
100M,chip_032_183_merged.tif,0.8,1,805285419,156,44.4185,45.8858,1.4672
100M,chip_032_183_merged.tif,0.8,2,424678788,156,44.4252,45.7844,1.3592
100M,chip_032_183_merged.tif,0.8,3,44072157,156,43.5229,45.6741,2.1512
100M,chip_032_183_merged.tif,0.8,4,1711610287,156,44.3073,45.6602,1.3529
100M,chip_036_147_merged.tif,0.2,0,1971329537,39,37.9254,39.8653,1.9398
100M,chip_036_147_merged.tif,0.2,1,1590722906,39,35.3322,38.7225,3.3903
100M,chip_036_147_merged.tif,0.2,2,1210116275,39,38.4114,39.4056,0.9942
100M,chip_036_147_merged.tif,0.2,3,730170757,39,37.7056,39.1542,1.4486
100M,chip_036_147_merged.tif,0.2,4,349564126,39,36.522,36.83,0.3081
100M,chip_036_147_merged.tif,0.4,0,1810714204,78,38.4221,38.5285,0.1065
100M,chip_036_147_merged.tif,0.4,1,1430107573,78,37.4128,39.3967,1.9839
100M,chip_036_147_merged.tif,0.4,2,950162055,78,32.6581,38.9643,6.3062
100M,chip_036_147_merged.tif,0.4,3,569555424,78,37.4127,39.0246,1.612
100M,chip_036_147_merged.tif,0.4,4,89609906,78,38.1749,38.065,-0.1099
100M,chip_036_147_merged.tif,0.6,0,1067415997,117,36.4007,38.898,2.4973
100M,chip_036_147_merged.tif,0.6,1,686809366,117,37.4278,39.1316,1.7038
100M,chip_036_147_merged.tif,0.6,2,206863848,117,36.6309,39.2438,2.6129
100M,chip_036_147_merged.tif,0.6,3,1973740865,117,37.3161,38.76,1.4439
100M,chip_036_147_merged.tif,0.6,4,1593134234,117,37.4904,38.7478,1.2575
100M,chip_036_147_merged.tif,0.8,0,584823801,156,36.4814,37.4923,1.0109
100M,chip_036_147_merged.tif,0.8,1,204217170,156,36.3687,37.248,0.8793
100M,chip_036_147_merged.tif,0.8,2,1971094187,156,37.0506,38.2994,1.2487
100M,chip_036_147_merged.tif,0.8,3,1491148669,156,35.3763,34.621,-0.7553
100M,chip_036_147_merged.tif,0.8,4,1110542038,156,37.0936,37.7583,0.6647
100M,chip_037_102_merged.tif,0.2,0,515017938,39,39.303,39.5456,0.2426
100M,chip_037_102_merged.tif,0.2,1,35072420,39,39.5257,41.235,1.7093
100M,chip_037_102_merged.tif,0.2,2,1801949437,39,37.2961,39.1798,1.8837
100M,chip_037_102_merged.tif,0.2,3,1322003919,39,37.7841,40.2311,2.447
100M,chip_037_102_merged.tif,0.2,4,941397288,39,37.3699,39.5613,2.1914
100M,chip_037_102_merged.tif,0.4,0,1597226516,78,34.3104,39.3592,5.0487
100M,chip_037_102_merged.tif,0.4,1,1216619885,78,37.0945,38.5145,1.42
100M,chip_037_102_merged.tif,0.4,2,736674367,78,36.9199,38.9903,2.0704
100M,chip_037_102_merged.tif,0.4,3,356067736,78,34.3114,39.3554,5.044
100M,chip_037_102_merged.tif,0.4,4,2122944753,78,36.9223,39.2143,2.292
100M,chip_037_102_merged.tif,0.6,0,1758588046,117,31.6891,39.5145,7.8254
100M,chip_037_102_merged.tif,0.6,1,1278642528,117,31.6987,37.9792,6.2805
100M,chip_037_102_merged.tif,0.6,2,898035897,117,33.4723,39.4976,6.0253
100M,chip_037_102_merged.tif,0.6,3,418090379,117,35.5995,38.2526,2.6531
100M,chip_037_102_merged.tif,0.6,4,37483748,117,33.4502,38.4641,5.0139
100M,chip_037_102_merged.tif,0.8,0,371336113,156,33.4108,37.0409,3.6301
100M,chip_037_102_merged.tif,0.8,1,2138213130,156,33.5242,37.268,3.7439
100M,chip_037_102_merged.tif,0.8,2,1757606499,156,33.541,35.8853,2.3442
100M,chip_037_102_merged.tif,0.8,3,1277660981,156,32.7789,34.5509,1.772
100M,chip_037_102_merged.tif,0.8,4,897054350,156,33.4072,37.4816,4.0745
100M,chip_038_107_merged.tif,0.2,0,1434632243,39,35.2301,39.0822,3.8521
100M,chip_038_107_merged.tif,0.2,1,1054025612,39,38.0373,38.7382,0.7009
100M,chip_038_107_merged.tif,0.2,2,574080094,39,35.2147,38.4939,3.2792
100M,chip_038_107_merged.tif,0.2,3,193473463,39,37.5619,39.0825,1.5207
100M,chip_038_107_merged.tif,0.2,4,1861011593,39,36.8691,38.9412,2.0721
100M,chip_038_107_merged.tif,0.4,0,1274016910,78,33.1925,38.7256,5.5331
100M,chip_038_107_merged.tif,0.4,1,794071392,78,35.6768,37.6711,1.9944
100M,chip_038_107_merged.tif,0.4,2,413464761,78,35.7416,37.7743,2.0327
100M,chip_038_107_merged.tif,0.4,3,32858130,78,33.7054,37.8834,4.178
100M,chip_038_107_merged.tif,0.4,4,1700396260,78,33.7051,37.0898,3.3847
100M,chip_038_107_merged.tif,0.6,0,530718703,117,34.6464,37.3673,2.7208
100M,chip_038_107_merged.tif,0.6,1,50773185,117,34.2019,37.3773,3.1754
100M,chip_038_107_merged.tif,0.6,2,1817650202,117,34.6382,37.9969,3.3588
100M,chip_038_107_merged.tif,0.6,3,1437043571,117,34.6417,37.4524,2.8107
100M,chip_038_107_merged.tif,0.6,4,957098053,117,33.6072,36.1558,2.5486
100M,chip_038_107_merged.tif,0.8,0,48126507,156,33.8869,35.4789,1.5921
100M,chip_038_107_merged.tif,0.8,1,1815003524,156,33.895,35.7691,1.8741
100M,chip_038_107_merged.tif,0.8,2,1335058006,156,33.8687,34.8773,1.0086
100M,chip_038_107_merged.tif,0.8,3,954451375,156,34.2195,36.2781,2.0586
100M,chip_038_107_merged.tif,0.8,4,474505857,156,34.1771,34.9617,0.7846
100M,chip_039_108_merged.tif,0.2,0,1016999535,39,36.5265,37.5948,1.0683
100M,chip_039_108_merged.tif,0.2,1,636392904,39,34.7799,36.8674,2.0875
100M,chip_039_108_merged.tif,0.2,2,156447386,39,36.4976,37.9544,1.4568
100M,chip_039_108_merged.tif,0.2,3,1923324403,39,36.5233,37.2349,0.7116
100M,chip_039_108_merged.tif,0.2,4,1542717772,39,33.2919,38.3208,5.0289
100M,chip_039_108_merged.tif,0.4,0,856384202,78,31.4831,37.9363,6.4532
100M,chip_039_108_merged.tif,0.4,1,475777571,78,29.5676,37.3461,7.7785
100M,chip_039_108_merged.tif,0.4,2,2143315701,78,30.0279,37.4377,7.4098
100M,chip_039_108_merged.tif,0.4,3,1762709070,78,31.4446,37.3385,5.8939
100M,chip_039_108_merged.tif,0.4,4,1282763552,78,28.634,37.7204,9.0864
100M,chip_039_108_merged.tif,0.6,0,113085995,117,28.7625,37.0519,8.2894
100M,chip_039_108_merged.tif,0.6,1,1879963012,117,29.6438,36.8871,7.2433
100M,chip_039_108_merged.tif,0.6,2,1400017494,117,31.5152,36.5756,5.0604
100M,chip_039_108_merged.tif,0.6,3,1019410863,117,29.6647,34.51,4.8453
100M,chip_039_108_merged.tif,0.6,4,539465345,117,29.2586,35.7108,6.4523
100M,chip_039_108_merged.tif,0.8,0,1777977447,156,30.1909,34.009,3.8181
100M,chip_039_108_merged.tif,0.8,1,1397370816,156,29.1562,34.4112,5.255
100M,chip_039_108_merged.tif,0.8,2,917425298,156,30.03,35.6199,5.5899
100M,chip_039_108_merged.tif,0.8,3,536818667,156,29.1062,33.4159,4.3097
100M,chip_039_108_merged.tif,0.8,4,156212036,156,30.0662,34.9328,4.8666
100M,chip_039_111_merged.tif,0.2,0,118711396,39,38.375,38.7931,0.4182
100M,chip_039_111_merged.tif,0.2,1,1885588413,39,35.9839,39.432,3.4482
100M,chip_039_111_merged.tif,0.2,2,1405642895,39,36.6379,38.6024,1.9645
100M,chip_039_111_merged.tif,0.2,3,1025036264,39,36.3634,37.8233,1.46
100M,chip_039_111_merged.tif,0.2,4,545090746,39,32.1197,37.8858,5.7661
100M,chip_039_111_merged.tif,0.4,0,2105579711,78,37.3992,37.8894,0.4902
100M,chip_039_111_merged.tif,0.4,1,1625634193,78,34.1492,37.5802,3.431
100M,chip_039_111_merged.tif,0.4,2,1245027562,78,37.3988,38.2425,0.8437
100M,chip_039_111_merged.tif,0.4,3,765082044,78,37.0363,38.5482,1.5119
100M,chip_039_111_merged.tif,0.4,4,384475413,78,34.7088,37.7494,3.0406
100M,chip_039_111_merged.tif,0.6,0,1362281504,117,35.2344,37.4098,2.1753
100M,chip_039_111_merged.tif,0.6,1,882335986,117,35.2431,37.6975,2.4544
100M,chip_039_111_merged.tif,0.6,2,501729355,117,35.2467,37.0995,1.8528
100M,chip_039_111_merged.tif,0.6,3,21783837,117,35.0888,37.9922,2.9034
100M,chip_039_111_merged.tif,0.6,4,1788660854,117,35.0911,37.8277,2.7366
100M,chip_039_111_merged.tif,0.8,0,879689308,156,35.7391,36.1877,0.4487
100M,chip_039_111_merged.tif,0.8,1,499082677,156,35.7427,36.7265,0.9838
100M,chip_039_111_merged.tif,0.8,2,19137159,156,36.3861,36.0252,-0.3609
100M,chip_039_111_merged.tif,0.8,3,1786014176,156,35.4244,36.7526,1.3282
100M,chip_039_111_merged.tif,0.8,4,1306068658,156,35.7617,36.6437,0.882
