backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
100M,chip_351_539_merged.tif,0.2,2,957417154,3,13,0.199,0.002911,42.2904,0.9848,0.011288,35.9639,0.9392
100M,chip_351_539_merged.tif,0.2,3,477471636,3,13,0.199,0.003244,41.4113,0.978,0.010656,35.651,0.9245
100M,chip_351_539_merged.tif,0.2,4,96865005,3,13,0.199,0.002983,41.5626,0.982,0.010388,35.9749,0.935
100M,chip_351_539_merged.tif,0.4,0,1558015083,6,13,0.398,0.006248,38.5388,0.9612,0.011678,35.6386,0.9304
100M,chip_351_539_merged.tif,0.4,1,1177408452,6,13,0.398,0.005857,38.854,0.9591,0.01174,35.6005,0.9158
100M,chip_351_539_merged.tif,0.4,2,697462934,6,13,0.398,0.005775,38.612,0.9639,0.010293,36.6797,0.938
100M,chip_351_539_merged.tif,0.4,3,316856303,6,13,0.398,0.006493,38.4228,0.9587,0.01177,36.0711,0.9273
100M,chip_351_539_merged.tif,0.4,4,2083733320,6,13,0.398,0.006692,38.474,0.9582,0.01219,35.6929,0.9269
100M,chip_351_539_merged.tif,0.6,0,814716876,9,13,0.5969,0.011366,35.5719,0.9189,0.015173,34.2887,0.898
100M,chip_351_539_merged.tif,0.6,1,434110245,9,13,0.5969,0.011355,35.0425,0.9213,0.015766,33.6415,0.8943
100M,chip_351_539_merged.tif,0.6,2,2101648375,9,13,0.5969,0.010425,35.5429,0.9232,0.014209,33.9448,0.8975
100M,chip_351_539_merged.tif,0.6,3,1721041744,9,13,0.5969,0.017309,31.8845,0.8927,0.025892,30.0377,0.8433
100M,chip_351_539_merged.tif,0.6,4,1340435113,9,13,0.5969,0.011303,35.3136,0.9233,0.013797,34.5707,0.9072
100M,chip_351_539_merged.tif,0.8,0,431463567,12,13,0.7959,0.022222,30.5725,0.8219,0.02377,30.2574,0.8099
100M,chip_351_539_merged.tif,0.8,1,2099001697,12,13,0.7959,0.024325,30.0565,0.8133,0.026208,29.6736,0.8035
100M,chip_351_539_merged.tif,0.8,2,1718395066,12,13,0.7959,0.019535,31.8382,0.8318,0.02157,31.4877,0.8184
100M,chip_351_539_merged.tif,0.8,3,1238449548,12,13,0.7959,0.02445,30.0548,0.817,0.027696,29.4889,0.799
100M,chip_351_539_merged.tif,0.8,4,857842917,12,13,0.7959,0.020732,31.3648,0.8284,0.022213,31.0979,0.8166
100M,chip_107_106_merged.tif,0.2,0,1942990970,3,13,0.199,0.005829,37.1619,0.9582,0.022095,31.0866,0.8376
100M,chip_107_106_merged.tif,0.2,1,1562384339,3,13,0.199,0.006657,35.853,0.9493,0.025372,29.5289,0.8033
100M,chip_107_106_merged.tif,0.2,2,1082438821,3,13,0.199,0.005357,37.4177,0.9604,0.020036,31.512,0.8429
100M,chip_107_106_merged.tif,0.2,3,701832190,3,13,0.199,0.005981,36.9357,0.9577,0.019373,31.5105,0.8596
100M,chip_107_106_merged.tif,0.2,4,221886672,3,13,0.199,0.007293,35.7394,0.9487,0.02602,30.0655,0.8102
100M,chip_107_106_merged.tif,0.4,0,977054787,6,13,0.398,0.014763,32.1124,0.8838,0.027077,29.1581,0.7869
100M,chip_107_106_merged.tif,0.4,1,497109269,6,13,0.398,0.015061,31.7295,0.8905,0.030341,28.3991,0.773
100M,chip_107_106_merged.tif,0.4,2,116502638,6,13,0.398,0.014078,32.2978,0.8904,0.02552,29.5043,0.8039
100M,chip_107_106_merged.tif,0.4,3,1784040768,6,13,0.398,0.014085,32.2975,0.8897,0.027061,29.2787,0.7904
100M,chip_107_106_merged.tif,0.4,4,1403434137,6,13,0.398,0.014058,32.5282,0.8932,0.025751,29.6787,0.8016
100M,chip_107_106_merged.tif,0.6,0,233756580,9,13,0.5969,0.024909,29.1812,0.8028,0.031301,28.1485,0.7563
100M,chip_107_106_merged.tif,0.6,1,1901294710,9,13,0.5969,0.023007,29.4236,0.8159,0.031681,27.8696,0.7553
100M,chip_107_106_merged.tif,0.6,2,1520688079,9,13,0.5969,0.02291,29.5244,0.8153,0.030381,28.2025,0.7596
100M,chip_107_106_merged.tif,0.6,3,1040742561,9,13,0.5969,0.02253,29.7484,0.8257,0.02979,28.3586,0.7722
100M,chip_107_106_merged.tif,0.6,4,660135930,9,13,0.5969,0.023509,29.4843,0.8087,0.030502,28.2855,0.7579
100M,chip_107_106_merged.tif,0.8,0,1898648032,12,13,0.7959,0.034346,27.1545,0.6942,0.037173,26.8001,0.674
100M,chip_107_106_merged.tif,0.8,1,1418702514,12,13,0.7959,0.032777,27.4039,0.6932,0.036654,26.8951,0.6614
100M,chip_107_106_merged.tif,0.8,2,1038095883,12,13,0.7959,0.038418,26.1361,0.6526,0.042099,25.7222,0.6178
100M,chip_107_106_merged.tif,0.8,3,657489252,12,13,0.7959,0.034446,27.1491,0.6897,0.037449,26.7727,0.668
100M,chip_107_106_merged.tif,0.8,4,177543734,12,13,0.7959,0.034099,27.1792,0.6954,0.035125,27.2652,0.6864
100M,chip_308_293_merged.tif,0.2,0,1507183629,3,13,0.199,0.004007,40.6848,0.9775,0.01546,34.6308,0.9185
100M,chip_308_293_merged.tif,0.2,1,1126576998,3,13,0.199,0.003884,41.089,0.977,0.012763,35.8513,0.9255
100M,chip_308_293_merged.tif,0.2,2,745970367,3,13,0.199,0.003292,41.697,0.9788,0.013818,35.1446,0.9115
100M,chip_308_293_merged.tif,0.2,3,266024849,3,13,0.199,0.003486,41.3808,0.9785,0.012817,35.7904,0.9248
100M,chip_308_293_merged.tif,0.2,4,2032901866,3,13,0.199,0.004074,40.3102,0.973,0.014713,34.4634,0.9062
100M,chip_308_293_merged.tif,0.4,0,541247446,6,13,0.398,0.009254,36.5337,0.9453,0.01727,33.6519,0.9045
100M,chip_308_293_merged.tif,0.4,1,61301928,6,13,0.398,0.00776,37.2366,0.9437,0.014906,34.1597,0.892
100M,chip_308_293_merged.tif,0.4,2,1828178945,6,13,0.398,0.008257,37.1671,0.9476,0.016309,34.1984,0.9021
100M,chip_308_293_merged.tif,0.4,3,1447572314,6,13,0.398,0.008,37.3571,0.9474,0.015835,34.2541,0.8986
100M,chip_308_293_merged.tif,0.4,4,967626796,6,13,0.398,0.008305,36.9467,0.9413,0.015086,34.0941,0.8959
100M,chip_308_293_merged.tif,0.6,0,650888102,9,13,0.5969,0.012998,34.2512,0.8971,0.017947,32.6282,0.8542
100M,chip_308_293_merged.tif,0.6,1,170942584,9,13,0.5969,0.014155,34.0253,0.8979,0.017899,32.979,0.8746
100M,chip_308_293_merged.tif,0.6,2,1937819601,9,13,0.5969,0.012746,34.6093,0.9068,0.016923,33.1795,0.8759
100M,chip_308_293_merged.tif,0.6,3,1457874083,9,13,0.5969,0.013869,33.7361,0.9056,0.019907,32.0657,0.8674
100M,chip_308_293_merged.tif,0.6,4,1077267452,9,13,0.5969,0.012468,34.5515,0.8993,0.016703,33.1213,0.8665
100M,chip_308_293_merged.tif,0.8,0,1462840691,12,13,0.7959,0.023702,30.5921,0.8205,0.024817,30.4927,0.8094
100M,chip_308_293_merged.tif,0.8,1,1082234060,12,13,0.7959,0.020644,31.5611,0.8407,0.023679,30.8177,0.8172
100M,chip_308_293_merged.tif,0.8,2,602288542,12,13,0.7959,0.022539,30.9264,0.8294,0.023953,30.6275,0.8175
100M,chip_308_293_merged.tif,0.8,3,221681911,12,13,0.7959,0.022801,30.9605,0.8313,0.023981,30.7958,0.8203
100M,chip_308_293_merged.tif,0.8,4,1889220041,12,13,0.7959,0.023279,30.8164,0.8224,0.023976,30.5471,0.808
100M,chip_365_309_merged.tif,0.2,0,1883880586,3,13,0.199,0.002492,42.8956,0.9884,0.00897,36.8643,0.9558
100M,chip_365_309_merged.tif,0.2,1,1503273955,3,13,0.199,0.002747,43.2427,0.9847,0.008363,38.6445,0.9578
100M,chip_365_309_merged.tif,0.2,2,1023328437,3,13,0.199,0.002715,43.4847,0.9854,0.00943,37.7704,0.9516
100M,chip_365_309_merged.tif,0.2,3,642721806,3,13,0.199,0.002903,42.2122,0.9843,0.009737,36.8672,0.9458
100M,chip_365_309_merged.tif,0.2,4,262115175,3,13,0.199,0.002443,43.6213,0.987,0.008699,37.8138,0.9516
100M,chip_365_309_merged.tif,0.4,0,917944403,6,13,0.398,0.006055,38.404,0.96,0.011999,34.9901,0.918
100M,chip_365_309_merged.tif,0.4,1,437998885,6,13,0.398,0.006481,38.5083,0.964,0.011139,36.2122,0.9418
100M,chip_365_309_merged.tif,0.4,2,57392254,6,13,0.398,0.005754,38.8658,0.9652,0.010193,36.7455,0.939
100M,chip_365_309_merged.tif,0.4,3,1824269271,6,13,0.398,0.006072,38.3806,0.9604,0.012253,35.0416,0.9187
100M,chip_365_309_merged.tif,0.4,4,1344323753,6,13,0.398,0.005985,38.8801,0.9642,0.011408,35.7355,0.9319
100M,chip_365_309_merged.tif,0.6,0,979967046,9,13,0.5969,0.011371,34.3126,0.9132,0.015123,33.1534,0.8835
100M,chip_365_309_merged.tif,0.6,1,599360415,9,13,0.5969,0.009892,35.9654,0.9286,0.01281,34.9343,0.9148
100M,chip_365_309_merged.tif,0.6,2,119414897,9,13,0.5969,0.00986,36.2487,0.9282,0.013268,34.8121,0.909
100M,chip_365_309_merged.tif,0.6,3,1886291914,9,13,0.5969,0.009401,36.546,0.9384,0.012344,35.2414,0.9168
100M,chip_365_309_merged.tif,0.6,4,1406346396,9,13,0.5969,0.009827,35.6829,0.9302,0.013603,34.1352,0.9084
100M,chip_365_309_merged.tif,0.8,0,497374850,12,13,0.7959,0.01832,31.4101,0.844,0.020268,30.9147,0.8314
100M,chip_365_309_merged.tif,0.8,1,116768219,12,13,0.7959,0.017674,32.1752,0.8457,0.018804,32.0973,0.8421
100M,chip_365_309_merged.tif,0.8,2,1784306349,12,13,0.7959,0.017781,31.6958,0.8457,0.019745,31.1211,0.83
100M,chip_365_309_merged.tif,0.8,3,1403699718,12,13,0.7959,0.016893,32.5692,0.857,0.018897,32.1957,0.8404
100M,chip_365_309_merged.tif,0.8,4,1023093087,12,13,0.7959,0.018279,31.5617,0.8396,0.020177,31.0642,0.8235
100M,chip_234_445_merged.tif,0.2,0,847931247,3,13,0.199,0.003741,40.9982,0.976,0.013597,35.1678,0.9166
100M,chip_234_445_merged.tif,0.2,1,467324616,3,13,0.199,0.003746,41.4908,0.9738,0.013471,35.8189,0.909
100M,chip_234_445_merged.tif,0.2,2,2134862746,3,13,0.199,0.003979,40.2337,0.9725,0.014352,34.2114,0.9
100M,chip_234_445_merged.tif,0.2,3,1754256115,3,13,0.199,0.003739,40.8684,0.9742,0.013004,34.9541,0.9105
100M,chip_234_445_merged.tif,0.2,4,1274310597,3,13,0.199,0.00405,40.3263,0.9717,0.014831,34.4129,0.8902
100M,chip_234_445_merged.tif,0.4,0,2029478712,6,13,0.398,0.009175,36.2068,0.9326,0.01758,33.1442,0.8717
100M,chip_234_445_merged.tif,0.4,1,1549533194,6,13,0.398,0.008767,36.3217,0.9302,0.016535,33.3205,0.8701
100M,chip_234_445_merged.tif,0.4,2,1168926563,6,13,0.398,0.009344,35.7934,0.9324,0.018448,32.6012,0.8667
100M,chip_234_445_merged.tif,0.4,3,688981045,6,13,0.398,0.008679,36.4206,0.9334,0.015863,33.5081,0.884
100M,chip_234_445_merged.tif,0.4,4,308374414,6,13,0.398,0.008351,36.8126,0.9416,0.01398,34.3797,0.9036
100M,chip_234_445_merged.tif,0.6,0,2091501355,9,13,0.5969,0.014458,33.4592,0.8802,0.019063,32.3679,0.8424
100M,chip_234_445_merged.tif,0.6,1,1611555837,9,13,0.5969,0.014592,33.3777,0.8762,0.019345,32.1207,0.8386
100M,chip_234_445_merged.tif,0.6,2,1230949206,9,13,0.5969,0.013944,33.8369,0.8859,0.0181,32.5811,0.8507
100M,chip_234_445_merged.tif,0.6,3,850342575,9,13,0.5969,0.01365,34.1334,0.8897,0.017792,33.0385,0.8598
100M,chip_234_445_merged.tif,0.6,4,370397057,9,13,0.5969,0.013986,33.7427,0.8851,0.019373,32.3546,0.8466
100M,chip_234_445_merged.tif,0.8,0,1608909159,12,13,0.7959,0.02636,29.6968,0.7666,0.029615,29.0939,0.7388
100M,chip_234_445_merged.tif,0.8,1,1228302528,12,13,0.7959,0.023071,30.5129,0.7884,0.024509,30.1851,0.7732
100M,chip_234_445_merged.tif,0.8,2,748357010,12,13,0.7959,0.023225,30.4138,0.7923,0.026035,29.9657,0.7716
