chip,rank,role,ratio,mask_type,trial,psnr
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,25,40.5354
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,26,38.6959
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,27,41.6156
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,28,37.4175
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,29,39.9626
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,30,40.7811
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,31,36.9378
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,32,39.3045
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,33,38.6959
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,34,38.7345
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,35,40.7472
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,36,40.7849
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,37,41.5872
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,38,41.4009
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,39,39.1701
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,40,37.5643
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,41,37.1203
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,42,41.2008
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,43,38.3535
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,44,40.4007
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,45,39.1701
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,46,36.9378
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,47,41.2008
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,48,40.7472
chip_140_470_merged.tif,1,complex_rank1_new,0.2,block,49,40.3301
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,0,38.4053
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,1,38.7358
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,2,38.8098
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,3,38.7904
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,4,38.5555
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,5,39.1595
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,6,38.3059
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,7,38.6906
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,8,39.141
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,9,38.773
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,10,37.881
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,11,38.9028
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,12,39.2908
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,13,37.6019
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,14,38.6418
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,15,39.2871
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,16,38.0386
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,17,39.2627
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,18,38.1554
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,19,38.5292
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,20,39.6025
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,21,39.2288
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,22,38.5721
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,23,39.3047
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,24,38.6471
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,25,39.3427
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,26,38.9892
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,27,38.3758
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,28,39.1799
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,29,38.9514
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,30,39.0288
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,31,38.2599
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,32,39.3292
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,33,39.1757
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,34,38.7972
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,35,39.3829
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,36,39.4625
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,37,39.2195
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,38,39.408
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,39,39.4295
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,40,38.9376
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,41,37.5078
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,42,39.2169
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,43,38.5998
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,44,38.5411
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,45,38.6639
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,46,38.157
chip_140_470_merged.tif,1,complex_rank1_new,0.4,random,47,39.0462
