backbone,chip,mask_ratio,trial,trial_seed,block_h_patches,block_w_patches,block_area_frac,global_mae,global_psnr,global_ssim,block_mae,block_psnr,block_ssim
600M,chip_154_484_merged.tif,0.2,0,1250999219,5,10,0.1953,0.003071,42.6108,0.98,0.01118,36.7026,0.9285
600M,chip_154_484_merged.tif,0.2,1,870392588,5,10,0.1953,0.003327,42.0392,0.9786,0.011902,36.164,0.9246
600M,chip_154_484_merged.tif,0.2,2,390447070,5,10,0.1953,0.003537,41.617,0.9755,0.01282,35.648,0.9085
600M,chip_154_484_merged.tif,0.2,3,9840439,5,10,0.1953,0.003767,41.177,0.9775,0.013549,35.1906,0.9189
600M,chip_154_484_merged.tif,0.2,4,1677378569,5,10,0.1953,0.003904,41.19,0.9765,0.013762,35.3623,0.9182
600M,chip_154_484_merged.tif,0.4,0,285063036,10,10,0.3906,0.007097,38.484,0.9535,0.013529,35.4046,0.914
600M,chip_154_484_merged.tif,0.4,1,1952601166,10,10,0.3906,0.007292,37.8946,0.9497,0.01492,34.5456,0.8987
600M,chip_154_484_merged.tif,0.4,2,1571994535,10,10,0.3906,0.007646,37.6187,0.946,0.014144,34.7579,0.9025
600M,chip_154_484_merged.tif,0.4,3,1092049017,10,10,0.3906,0.007339,37.9173,0.948,0.014802,34.5489,0.8946
600M,chip_154_484_merged.tif,0.4,4,711442386,10,10,0.3906,0.008249,37.4646,0.9461,0.014857,34.6668,0.902
600M,chip_154_484_merged.tif,0.6,0,347085679,11,14,0.6016,0.013397,34.3652,0.8967,0.016902,33.2734,0.8719
600M,chip_154_484_merged.tif,0.6,1,2014623809,11,14,0.6016,0.012474,34.9752,0.9039,0.015824,34.0738,0.8821
600M,chip_154_484_merged.tif,0.6,2,1634017178,11,14,0.6016,0.012196,35.1817,0.9051,0.015698,33.9511,0.8799
600M,chip_154_484_merged.tif,0.6,3,1253410547,11,14,0.6016,0.012672,34.8568,0.9063,0.016379,33.6615,0.884
600M,chip_154_484_merged.tif,0.6,4,773465029,11,14,0.6016,0.01208,35.1812,0.9073,0.015919,33.963,0.8793
600M,chip_154_484_merged.tif,0.8,0,2011977131,13,15,0.7617,0.02138,31.3771,0.8104,0.022145,31.2748,0.8067
600M,chip_154_484_merged.tif,0.8,1,1631370500,13,16,0.8125,0.022419,31.4306,0.8116,0.02319,31.3572,0.804
