chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
6,tiny,0.9,0.026707,27.7689,0.736414,0.029408,27.3506,0.701431,0.19
7,tiny,0.1,0.000792,47.7112,0.994714,0.008171,37.5762,0.949733,0.06
7,tiny,0.2,0.002333,42.0716,0.984517,0.010391,35.5835,0.935954,0.08
7,tiny,0.3,0.003001,40.8498,0.977701,0.009643,35.7805,0.920899,0.1
7,tiny,0.4,0.004513,38.4328,0.968228,0.010167,34.9055,0.920785,0.12
7,tiny,0.5,0.006392,36.0669,0.950457,0.012283,33.2304,0.894754,0.13
7,tiny,0.6,0.008547,34.6404,0.931096,0.013296,32.7216,0.883388,0.15
7,tiny,0.7,0.009401,33.7895,0.920279,0.014741,31.836,0.861172,0.15
7,tiny,0.8,0.016284,30.7223,0.860656,0.020329,29.7587,0.814508,0.17
7,tiny,0.9,0.026782,27.4748,0.779353,0.029491,27.0564,0.753022,0.19
8,tiny,0.1,0.000804,48.5263,0.994573,0.007881,38.6141,0.949284,0.06
8,tiny,0.2,0.001956,42.8013,0.986564,0.010088,35.6765,0.927731,0.08
8,tiny,0.3,0.002681,42.3277,0.98124,0.008905,37.1137,0.937125,0.09
8,tiny,0.4,0.004576,39.0432,0.965654,0.009856,35.7111,0.916638,0.12
8,tiny,0.5,0.005493,37.3348,0.954602,0.011703,34.0501,0.897278,0.12
8,tiny,0.6,0.007822,34.976,0.933027,0.013331,32.6604,0.874055,0.14
8,tiny,0.7,0.01224,32.567,0.890904,0.016545,31.2581,0.840373,0.17
8,tiny,0.8,0.015677,31.4437,0.856507,0.018968,30.6163,0.815279,0.18
8,tiny,0.9,0.024999,27.981,0.773693,0.028487,27.4137,0.72916,0.19
9,tiny,0.1,0.002144,40.0356,0.983396,0.022112,29.9006,0.792167,0.06
9,tiny,0.2,0.003272,38.7949,0.974038,0.018323,31.3131,0.828133,0.07
9,tiny,0.3,0.005641,35.6689,0.952002,0.020473,30.0703,0.791992,0.09
9,tiny,0.4,0.009364,33.3341,0.916672,0.02185,29.6543,0.78024,0.12
9,tiny,0.5,0.010442,32.5105,0.908095,0.022491,29.1784,0.777262,0.12
9,tiny,0.6,0.017289,29.957,0.847905,0.02755,27.9335,0.733373,0.15
9,tiny,0.7,0.019994,28.9152,0.809413,0.029245,27.2637,0.694186,0.16
9,tiny,0.8,0.028944,26.8409,0.726127,0.035679,25.9324,0.647723,0.18
9,tiny,0.9,0.036965,25.4423,0.626565,0.041166,24.9748,0.574879,0.19
10,tiny,0.1,0.001303,45.0498,0.990091,0.011604,35.5514,0.907658,0.06
10,tiny,0.2,0.002361,41.779,0.982009,0.011569,34.8771,0.909947,0.08
10,tiny,0.3,0.002494,42.2542,0.981985,0.010627,35.9592,0.916193,0.08
10,tiny,0.4,0.004953,38.2498,0.957876,0.012289,34.3035,0.889934,0.11
10,tiny,0.5,0.006434,36.9273,0.946947,0.013,33.8725,0.88569,0.13
10,tiny,0.6,0.009046,34.6997,0.922274,0.015026,32.496,0.864226,0.14
10,tiny,0.7,0.011989,33.031,0.896907,0.017028,31.5072,0.843165,0.16
10,tiny,0.8,0.017609,30.2309,0.830649,0.021844,29.2949,0.785709,0.18
10,tiny,0.9,0.023573,28.7354,0.779245,0.026707,28.1933,0.751288,0.19
11,tiny,0.1,0.000978,47.561,0.994026,0.008709,38.0627,0.945604,0.06
11,tiny,0.2,0.001682,45.4241,0.988675,0.007851,38.734,0.945256,0.08
11,tiny,0.3,0.003265,40.5877,0.977621,0.010158,35.6586,0.924386,0.1
11,tiny,0.4,0.003681,39.9797,0.973892,0.010021,35.6304,0.924645,0.1
11,tiny,0.5,0.005915,37.534,0.952405,0.011147,34.7818,0.901553,0.13
11,tiny,0.6,0.007864,35.0495,0.931688,0.013404,32.7339,0.867396,0.14
11,tiny,0.7,0.010406,33.6232,0.907468,0.015451,31.9064,0.847767,0.16
11,tiny,0.8,0.015366,31.2132,0.855086,0.019306,30.2219,0.803911,0.17
11,tiny,0.9,0.02476,28.0556,0.768046,0.026961,27.6858,0.745516,0.19
12,tiny,0.1,0.001082,45.0976,0.991241,0.012477,34.4795,0.89694,0.06
12,tiny,0.2,0.002416,40.9286,0.980042,0.013153,33.5691,0.879671,0.07
12,tiny,0.3,0.003813,38.9273,0.968892,0.013346,33.4866,0.88113,0.09
12,tiny,0.4,0.00596,36.7995,0.948987,0.014603,32.9079,0.864587,0.11
12,tiny,0.5,0.008349,34.528,0.924337,0.016202,31.6487,0.839106,0.13
12,tiny,0.6,0.011623,32.7325,0.892877,0.018225,30.7791,0.81979,0.15
12,tiny,0.7,0.015557,30.6865,0.852308,0.021781,29.2252,0.776954,0.16
12,tiny,0.8,0.019029,29.7125,0.805829,0.024378,28.6368,0.734211,0.17
12,tiny,0.9,0.030368,26.7212,0.700725,0.033252,26.3271,0.666993,0.19
13,tiny,0.1,0.000827,46.2148,0.993633,0.010132,35.3335,0.920616,0.06
