chip_idx,backbone,mask_ratio,mae,psnr,ssim,masked_mae,masked_psnr,masked_ssim,time_sec
0,600M,0.1,0.000973,45.8703,0.992822,0.00923,36.1015,0.981154,0.19
0,600M,0.2,0.001417,45.0458,0.990901,0.008638,37.1959,0.981579,0.16
0,600M,0.3,0.00287,41.2353,0.979032,0.009183,36.1838,0.974705,0.21
0,600M,0.4,0.003986,39.7646,0.970795,0.009907,35.8106,0.967955,0.22
0,600M,0.5,0.005447,37.7984,0.956138,0.010726,34.8555,0.954013,0.22
0,600M,0.6,0.008249,34.5451,0.921569,0.014268,32.1653,0.915337,0.22
0,600M,0.7,0.011391,32.7448,0.891698,0.015511,31.4039,0.887721,0.22
0,600M,0.8,0.014595,31.2716,0.858137,0.018315,30.2855,0.859518,0.22
0,600M,0.9,0.023587,28.3904,0.755713,0.026254,27.9253,0.757408,0.22
1,600M,0.1,0.000716,47.3291,0.995723,0.007632,37.0488,0.984058,0.14
1,600M,0.2,0.001736,43.4402,0.987276,0.008228,36.6818,0.97723,0.17
1,600M,0.3,0.002097,42.8605,0.983954,0.008133,36.9736,0.979224,0.2
1,600M,0.4,0.003642,39.6791,0.9701,0.009514,35.5089,0.962737,0.2
1,600M,0.5,0.004848,38.3115,0.960469,0.009401,35.4348,0.957435,0.22
1,600M,0.6,0.006638,35.6859,0.943016,0.01164,33.247,0.940613,0.22
1,600M,0.7,0.008857,33.9913,0.912807,0.01326,32.2389,0.91552,0.22
1,600M,0.8,0.011955,32.7788,0.886307,0.015076,31.7714,0.883743,0.22
1,600M,0.9,0.016941,30.2157,0.827142,0.019021,29.7127,0.829222,0.21
2,600M,0.1,0.000513,51.6806,0.997611,0.004694,42.0698,0.992606,0.14
2,600M,0.2,0.000966,50.2608,0.995107,0.004498,43.5821,0.99169,0.18
2,600M,0.3,0.001804,45.5756,0.988023,0.0057,40.578,0.985044,0.2
2,600M,0.4,0.002431,44.1642,0.983456,0.005815,40.3757,0.981301,0.21
2,600M,0.5,0.0032,42.2408,0.976241,0.006606,39.0927,0.972497,0.21
2,600M,0.6,0.004962,39.3867,0.958581,0.007939,37.3455,0.957757,0.22
2,600M,0.7,0.006882,37.4056,0.938163,0.009897,35.8274,0.940801,0.22
2,600M,0.8,0.00845,36.289,0.917445,0.010816,35.2169,0.916841,0.22
2,600M,0.9,0.014032,32.9976,0.860832,0.015417,32.5887,0.860512,0.21
3,600M,0.1,0.00058,51.7805,0.997729,0.00495,42.4694,0.994024,0.15
3,600M,0.2,0.000972,47.4292,0.994476,0.005654,39.7813,0.990633,0.17
3,600M,0.3,0.00162,44.5379,0.99123,0.005762,39.0289,0.987686,0.19
3,600M,0.4,0.002586,42.9199,0.984003,0.006306,39.0494,0.982736,0.21
3,600M,0.5,0.003317,40.5585,0.976955,0.007384,37.083,0.974542,0.21
3,600M,0.6,0.005093,38.0372,0.963264,0.008252,35.9414,0.962567,0.22
3,600M,0.7,0.006283,37.3282,0.952391,0.009352,35.6011,0.950594,0.21
3,600M,0.8,0.010974,33.3661,0.902409,0.013127,32.5878,0.901699,0.22
3,600M,0.9,0.019574,29.1863,0.833322,0.021506,28.7774,0.833244,0.21
4,600M,0.1,0.000958,46.671,0.994451,0.008453,37.2126,0.984767,0.15
4,600M,0.2,0.001818,43.0736,0.987586,0.009696,35.8036,0.979084,0.17
4,600M,0.3,0.002298,42.5456,0.98462,0.00949,36.3871,0.979095,0.19
4,600M,0.4,0.004475,37.9082,0.967046,0.011231,33.9118,0.961534,0.21
4,600M,0.5,0.006357,36.483,0.951291,0.012518,33.54,0.943595,0.21
4,600M,0.6,0.008376,34.7381,0.932322,0.014014,32.5026,0.927554,0.22
4,600M,0.7,0.011581,32.8021,0.898001,0.01629,31.3205,0.896674,0.22
4,600M,0.8,0.016331,30.0577,0.848464,0.020696,29.0288,0.845853,0.22
4,600M,0.9,0.025643,27.5455,0.745467,0.028175,27.1366,0.744325,0.21
5,600M,0.1,0.001058,45.6057,0.992607,0.009674,35.9949,0.981466,0.15
5,600M,0.2,0.002334,42.0092,0.982912,0.009485,35.9202,0.974513,0.18
5,600M,0.3,0.002531,41.4725,0.980053,0.009818,35.5855,0.972208,0.19
5,600M,0.4,0.004974,37.8567,0.957578,0.011072,34.3813,0.954205,0.21
5,600M,0.5,0.005718,37.0128,0.949336,0.011711,33.8995,0.944332,0.21
5,600M,0.6,0.007001,35.8891,0.930362,0.012894,33.2368,0.928696,0.21
5,600M,0.7,0.0113,32.7147,0.887879,0.016251,31.1365,0.886435,0.21
5,600M,0.8,0.014751,31.4745,0.844342,0.017983,30.6143,0.846434,0.22
5,600M,0.9,0.021849,28.7037,0.769733,0.024425,28.2197,0.766959,0.22
6,600M,0.1,0.000953,46.2771,0.994242,0.008713,36.6663,0.979724,0.14
6,600M,0.2,0.001499,44.891,0.991363,0.007832,37.7106,0.985884,0.17
6,600M,0.3,0.002561,42.2389,0.983887,0.008298,37.1327,0.981188,0.21
6,600M,0.4,0.003647,40.3338,0.974083,0.009153,36.3374,0.972136,0.21
6,600M,0.5,0.006252,36.3233,0.946667,0.012408,33.3468,0.940874,0.22
6,600M,0.6,0.0079,35.2013,0.936369,0.013133,32.9941,0.936407,0.22
6,600M,0.7,0.01068,33.3105,0.907346,0.015274,31.7566,0.905899,0.22
6,600M,0.8,0.016468,30.5012,0.838031,0.020767,29.4938,0.834715,0.22
6,600M,0.9,0.023708,28.6246,0.771426,0.025717,28.2713,0.769756,0.22
7,600M,0.1,0.000659,48.8244,0.996142,0.006748,38.7214,0.988317,0.14
7,600M,0.2,0.001425,45.2663,0.991029,0.00776,37.9049,0.982528,0.16
7,600M,0.3,0.001725,44.9304,0.989861,0.006592,39.1088,0.98635,0.19
7,600M,0.4,0.002729,41.8736,0.98125,0.007511,37.476,0.977648,0.2
7,600M,0.5,0.0048,38.8747,0.968058,0.008714,36.2844,0.967556,0.22
7,600M,0.6,0.005987,36.775,0.954789,0.009952,34.5678,0.953618,0.22
7,600M,0.7,0.008288,34.456,0.927472,0.013344,32.3876,0.925257,0.21
7,600M,0.8,0.013196,31.4667,0.887053,0.01656,30.4806,0.890086,0.22
7,600M,0.9,0.022999,28.659,0.805117,0.025161,28.2687,0.809136,0.21
8,600M,0.1,0.000629,51.069,0.996883,0.005552,41.6106,0.990924,0.15
8,600M,0.2,0.001213,47.3004,0.993642,0.00647,40.0304,0.988849,0.17
8,600M,0.3,0.00208,44.2961,0.987805,0.00674,39.19,0.985004,0.21
8,600M,0.4,0.003248,40.5472,0.978198,0.008573,36.3325,0.97241,0.21
8,600M,0.5,0.004847,38.6936,0.963242,0.00926,35.8822,0.961495,0.22
8,600M,0.6,0.006531,36.4881,0.949801,0.010786,34.3091,0.947816,0.22
8,600M,0.7,0.008315,34.9504,0.932828,0.011892,33.3966,0.930084,0.21
8,600M,0.8,0.011893,32.9283,0.894873,0.015222,31.8562,0.890841,0.22
8,600M,0.9,0.019836,29.7869,0.816343,0.021701,29.3966,0.814925,0.21
9,600M,0.1,0.000918,46.0905,0.994542,0.011748,35.0184,0.981461,0.13
9,600M,0.2,0.002893,39.8285,0.981103,0.01452,32.8218,0.968197,0.17
9,600M,0.3,0.004287,38.0846,0.969773,0.014634,32.7528,0.957109,0.2
9,600M,0.4,0.005263,37.5246,0.962472,0.014486,33.127,0.95658,0.2
9,600M,0.5,0.009311,33.9359,0.924846,0.018335,30.993,0.919892,0.22
9,600M,0.6,0.01167,32.4089,0.907061,0.020186,30.0291,0.905799,0.22
9,600M,0.7,0.017764,29.5136,0.846272,0.026595,27.7612,0.839902,0.21
9,600M,0.8,0.024628,27.9284,0.776229,0.030754,26.9636,0.773334,0.22
9,600M,0.9,0.037228,25.3429,0.650811,0.04108,24.9154,0.646812,0.21
10,600M,0.1,0.00098,47.5056,0.993993,0.008654,38.0472,0.984333,0.14
10,600M,0.2,0.001765,44.9012,0.989388,0.008368,38.1427,0.981303,0.17
10,600M,0.3,0.003227,40.9201,0.975106,0.009835,36.0804,0.970335,0.2
10,600M,0.4,0.00355,41.1849,0.9759,0.008574,37.3556,0.9734,0.21
10,600M,0.5,0.005222,38.5807,0.959168,0.010283,35.6377,0.960279,0.22
10,600M,0.6,0.007409,35.3799,0.938759,0.012991,32.941,0.939315,0.22
10,600M,0.7,0.010317,33.6157,0.910113,0.015006,31.9885,0.911471,0.21
10,600M,0.8,0.01506,31.721,0.862899,0.018535,30.8193,0.868797,0.22
10,600M,0.9,0.022732,29.0015,0.793294,0.025192,28.5552,0.80083,0.21
11,600M,0.1,0.000622,50.7999,0.997492,0.006127,40.8672,0.992456,0.14
11,600M,0.2,0.001105,48.6895,0.995035,0.005546,41.6828,0.990924,0.17
11,600M,0.3,0.001908,44.8804,0.98965,0.006264,39.7189,0.987578,0.2
11,600M,0.4,0.003081,40.0468,0.98114,0.007659,36.0928,0.977348,0.21
11,600M,0.5,0.004145,39.479,0.969127,0.008698,36.2602,0.968044,0.22
11,600M,0.6,0.005765,37.8257,0.959452,0.009282,35.7573,0.957521,0.22
11,600M,0.7,0.008315,35.4531,0.927353,0.012095,33.8258,0.926227,0.22
11,600M,0.8,0.013106,32.1347,0.877164,0.015977,31.2745,0.873088,0.22
11,600M,0.9,0.020449,29.4207,0.801407,0.023061,28.8986,0.795132,0.21
12,600M,0.1,0.000941,46.7307,0.994006,0.009633,36.6277,0.97824,0.13
12,600M,0.2,0.001931,43.2481,0.987808,0.009157,36.4897,0.982065,0.19
12,600M,0.3,0.002928,41.6156,0.980522,0.00961,36.4542,0.977642,0.21
12,600M,0.4,0.004557,38.7081,0.968397,0.011218,34.796,0.964572,0.21
12,600M,0.5,0.006783,35.9076,0.948308,0.012959,33.0962,0.942738,0.22
12,600M,0.6,0.009251,34.4893,0.922823,0.014352,32.5818,0.920314,0.22
12,600M,0.7,0.012696,32.2311,0.88685,0.017289,30.8903,0.883821,0.22
12,600M,0.8,0.018073,29.9239,0.829516,0.021927,29.0843,0.830983,0.22
12,600M,0.9,0.025716,27.7271,0.742443,0.028623,27.262,0.744256,0.21
13,600M,0.1,0.00056,48.1819,0.995574,0.007547,36.8871,0.982562,0.13
13,600M,0.2,0.001409,44.5238,0.990003,0.008197,36.8759,0.981393,0.17
13,600M,0.3,0.002412,41.5182,0.98152,0.008578,36.0091,0.976313,0.2
13,600M,0.4,0.004033,39.3019,0.967944,0.0093,35.6728,0.966512,0.21
13,600M,0.5,0.004978,37.9029,0.95817,0.009955,34.8926,0.9559,0.22
13,600M,0.6,0.006934,35.5941,0.941182,0.011235,33.4983,0.937513,0.22
13,600M,0.7,0.008769,34.2846,0.917539,0.012134,32.8739,0.916938,0.22
13,600M,0.8,0.011974,32.1072,0.879411,0.015026,31.1211,0.87933,0.22
13,600M,0.9,0.018482,29.1074,0.816737,0.020571,28.6423,0.814864,0.22
14,600M,0.1,0.001048,46.9556,0.994788,0.007452,38.4362,0.987178,0.16
14,600M,0.2,0.001457,46.9197,0.992162,0.00678,40.2409,0.988903,0.18
14,600M,0.3,0.002545,42.4936,0.983461,0.008354,37.3321,0.978827,0.21
14,600M,0.4,0.003656,40.5093,0.976788,0.00936,36.4269,0.974348,0.21
14,600M,0.5,0.00504,37.9573,0.964021,0.01024,34.8786,0.963346,0.22
14,600M,0.6,0.005746,37.4895,0.956603,0.010006,35.0803,0.957113,0.22
14,600M,0.7,0.009779,34.1392,0.930604,0.013909,32.6095,0.93163,0.22
14,600M,0.8,0.013155,31.669,0.901877,0.016754,30.6186,0.901012,0.22
14,600M,0.9,0.023,28.563,0.818144,0.025056,28.1913,0.817365,0.22
15,600M,0.1,0.000968,45.6479,0.993052,0.009535,35.7152,0.981675,0.15
15,600M,0.2,0.001831,43.1984,0.987545,0.009376,36.1057,0.980298,0.18
15,600M,0.3,0.002768,41.4143,0.980175,0.009204,36.1968,0.974642,0.21
15,600M,0.4,0.00416,38.5003,0.969839,0.010338,34.5462,0.964162,0.21
15,600M,0.5,0.005663,37.3057,0.953173,0.011151,34.3627,0.948488,0.22
15,600M,0.6,0.007641,34.6058,0.935976,0.01349,32.1371,0.933158,0.22
15,600M,0.7,0.010669,32.8442,0.908713,0.015788,31.1423,0.903603,0.22
15,600M,0.8,0.017631,29.7444,0.849375,0.021596,28.8635,0.844678,0.22
15,600M,0.9,0.024772,27.7724,0.773923,0.027101,27.3822,0.769149,0.21
16,600M,0.1,0.000584,50.8093,0.99645,0.00623,40.529,0.990126,0.15
16,600M,0.2,0.000994,48.7808,0.994333,0.006056,40.9309,0.988635,0.16
16,600M,0.3,0.002358,42.7936,0.984489,0.007546,37.7421,0.978616,0.2
16,600M,0.4,0.003233,41.8125,0.975678,0.007663,38.0643,0.971547,0.21
16,600M,0.5,0.004114,40.6468,0.9683,0.008426,37.5335,0.965214,0.21
16,600M,0.6,0.00548,38.7989,0.954768,0.009609,36.36,0.951482,0.22
16,600M,0.7,0.007986,36.3281,0.928615,0.010933,34.9641,0.926551,0.22
16,600M,0.8,0.012117,33.1168,0.888299,0.014841,32.2359,0.885718,0.22
16,600M,0.9,0.018864,30.6338,0.822781,0.020996,30.1687,0.82209,0.21
17,600M,0.1,0.000388,53.1599,0.998031,0.004733,42.2997,0.992932,0.14
17,600M,0.2,0.000589,53.9625,0.997514,0.003211,46.6011,0.995819,0.18
17,600M,0.3,0.00147,47.2383,0.991988,0.004535,42.3467,0.991036,0.21
17,600M,0.4,0.001868,46.4588,0.990719,0.00451,42.6295,0.989651,0.22
17,600M,0.5,0.002339,45.2353,0.987541,0.004714,42.1909,0.986932,0.22
17,600M,0.6,0.003285,43.1766,0.981043,0.005356,41.0532,0.979643,0.23
17,600M,0.7,0.004775,40.3335,0.971044,0.007026,38.6566,0.969703,0.22
17,600M,0.8,0.007821,37.1045,0.94845,0.009673,36.1818,0.947445,0.22
17,600M,0.9,0.012456,33.9685,0.917538,0.013455,33.6336,0.919392,0.21
18,600M,0.1,0.000687,48.0117,0.994816,0.009254,36.7168,0.983506,0.14
18,600M,0.2,0.001838,43.2923,0.988188,0.010009,35.9309,0.978457,0.17
18,600M,0.3,0.002801,41.0339,0.982744,0.010394,35.34,0.975975,0.19
18,600M,0.4,0.004979,36.9526,0.963719,0.012619,32.9134,0.956145,0.2
18,600M,0.5,0.006161,36.8981,0.95229,0.013143,33.6075,0.950441,0.21
18,600M,0.6,0.007981,35.1037,0.934279,0.014389,32.5442,0.93067,0.22
18,600M,0.7,0.013299,31.6391,0.874789,0.01968,29.9372,0.872538,0.21
18,600M,0.8,0.018163,29.8632,0.823179,0.022681,28.8984,0.823686,0.22
18,600M,0.9,0.028937,26.7277,0.724941,0.032491,26.2246,0.718081,0.21
19,600M,0.1,0.001326,43.6741,0.989934,0.014145,33.3938,0.96507,0.14
19,600M,0.2,0.002895,40.0216,0.9797,0.013475,33.3428,0.96236,0.17
19,600M,0.3,0.003632,39.3008,0.970597,0.013672,33.5435,0.960639,0.19
19,600M,0.4,0.0068,35.3519,0.944196,0.0169,31.3979,0.934539,0.21
19,600M,0.5,0.008494,34.3483,0.927852,0.017257,31.2697,0.920558,0.22
19,600M,0.6,0.010979,33.0024,0.899495,0.01825,30.7952,0.901621,0.22
19,600M,0.7,0.017033,30.0921,0.834653,0.023828,28.6343,0.832375,0.21
19,600M,0.8,0.021387,28.8715,0.780127,0.027239,27.8211,0.774565,0.22
19,600M,0.9,0.029571,26.9152,0.686116,0.03263,26.4877,0.686678,0.21
20,600M,0.1,0.00059,50.2054,0.996654,0.006567,39.7403,0.988731,0.14
20,600M,0.2,0.001327,45.9814,0.992009,0.006931,38.801,0.986268,0.17
20,600M,0.3,0.002188,42.6639,0.983823,0.008116,36.9699,0.98001,0.19
20,600M,0.4,0.003256,40.7858,0.976982,0.007937,36.9153,0.973504,0.21
20,600M,0.5,0.00468,38.3646,0.960348,0.009508,35.2859,0.958448,0.22
20,600M,0.6,0.00637,36.3605,0.942594,0.010589,34.1533,0.939855,0.22
20,600M,0.7,0.009981,33.6651,0.895944,0.013963,32.2072,0.899077,0.22
20,600M,0.8,0.012316,32.5934,0.872616,0.015306,31.6497,0.872301,0.22
20,600M,0.9,0.019638,29.6741,0.781044,0.021484,29.2839,0.787316,0.21
21,600M,0.1,0.000884,47.745,0.994362,0.007075,38.7141,0.986071,0.15
21,600M,0.2,0.001601,44.4733,0.989653,0.008038,37.4666,0.98029,0.16
21,600M,0.3,0.002756,41.8937,0.980396,0.008399,37.0541,0.973742,0.2
21,600M,0.4,0.00336,40.4995,0.973579,0.009151,36.1484,0.969565,0.2
21,600M,0.5,0.004839,37.9802,0.958538,0.010238,34.7256,0.954677,0.22
21,600M,0.6,0.007272,35.8031,0.931168,0.011708,33.7347,0.933214,0.23
21,600M,0.7,0.009126,34.7466,0.913777,0.012629,33.336,0.913341,0.22
21,600M,0.8,0.01264,32.6939,0.870656,0.015191,31.8953,0.870268,0.22
21,600M,0.9,0.017804,30.3351,0.815444,0.019395,29.9634,0.817551,0.21
22,600M,0.1,0.000981,47.7292,0.993882,0.008101,38.5604,0.985754,0.16
22,600M,0.2,0.001463,46.0007,0.991032,0.007492,38.908,0.983407,0.18
22,600M,0.3,0.00258,43.2326,0.983524,0.008154,38.235,0.979607,0.2
22,600M,0.4,0.003444,41.2711,0.975893,0.008559,37.317,0.971925,0.2
22,600M,0.5,0.004559,39.2256,0.967217,0.009892,35.862,0.961151,0.21
22,600M,0.6,0.00776,34.631,0.946725,0.012899,32.4238,0.9423,0.22
22,600M,0.7,0.009358,34.8699,0.92619,0.013535,33.2672,0.926672,0.22
22,600M,0.8,0.01356,32.5904,0.90124,0.016852,31.6467,0.900266,0.22
22,600M,0.9,0.021419,29.5672,0.84073,0.023433,29.177,0.839665,0.21
23,600M,0.1,0.000655,50.4868,0.996267,0.006446,40.5542,0.987575,0.14
23,600M,0.2,0.001683,44.2274,0.988931,0.007691,37.6269,0.981794,0.18
23,600M,0.3,0.002865,42.6099,0.979905,0.007802,38.2588,0.976517,0.21
23,600M,0.4,0.003377,41.1462,0.974704,0.008646,37.0638,0.970095,0.2
23,600M,0.5,0.00527,37.6284,0.953837,0.011059,34.4096,0.948583,0.21
23,600M,0.6,0.007743,35.8729,0.930491,0.01166,34.095,0.92629,0.22
23,600M,0.7,0.008029,35.9268,0.923024,0.012162,34.1233,0.925684,0.22
23,600M,0.8,0.012795,32.2392,0.871308,0.017149,30.9672,0.868644,0.21
23,600M,0.9,0.020253,29.7347,0.799739,0.022641,29.2506,0.795037,0.21
24,600M,0.1,0.000706,50.3086,0.996892,0.005833,41.1398,0.992243,0.16
24,600M,0.2,0.001178,47.6414,0.994036,0.005582,40.8829,0.989325,0.17
24,600M,0.3,0.001553,46.3385,0.992084,0.005846,40.5812,0.98849,0.2
24,600M,0.4,0.002656,43.4384,0.984804,0.006414,39.6091,0.982809,0.21
24,600M,0.5,0.003307,42.6618,0.980569,0.006996,39.4072,0.98024,0.22
24,600M,0.6,0.005324,38.1605,0.965061,0.009209,35.7807,0.964906,0.22
