tile,mask_type,ratio,trial,cubic_mae,cubic_rmse,cubic_psnr,cubic_mae_tailexcl,cubic_rmse_tailexcl,cubic_psnr_tailexcl,linear_mae_forcompare,linear_rmse_forcompare
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,0,0.008952777117329266,0.01007621278987256,39.934053392570085,0.008952777117329266,0.01007621278987256,39.934053392570085,0.01911087782448216,0.02090482636155445
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,1,0.020567650417338032,0.035731708252778736,28.938924413134917,0.020567650417338032,0.035731708252778736,28.938924413134917,0.022678245766072646,0.03160071023135313
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,2,0.015498581493626538,0.0201271392773984,33.92435896256316,0.015498581493626538,0.0201271392773984,33.92435896256316,0.018524500792749435,0.022970337837325182
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,3,0.00145623913318473,0.001842175864757014,54.69337823796562,0.00145623913318473,0.001842175864757014,54.69337823796562,0.004841211674204139,0.005424859519622974
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,4,0.0014937586542470669,0.0019529904115108017,54.18599777877104,0.0014937586542470669,0.0019529904115108017,54.18599777877104,0.005121339538047857,0.005734855943435897
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,5,0.05174767572357475,0.06030995877037802,24.392219368502825,0.05174767572357475,0.06030995877037802,24.392219368502825,0.03293509316720245,0.03718544837004034
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,6,0.008952777117329266,0.01007621278987256,39.934053392570085,0.008952777117329266,0.01007621278987256,39.934053392570085,0.01911087782448216,0.02090482636155445
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,7,0.16244486036342629,0.19613482721216607,14.148905656159375,0.16244486036342629,0.19613482721216607,14.148905656159375,0.027112181757072237,0.037839452169592516
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,8,0.0020416932555215785,0.0027628490531142495,51.172856837973086,0.0020416932555215785,0.0027628490531142495,51.172856837973086,0.008552404254105118,0.009978633821379482
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,9,0.0035125950931511234,0.004346750681605314,47.23670538209654,0.0035125950931511234,0.004346750681605314,47.23670538209654,0.018245796158340325,0.019868410428482787
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,10,0.06014879570852415,0.07135073270586222,22.93203125449644,0.06014879570852415,0.07135073270586222,22.93203125449644,0.004188194849183073,0.006156079685630675
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,11,0.9229461182981438,1.0681590773435357,-0.572718710551769,0.9297438464595578,1.0701389458451105,-0.5888033947542669,0.08155276024166483,0.09413849706270211
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,12,0.053187909317009854,0.059071329272212716,24.572465123527817,0.053187909317009854,0.059071329272212716,24.572465123527817,0.020799150779569436,0.033593863987881806
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,13,0.028240610472491386,0.04322554527632856,27.28519039069007,0.028240610472491386,0.04322554527632856,27.28519039069007,0.02147417990037623,0.03301884858862299
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,14,0.17293937991083608,0.21251266537463645,13.45230363336492,0.17293937991083608,0.21251266537463645,13.45230363336492,0.03848338087645682,0.05122323345306453
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,15,0.018806513763471342,0.0362376526505581,28.81679884348447,0.018806513763471342,0.0362376526505581,28.81679884348447,0.021935335947093026,0.03143142531094879
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,16,0.015202212857539204,0.018458517153146586,34.6760638105927,0.015202212857539204,0.018458517153146586,34.6760638105927,0.0035601245798112806,0.00452861228520821
