tile,tile_had_nan,trial,mask_type,mask_ratio,n_bands_masked,mae,rmse,psnr_db,n_values_excluded_nan,n_values_total
PACE_OCI.20240510T003914.L1B.V3_image_087.npy,True,8,contiguous,0.2,58,0.007113882775032311,0.013004990369433056,37.71779930150923,522,534528
PACE_OCI.20240510T003914.L1B.V3_image_087.npy,True,8,scattered,0.2,58,0.0012851905082446574,0.005858090406389948,44.644878604971936,172,534528
PACE_OCI.20240510T003914.L1B.V3_image_087.npy,True,9,contiguous,0.2,58,0.0024202233132722176,0.0035480102873237307,49.0003025923561,933,534528
PACE_OCI.20240510T003914.L1B.V3_image_087.npy,True,9,scattered,0.2,58,0.0012368086121352997,0.008258189484543583,41.66230312879626,254,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,0,contiguous,0.2,58,0.006954478752935371,0.015114393434476393,36.41218554179824,580,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,0,scattered,0.2,58,0.0010992359370334184,0.005877197939549663,44.616593646639195,92,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,1,contiguous,0.2,58,0.013275806363845953,0.014512827333181556,36.764959434795145,0,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,1,scattered,0.2,58,0.004732454015172923,0.03495875826590483,29.128880037825336,75,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,2,contiguous,0.2,58,0.006618798297502364,0.012796511923870503,37.858167886192824,580,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,2,scattered,0.2,58,0.0011002431224654903,0.0053205312748095075,45.48089999245185,116,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,3,contiguous,0.2,58,0.004565528415907132,0.005520894329492003,45.159811304462984,580,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,3,scattered,0.2,58,0.0013821695374917132,0.009039741195688162,40.87688006061099,90,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,4,contiguous,0.2,58,0.0028767423625805045,0.004933154378444362,46.137505869725615,444,534528
PACE_OCI.20240510T003914.L1B.V3_image_178.npy,True,4,scattered,0.2,58,0.0017400715431791262,0.01081303931001109,39.321044363220864,74,534528
